,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:band,pre:tok:unicycle,hyp:tok:sewing,hyp:tok:performance
1,pre:tok:patio,pre:tok:turn,hyp:tok:4,pre:tok:they
2,pre:tok:swim,pre:tok:find,pre:tok:possibly,hyp:tok:wooden
3,hyp:tok:bathroom,pre:tok:though,pre:tok:watched,hyp:tok:walked
4,pre:tok:sit,hyp:tok:pictures,hyp:tok:stream,hyp:tok:bike
5,hyp:tok:yard,pre:tok:gentlemen,pre:tok:talking,hyp:tok:clouds
6,hyp:tok:london,hyp:tok:championship,hyp:tok:push,hyp:tok:white
7,pre:tok:brushes,pre:tok:weather,pre:tok:work,pre:tok:look
8,pre:tok:water,pre:tok:next,hyp:tok:white,hyp:tok:crane
9,pre:tok:field,hyp:tok:follows,pre:tok:merry,hyp:tok:engine
10,pre:tok:scouts,pre:tok:jeans,pre:tok:forehead,hyp:tok:rain
11,pre:tok:jeans,hyp:tok:beard,hyp:tok:high,pre:tok:standing
12,hyp:tok:karate,pre:tok:performer,hyp:tok:taking,hyp:tok:trail
13,hyp:tok:watched,hyp:tok:ladies,hyp:tok:check,hyp:tok:relax
14,pre:tok:off,pre:tok:off,hyp:tok:yard,pre:tok:skirt
15,hyp:tok:purple,hyp:tok:wrestlers,hyp:tok:musical,hyp:tok:helmets
16,hyp:tok:changing,hyp:tok:purple,hyp:tok:mower,hyp:tok:doorway
17,hyp:tok:taxi,pre:tok:upset,hyp:tok:grass,hyp:tok:very
18,hyp:tok:squatting,pre:tok:guitarist,pre:tok:around,hyp:tok:drivers
19,pre:tok:trumpet,hyp:tok:slides,hyp:tok:rain,pre:tok:dancing
20,pre:tok:ocean,pre:tok:places,pre:tok:standing,hyp:tok:activity
21,pre:tok:sells,hyp:tok:space,pre:tok:wig,hyp:tok:rests
22,pre:tok:each,pre:tok:sells,hyp:tok:chairs,hyp:tok:beard
23,pre:tok:fishing,hyp:tok:objects,pre:tok:digging,hyp:tok:stroll
24,hyp:tok:swing,hyp:tok:sweater,hyp:tok:apron,pre:tok:fruit
25,hyp:tok:slide,hyp:tok:swing,hyp:tok:new,hyp:tok:toothbrush
26,pre:tok:repair,hyp:tok:adult,pre:tok:water,hyp:tok:town
27,pre:tok:sets,pre:tok:pedestrians,pre:tok:strike,pre:tok:dry
28,hyp:tok:move,pre:tok:monster,pre:tok:good,hyp:tok:sunglasses
29,hyp:tok:turns,pre:tok:cook,hyp:tok:hammer,hyp:tok:green
30,pre:tok:across,pre:tok:garbage,hyp:tok:enter,hyp:tok:games
31,hyp:tok:painted,pre:tok:puts,hyp:tok:tea,hyp:tok:sleeved
32,hyp:tok:poor,hyp:tok:families,pre:tok:hospital,hyp:tok:studying
33,pre:tok:elderly,hyp:tok:hiker,pre:tok:hooded,hyp:tok:purple
34,hyp:tok:equipment,hyp:tok:trampoline,hyp:tok:bandanna,pre:tok:snow
35,hyp:tok:carrying,hyp:tok:cyclists,hyp:tok:watched,hyp:tok:climbs
36,pre:tok:rain,hyp:tok:exercising,hyp:tok:shelf,pre:tok:by
37,hyp:tok:party,pre:tok:arts,pre:tok:steel,pre:tok:concert
38,hyp:tok:husband,hyp:tok:hits,pre:tok:behind,pre:tok:army
39,hyp:tok:job,pre:tok:desks,hyp:tok:town,pre:tok:stone
40,pre:tok:crime,pre:tok:telling,hyp:tok:racers,hyp:tok:others
41,pre:tok:acoustic,hyp:tok:lake,pre:tok:sings,pre:tok:waist
42,hyp:tok:baby,pre:tok:closely,hyp:tok:rolled,pre:tok:cherry
43,hyp:tok:traditional,pre:tok:wheeled,hyp:tok:digging,hyp:tok:army
44,pre:tok:middle,pre:tok:upright,pre:tok:bat,hyp:tok:shops
45,pre:tok:puzzle,pre:tok:drinking,hyp:tok:cooking,pre:tok:just
46,hyp:tok:decorated,hyp:tok:buys,pre:tok:front,pre:tok:numbered
47,pre:tok:gray,pre:tok:soccer,hyp:tok:sleeved,hyp:tok:desks
48,hyp:tok:drive,hyp:tok:basket,hyp:tok:gear,pre:tok:clock
49,pre:tok:fetch,pre:tok:lifting,hyp:tok:showing,hyp:tok:jeans
50,pre:tok:knitting,pre:tok:waterfall,hyp:tok:two,pre:tok:pie
51,hyp:tok:umbrellas,pre:tok:ears,hyp:tok:popsicle,pre:tok:turns
52,pre:tok:eye,hyp:tok:one,hyp:tok:squatting,pre:tok:ball
53,hyp:tok:cloudy,hyp:tok:drive,pre:tok:mall,hyp:tok:home
54,pre:tok:cold,pre:tok:bike,hyp:tok:skirt,pre:tok:herself
55,hyp:tok:pipes,hyp:tok:strip,pre:tok:as,hyp:tok:from
56,hyp:tok:acoustic,pre:tok:side,pre:tok:end,hyp:tok:car
57,pre:tok:singing,hyp:tok:sweatshirt,pre:tok:tray,hyp:tok:speaking
58,hyp:tok:vehicles,pre:tok:bread,pre:tok:plain,pre:tok:performing
59,pre:tok:side,hyp:tok:sister,pre:tok:group,hyp:tok:ship
60,pre:tok:person,hyp:tok:well,pre:tok:attempt,hyp:tok:watches
61,pre:tok:ladder,hyp:tok:bathrobe,hyp:tok:anything,hyp:tok:too
62,hyp:tok:first,hyp:tok:deck,pre:tok:birthday,hyp:tok:setting
63,hyp:tok:touching,hyp:tok:tennis,pre:tok:sells,hyp:tok:grocery
64,hyp:tok:cheerleading,hyp:tok:teeth,pre:tok:writes,pre:tok:at
65,hyp:tok:dancers,hyp:tok:tables,hyp:tok:stuck,pre:tok:pretty
66,hyp:tok:deck,hyp:tok:soccer,hyp:tok:objects,pre:tok:heading
67,pre:tok:wedding,hyp:tok:photographing,pre:tok:sandy,hyp:tok:jersey
68,hyp:tok:tennis,hyp:tok:throw,pre:tok:cherry,hyp:tok:sound
69,hyp:tok:hats,pre:tok:chairs,pre:tok:crossed,hyp:tok:spray
70,hyp:tok:includes,hyp:tok:garage,pre:tok:military,hyp:tok:convertible
71,pre:tok:top,hyp:tok:around,hyp:tok:adult,hyp:tok:exercising
72,hyp:tok:herding,pre:tok:low,hyp:tok:reading,hyp:tok:jet
73,hyp:tok:around,hyp:tok:following,pre:tok:selling,hyp:tok:beige
74,hyp:tok:grilling,pre:tok:rowing,pre:tok:midair,hyp:tok:only
75,pre:tok:level,hyp:tok:dirty,hyp:tok:science,hyp:tok:present
76,hyp:tok:chain,hyp:tok:rack,pre:tok:five,hyp:tok:heels
77,pre:tok:along,pre:tok:arrive,hyp:tok:he,pre:tok:wheeled
78,pre:tok:hair,hyp:tok:shore,hyp:tok:desks,pre:tok:vehicle
79,hyp:tok:stick,hyp:tok:bank,hyp:tok:hula,pre:tok:pants
80,pre:tok:cob,pre:tok:fresh,hyp:tok:bathing,hyp:tok:doors
81,hyp:tok:as,pre:tok:free,hyp:tok:curtain,hyp:tok:cloth
82,pre:tok:orchestra,pre:tok:pillow,pre:tok:ball,hyp:tok:elder
83,hyp:tok:stone,pre:tok:bicyclists,hyp:tok:gun,hyp:tok:surgery
84,pre:tok:words,hyp:tok:parked,pre:tok:teaching,hyp:tok:marching
85,pre:tok:plate,hyp:tok:boy,hyp:tok:friend,hyp:tok:terrain
86,hyp:tok:mask,pre:tok:wall,pre:tok:bushes,pre:tok:neighborhood
87,pre:tok:runs,hyp:tok:order,hyp:tok:sports,pre:tok:conversing
88,pre:tok:given,hyp:tok:stairs,hyp:tok:other,pre:tok:tiger
89,hyp:tok:farmer,hyp:tok:surfboard,pre:tok:benches,hyp:tok:surfing
90,pre:tok:fisherman,hyp:tok:scouts,pre:tok:seat,pre:tok:outfit
91,pre:tok:diving,hyp:tok:have,pre:tok:cement,pre:tok:tire
92,hyp:tok:studio,hyp:tok:deep,pre:tok:brown,hyp:tok:suit
93,pre:tok:they,hyp:tok:pedaling,hyp:tok:year,pre:tok:happening
94,hyp:tok:beam,pre:tok:bottles,pre:tok:climbing,pre:tok:cover
95,hyp:tok:children,hyp:tok:benches,pre:tok:restaurant,hyp:tok:live
96,hyp:tok:neighborhood,pre:tok:someone,pre:tok:face,pre:tok:hardware
97,hyp:tok:basketball,pre:tok:china,hyp:tok:formation,hyp:tok:table
98,pre:tok:pile,hyp:tok:basketball,pre:tok:arts,hyp:tok:being
99,pre:tok:pipes,pre:tok:profile,pre:tok:desks,hyp:tok:league
100,pre:tok:podium,hyp:tok:balloon,hyp:tok:skater,hyp:tok:bat
101,hyp:tok:chairs,hyp:tok:engine,pre:tok:racers,pre:tok:dump
102,hyp:tok:toy,hyp:tok:chairs,hyp:tok:leaping,pre:tok:taxi
103,pre:tok:sleeps,hyp:tok:very,hyp:tok:luggage,hyp:tok:video
104,pre:tok:style,pre:tok:rooftop,hyp:tok:lake,hyp:tok:competitors
105,pre:tok:dress,pre:tok:sleeps,pre:tok:got,hyp:tok:finishing
106,pre:tok:hospital,pre:tok:behind,hyp:tok:produce,pre:tok:dogs
107,hyp:tok:this,pre:tok:girls,hyp:tok:fighting,hyp:tok:holds
108,hyp:tok:store,hyp:tok:games,hyp:tok:sea,pre:tok:sits
109,pre:tok:shades,pre:tok:shades,pre:tok:rain,hyp:tok:balance
110,hyp:tok:vacation,pre:tok:room,pre:tok:vehicle,hyp:tok:straw
111,hyp:tok:arena,pre:tok:bar,hyp:tok:skating,pre:tok:cold
112,pre:tok:best,pre:tok:hiker,hyp:tok:marching,hyp:tok:buggy
113,pre:tok:pins,pre:tok:buggy,hyp:tok:few,pre:tok:upwards
114,pre:tok:crossed,hyp:tok:reading,pre:tok:trees,hyp:tok:kissing
115,hyp:tok:reading,pre:tok:clock,pre:tok:batter,hyp:tok:strike
116,hyp:tok:little,hyp:tok:skate,hyp:tok:surfing,pre:tok:hold
117,hyp:tok:safety,pre:tok:members,hyp:tok:seven,hyp:tok:station
118,pre:tok:diner,pre:tok:pig,hyp:tok:basket,hyp:tok:mid
119,pre:tok:crowd,hyp:tok:lane,pre:tok:father,hyp:tok:blonde
120,hyp:tok:pictured,pre:tok:chair,pre:tok:leather,pre:tok:person
121,hyp:tok:fence,pre:tok:through,pre:tok:spring,hyp:tok:merchandise
122,pre:tok:wheel,pre:tok:guy,hyp:tok:streets,hyp:tok:stop
123,hyp:tok:pink,pre:tok:milk,pre:tok:greyhound,hyp:tok:first
124,pre:tok:view,hyp:tok:camel,hyp:tok:blue,hyp:tok:another
125,hyp:tok:badminton,pre:tok:father,hyp:tok:visiting,hyp:tok:lunch
126,pre:tok:chair,pre:tok:leather,pre:tok:persons,hyp:tok:drinks
127,pre:tok:red,hyp:tok:riders,hyp:tok:birds,hyp:tok:toward
128,hyp:tok:ears,pre:tok:horned,pre:tok:dances,hyp:tok:ballet
129,pre:tok:sidewalk,pre:tok:training,hyp:tok:one,pre:tok:rainy
130,pre:tok:tricks,hyp:tok:frisbee,hyp:tok:screaming,hyp:tok:crew
131,hyp:tok:birthday,hyp:tok:doctors,hyp:tok:blouse,hyp:tok:bottoms
132,pre:tok:guy,hyp:tok:video,pre:tok:dump,hyp:tok:shelter
133,pre:tok:last,hyp:tok:above,hyp:tok:competitors,hyp:tok:flying
134,pre:tok:for,hyp:tok:spin,hyp:tok:finished,pre:tok:surfing
135,hyp:tok:addressing,hyp:tok:cafeteria,pre:tok:color,pre:tok:down
136,hyp:tok:military,hyp:tok:dives,pre:tok:dogs,hyp:tok:hospital
137,pre:tok:homeless,pre:tok:gymnast,hyp:tok:points,pre:tok:christmas
138,pre:tok:directing,pre:tok:skydiving,pre:tok:microscope,pre:tok:clouds
139,hyp:tok:same,hyp:tok:aisle,hyp:tok:balding,hyp:tok:house
140,pre:tok:babies,hyp:tok:does,hyp:tok:passing,pre:tok:table
141,pre:tok:shepherd,pre:tok:chased,pre:tok:over,hyp:tok:living
142,hyp:tok:swimmer,hyp:tok:puddle,hyp:tok:swim,hyp:tok:museum
143,hyp:tok:cute,pre:tok:naked,hyp:tok:stadium,pre:tok:microphone
144,pre:tok:landscape,hyp:tok:creating,hyp:tok:brother,hyp:tok:brunette
145,hyp:tok:chalk,hyp:tok:sled,hyp:tok:park,hyp:tok:hydrant
146,pre:tok:win,hyp:tok:cameras,hyp:tok:bone,hyp:tok:feet
147,hyp:tok:walks,pre:tok:bench,pre:tok:cafeteria,hyp:tok:young
148,hyp:tok:golfer,pre:tok:microphone,pre:tok:also,hyp:tok:around
149,hyp:tok:spin,hyp:tok:hanging,pre:tok:boardwalk,pre:tok:rodeo
150,pre:tok:napping,hyp:tok:room,hyp:tok:groups,hyp:tok:numbered
151,pre:tok:rollerblading,pre:tok:among,pre:tok:dancer,pre:tok:written
152,pre:tok:sea,pre:tok:tutu,pre:tok:child,pre:tok:casual
153,pre:tok:parade,pre:tok:shoot,hyp:tok:race,hyp:tok:favorite
154,hyp:tok:city,pre:tok:leaf,pre:tok:gentleman,hyp:tok:block
155,pre:tok:gymnast,hyp:tok:rainy,hyp:tok:blonde,hyp:tok:homeless
156,hyp:tok:owner,hyp:tok:pointed,pre:tok:gymnast,hyp:tok:denim
157,hyp:tok:aisle,pre:tok:tight,hyp:tok:together,hyp:tok:harness
158,hyp:tok:diaper,pre:tok:computer,hyp:tok:atv,pre:tok:runners
