,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:band,pre:tok:touch,pre:tok:unicycle,hyp:tok:performance
1,pre:tok:full,pre:tok:customers,hyp:tok:performance,pre:tok:purchase
2,hyp:tok:bathroom,pre:tok:purchase,pre:tok:purchase,pre:tok:kick
3,pre:tok:work,hyp:tok:bathroom,pre:tok:patio,pre:tok:patio
4,pre:tok:instrument,pre:tok:work,pre:tok:stove,pre:tok:finishing
5,pre:tok:look,hyp:tok:tackle,hyp:tok:stream,pre:tok:box
6,pre:tok:urban,hyp:tok:pictures,hyp:tok:bathroom,hyp:tok:bathroom
7,pre:tok:striped,hyp:tok:-,pre:tok:box,hyp:tok:white
8,pre:tok:sit,hyp:tok:out,pre:tok:fight,hyp:tok:sofa
9,hyp:tok:pictures,pre:tok:next,hyp:tok:white,hyp:tok:tackle
10,hyp:tok:out,hyp:tok:rain,hyp:tok:tackle,pre:tok:varying
11,hyp:tok:rain,pre:tok:brushes,hyp:tok:paddles,hyp:tok:teacher
12,hyp:tok:standing,hyp:tok:having,pre:tok:post,pre:tok:canoe
13,hyp:tok:having,pre:tok:polo,pre:tok:gentlemen,hyp:tok:musical
14,pre:tok:water,hyp:tok:camping,pre:tok:canoe,hyp:tok:meeting
15,pre:tok:field,pre:tok:jeans,hyp:tok:musical,hyp:tok:hockey
16,hyp:tok:guy,pre:tok:toothbrush,hyp:tok:signs,hyp:tok:rain
17,hyp:tok:painting,pre:tok:area,pre:tok:next,pre:tok:standing
18,pre:tok:jeans,hyp:tok:apartment,hyp:tok:rain,pre:tok:tv
19,pre:tok:photographed,pre:tok:off,pre:tok:standing,hyp:tok:having
20,pre:tok:wave,pre:tok:wooden,pre:tok:tv,hyp:tok:follows
21,pre:tok:area,pre:tok:something,hyp:tok:having,pre:tok:field
22,pre:tok:steps,hyp:tok:faces,hyp:tok:eye,pre:tok:good
23,pre:tok:off,pre:tok:photographer,hyp:tok:camping,hyp:tok:hammer
24,pre:tok:wooden,pre:tok:hole,pre:tok:dune,hyp:tok:painting
25,pre:tok:where,pre:tok:guitarist,pre:tok:water,pre:tok:keyboard
26,pre:tok:something,pre:tok:stand,pre:tok:jesus,hyp:tok:playing
27,pre:tok:ocean,hyp:tok:slacks,pre:tok:clear,pre:tok:claus
28,pre:tok:sells,hyp:tok:scarves,pre:tok:good,hyp:tok:musicians
29,pre:tok:glasses,pre:tok:chalkboard,pre:tok:climbs,hyp:tok:karate
30,hyp:tok:against,hyp:tok:against,hyp:tok:hammer,hyp:tok:playground
31,pre:tok:each,hyp:tok:dot,pre:tok:paddles,pre:tok:dreadlocks
32,pre:tok:shirts,hyp:tok:bushes,hyp:tok:enter,hyp:tok:within
33,pre:tok:tag,pre:tok:each,pre:tok:keyboard,pre:tok:steps
34,hyp:tok:swing,hyp:tok:leans,pre:tok:tennis,hyp:tok:wrestlers
35,pre:tok:facing,pre:tok:shirts,pre:tok:jeans,hyp:tok:bin
36,pre:tok:garbage,pre:tok:tag,hyp:tok:theater,pre:tok:something
37,pre:tok:ball,hyp:tok:army,pre:tok:toothbrush,hyp:tok:purple
38,hyp:tok:umbrella,pre:tok:military,hyp:tok:karate,hyp:tok:course
39,hyp:tok:friend,pre:tok:sets,hyp:tok:playground,pre:tok:seen
40,pre:tok:across,pre:tok:into,hyp:tok:wizard,hyp:tok:slacks
41,pre:tok:wood,pre:tok:brushing,hyp:tok:watched,hyp:tok:scarves
42,pre:tok:bikini,pre:tok:bus,pre:tok:wave,pre:tok:midst
43,hyp:tok:music,pre:tok:images,pre:tok:area,pre:tok:army
44,hyp:tok:performing,pre:tok:looking,hyp:tok:within,pre:tok:chalkboard
45,pre:tok:dark,pre:tok:pie,hyp:tok:appears,pre:tok:photographers
46,pre:tok:beside,pre:tok:facing,hyp:tok:apartment,pre:tok:video
47,hyp:tok:carrying,pre:tok:swimmer,pre:tok:sink,hyp:tok:airport
48,pre:tok:store,pre:tok:garbage,hyp:tok:son,pre:tok:slacks
49,pre:tok:pants,pre:tok:crying,hyp:tok:wrestlers,hyp:tok:leans
50,hyp:tok:party,hyp:tok:pot,pre:tok:deck,hyp:tok:dot
51,pre:tok:trees,pre:tok:crouches,hyp:tok:filling,hyp:tok:bushes
52,pre:tok:gathered,hyp:tok:friend,hyp:tok:wood,hyp:tok:jeep
53,hyp:tok:tree,pre:tok:across,hyp:tok:faces,pre:tok:paint
54,pre:tok:middle,hyp:tok:coat,pre:tok:something,hyp:tok:against
55,pre:tok:leaning,hyp:tok:cyclists,pre:tok:shoes,hyp:tok:army
56,pre:tok:puzzle,pre:tok:guys,hyp:tok:changing,hyp:tok:crib
57,hyp:tok:table,hyp:tok:performing,pre:tok:seen,hyp:tok:wheeled
58,hyp:tok:being,hyp:tok:exercising,pre:tok:hole,hyp:tok:punching
59,pre:tok:gray,hyp:tok:puppies,pre:tok:stand,hyp:tok:trick
60,pre:tok:horse,pre:tok:pose,pre:tok:group,pre:tok:cook
61,hyp:tok:horse,hyp:tok:lake,hyp:tok:scarves,hyp:tok:back
62,pre:tok:singing,hyp:tok:guys,pre:tok:gym,pre:tok:monster
63,hyp:tok:girls,hyp:tok:flower,hyp:tok:space,pre:tok:looking
64,pre:tok:air,pre:tok:i,pre:tok:chalkboard,pre:tok:pie
65,pre:tok:side,pre:tok:cooks,hyp:tok:against,pre:tok:ball
66,pre:tok:gentleman,pre:tok:wine,hyp:tok:bushes,hyp:tok:blows
67,pre:tok:person,hyp:tok:what,pre:tok:hairnet,pre:tok:eastern
68,hyp:tok:together,hyp:tok:cops,pre:tok:paint,hyp:tok:great
69,hyp:tok:rock,pre:tok:gathered,hyp:tok:army,pre:tok:puts
70,pre:tok:several,pre:tok:lifting,hyp:tok:slide,hyp:tok:umbrella
71,hyp:tok:teeth,hyp:tok:tree,hyp:tok:wheeled,pre:tok:very
72,hyp:tok:male,pre:tok:lime,pre:tok:into,hyp:tok:if
73,pre:tok:top,hyp:tok:baby,hyp:tok:will,hyp:tok:rival
74,hyp:tok:tries,pre:tok:middle,pre:tok:brushing,pre:tok:across
75,pre:tok:purple,pre:tok:waterfall,pre:tok:waters,pre:tok:bows
76,hyp:tok:movie,pre:tok:bicycle,pre:tok:pushing,pre:tok:brown
77,pre:tok:stairs,pre:tok:gear,hyp:tok:back,hyp:tok:laughing
78,hyp:tok:around,hyp:tok:being,hyp:tok:bridal,pre:tok:bikini
79,pre:tok:vest,pre:tok:before,pre:tok:facing,pre:tok:struggling
80,pre:tok:sleeping,hyp:tok:away,pre:tok:garbage,hyp:tok:music
81,pre:tok:being,pre:tok:farmer,hyp:tok:vegetables,pre:tok:different
82,hyp:tok:washes,hyp:tok:hide,pre:tok:crying,pre:tok:guys
83,pre:tok:female,pre:tok:knitting,pre:tok:ball,pre:tok:stars
