,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:food,hyp:tok:humans,hyp:tok:pitcher,hyp:tok:moon
1,pre:tok:her,pre:tok:stove,pre:tok:her,pre:tok:green
2,pre:tok:terrain,hyp:tok:smiling,pre:tok:dirt,pre:tok:wet
3,pre:tok:bus,hyp:tok:children,hyp:tok:climbing,hyp:tok:stream
4,hyp:tok:trick,hyp:tok:device,hyp:tok:picture,hyp:tok:snow
5,pre:tok:one,hyp:tok:musical,hyp:tok:walking,hyp:tok:swimsuit
6,pre:tok:china,hyp:tok:signs,pre:tok:ride,hyp:tok:halloween
7,hyp:tok:small,hyp:tok:toy,pre:tok:off,pre:tok:girl
8,pre:tok:sits,hyp:tok:wife,hyp:tok:cows,hyp:tok:child
9,pre:tok:images,pre:tok:field,hyp:tok:clothes,hyp:tok:bath
10,pre:tok:looking,hyp:tok:instrument,pre:tok:holding,pre:tok:males
11,pre:tok:colorful,hyp:tok:bath,pre:tok:playground,pre:tok:speaks
12,pre:tok:laughing,pre:tok:shoulders,hyp:tok:suspended,hyp:tok:played
13,pre:tok:lady,hyp:tok:rink,hyp:tok:vacation,hyp:tok:staircase
14,pre:tok:building,hyp:tok:tea,hyp:tok:course,pre:tok:than
15,pre:tok:waves,pre:tok:stage,pre:tok:young,pre:tok:front
16,pre:tok:girl,hyp:tok:store,hyp:tok:moving,pre:tok:tips
17,pre:tok:game,pre:tok:front,hyp:tok:baseball,hyp:tok:vacation
18,pre:tok:bike,pre:tok:as,pre:tok:eight,hyp:tok:suspended
19,hyp:tok:goal,hyp:tok:up,hyp:tok:boys,pre:tok:as
20,pre:tok:play,pre:tok:flowered,hyp:tok:full,hyp:tok:orchestra
21,pre:tok:next,pre:tok:best,pre:tok:pie,pre:tok:ocean
22,pre:tok:smile,hyp:tok:sidewalk,hyp:tok:phone,pre:tok:only
23,pre:tok:standing,pre:tok:making,hyp:tok:brushing,pre:tok:shooting
24,hyp:tok:child,hyp:tok:trick,hyp:tok:yellow,hyp:tok:indoors
25,pre:tok:brown,hyp:tok:sticks,hyp:tok:tired,pre:tok:images
26,hyp:tok:marathon,pre:tok:lane,hyp:tok:car,pre:tok:television
27,pre:tok:asian,hyp:tok:home,hyp:tok:from,pre:tok:building
28,pre:tok:from,hyp:tok:turns,pre:tok:large,hyp:tok:brushing
29,pre:tok:their,pre:tok:large,hyp:tok:tools,hyp:tok:other
30,hyp:tok:ground,pre:tok:makeup,pre:tok:laundromat,hyp:tok:coat
31,hyp:tok:family,hyp:tok:year,hyp:tok:bowling,pre:tok:helps
32,hyp:tok:new,hyp:tok:animals,hyp:tok:setting,pre:tok:football
33,hyp:tok:they,pre:tok:wild,hyp:tok:sound,pre:tok:tables
34,pre:tok:different,pre:tok:fly,pre:tok:red,pre:tok:wild
35,hyp:tok:riding,hyp:tok:only,hyp:tok:selling,hyp:tok:cuts
36,pre:tok:all,pre:tok:diaper,pre:tok:warehouse,hyp:tok:fighting
37,hyp:tok:fire,hyp:tok:sleep,pre:tok:staring,hyp:tok:wrapped
38,pre:tok:glass,pre:tok:supermarket,hyp:tok:beige,pre:tok:him
39,hyp:tok:professional,pre:tok:pants,hyp:tok:pool,hyp:tok:bowl
40,pre:tok:out,hyp:tok:party,pre:tok:fly,hyp:tok:wet
41,hyp:tok:building,pre:tok:hang,hyp:tok:only,hyp:tok:visiting
42,pre:tok:pose,hyp:tok:river,hyp:tok:present,pre:tok:includes
43,pre:tok:hanging,hyp:tok:bed,hyp:tok:clothing,hyp:tok:doctors
44,hyp:tok:present,pre:tok:near,hyp:tok:boards,pre:tok:shelter
45,hyp:tok:'s,hyp:tok:stay,pre:tok:walking,hyp:tok:harnesses
46,hyp:tok:about,hyp:tok:ball,pre:tok:women,hyp:tok:least
47,pre:tok:behind,hyp:tok:bar,hyp:tok:dog,hyp:tok:swim
48,pre:tok:grocery,hyp:tok:next,hyp:tok:no,hyp:tok:sheep
49,pre:tok:girls,pre:tok:hug,pre:tok:others,hyp:tok:waist
50,pre:tok:bearded,hyp:tok:plays,pre:tok:beach,pre:tok:child
51,pre:tok:front,pre:tok:playing,pre:tok:live,hyp:tok:marathon
52,pre:tok:camera,hyp:tok:groups,pre:tok:fetch,hyp:tok:race
53,hyp:tok:trip,hyp:tok:books,hyp:tok:fetch,pre:tok:museum
54,hyp:tok:festival,pre:tok:child,pre:tok:races,hyp:tok:sad
55,hyp:tok:sits,hyp:tok:cafe,hyp:tok:fingers,hyp:tok:cool
56,hyp:tok:bed,pre:tok:person,hyp:tok:cloudy,hyp:tok:any
57,pre:tok:race,hyp:tok:audience,hyp:tok:plays,pre:tok:wizard
58,pre:tok:by,hyp:tok:owner,pre:tok:stream,pre:tok:courtyard
59,pre:tok:stand,pre:tok:fence,hyp:tok:girls,hyp:tok:bicycle
60,hyp:tok:rope,hyp:tok:some,pre:tok:napping,pre:tok:-
61,pre:tok:riding,hyp:tok:cheerleading,pre:tok:playing,hyp:tok:costume
62,pre:tok:old,pre:tok:crib,hyp:tok:parade,hyp:tok:not
63,pre:tok:skateboarder,pre:tok:quickly,pre:tok:sandwich,pre:tok:meet
64,hyp:tok:has,pre:tok:wizard,hyp:tok:straight,pre:tok:barn
65,pre:tok:chairs,pre:tok:courtyard,pre:tok:she,hyp:tok:has
66,hyp:tok:room,hyp:tok:tag,hyp:tok:puddle,hyp:tok:rocky
67,hyp:tok:looks,pre:tok:ground,hyp:tok:ocean,pre:tok:poker
68,pre:tok:beach,hyp:tok:bicycle,hyp:tok:soccer,hyp:tok:couple
69,pre:tok:together,hyp:tok:costume,hyp:tok:courtyard,hyp:tok:daughters
70,hyp:tok:sidewalk,pre:tok:trail,pre:tok:females,pre:tok:stairs
71,pre:tok:rock,pre:tok:working,pre:tok:bench,hyp:tok:handing
72,pre:tok:book,hyp:tok:water,pre:tok:running,hyp:tok:bottles
73,hyp:tok:black,hyp:tok:has,hyp:tok:cake,pre:tok:skyline
74,pre:tok:painted,pre:tok:open,hyp:tok:brothers,hyp:tok:'s
75,pre:tok:someone,pre:tok:rock,hyp:tok:water,pre:tok:daughters
76,,pre:tok:swimming,hyp:tok:couple,hyp:tok:yarn
77,,pre:tok:dressed,hyp:tok:upset,hyp:tok:boy
78,,hyp:tok:conductor,hyp:tok:feet,hyp:tok:as
79,,hyp:tok:older,hyp:tok:young,pre:tok:auditorium
80,,pre:tok:city,hyp:tok:around,hyp:tok:hotel
81,,hyp:tok:before,pre:tok:late,hyp:tok:men
82,,pre:tok:three,hyp:tok:haired,hyp:tok:crowded
83,,pre:tok:goggles,pre:tok:hits,pre:tok:hiding
84,,hyp:tok:puzzle,hyp:tok:shirt,hyp:tok:chinese
85,,hyp:tok:dinner,hyp:tok:trying,pre:tok:soda
86,,hyp:tok:butterfly,hyp:tok:relaxing,hyp:tok:name
87,,hyp:tok:down,hyp:tok:clear,pre:tok:pulled
88,,hyp:tok:funny,hyp:tok:bikes,hyp:tok:brushes
89,,pre:tok:trampoline,hyp:tok:television,hyp:tok:guitars
90,,hyp:tok:holding,hyp:tok:elderly,
91,,pre:tok:outside,pre:tok:learning,
92,,hyp:tok:street,hyp:tok:with,
93,,hyp:tok:through,hyp:tok:boy,
94,,pre:tok:shown,pre:tok:!,
95,,,pre:tok:soap,
96,,,hyp:tok:empty,
97,,,hyp:tok:students,
98,,,hyp:tok:dogs,
99,,,hyp:tok:friends,
100,,,hyp:tok:laboratory,
101,,,pre:tok:'s,
102,,,pre:tok:mirror,
