,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:unicycle,pre:tok:structure,hyp:tok:pitcher,hyp:tok:humans
1,pre:tok:talks,hyp:tok:humans,hyp:tok:humans,hyp:tok:moon
2,pre:tok:forehead,pre:tok:yellow,hyp:tok:surrounded,pre:tok:green
3,hyp:tok:snowshoes,pre:tok:patio,pre:tok:yellow,pre:tok:wet
4,hyp:tok:tunnel,pre:tok:stove,hyp:tok:pet,hyp:tok:desk
5,pre:tok:girl,hyp:tok:paved,pre:tok:her,hyp:tok:neighborhood
6,pre:tok:weather,hyp:tok:children,pre:tok:dirt,hyp:tok:stream
7,hyp:tok:-,hyp:tok:desk,hyp:tok:walked,pre:tok:talking
8,hyp:tok:goal,hyp:tok:smiling,pre:tok:sunset,hyp:tok:push
9,pre:tok:next,hyp:tok:waitress,hyp:tok:short,pre:tok:urban
10,pre:tok:standing,hyp:tok:runs,pre:tok:stool,pre:tok:roller
11,pre:tok:clear,hyp:tok:chat,pre:tok:profile,hyp:tok:snow
12,pre:tok:climbs,pre:tok:instrument,hyp:tok:climbing,pre:tok:airport
13,hyp:tok:tea,hyp:tok:unicycle,hyp:tok:tractor,hyp:tok:swimsuit
14,hyp:tok:theater,hyp:tok:device,hyp:tok:picture,pre:tok:girl
15,hyp:tok:ladies,pre:tok:airport,hyp:tok:sport,hyp:tok:halloween
16,hyp:tok:apartment,hyp:tok:artwork,hyp:tok:diving,pre:tok:gentlemen
17,hyp:tok:appears,hyp:tok:skydiving,hyp:tok:accordion,hyp:tok:championship
18,hyp:tok:soap,hyp:tok:complete,hyp:tok:walking,hyp:tok:come
19,hyp:tok:son,hyp:tok:signs,hyp:tok:crane,hyp:tok:you
20,hyp:tok:wrestlers,hyp:tok:musical,hyp:tok:you,hyp:tok:adults
21,hyp:tok:bin,hyp:tok:crane,pre:tok:ride,hyp:tok:hot
22,pre:tok:photographer,hyp:tok:trail,pre:tok:funny,hyp:tok:grassy
23,pre:tok:stand,pre:tok:mid,pre:tok:nose,hyp:tok:child
24,hyp:tok:bread,pre:tok:competition,hyp:tok:been,pre:tok:bucket
25,pre:tok:flowered,hyp:tok:toy,pre:tok:cigarettes,hyp:tok:bath
26,hyp:tok:space,hyp:tok:wife,hyp:tok:brown,pre:tok:males
27,hyp:tok:airport,pre:tok:suspenders,pre:tok:rooftop,pre:tok:speaks
28,hyp:tok:stuck,hyp:tok:inline,pre:tok:parents,hyp:tok:theater
29,pre:tok:passed,hyp:tok:lamp,hyp:tok:painting,pre:tok:dress
30,hyp:tok:looks,pre:tok:field,hyp:tok:backpacks,hyp:tok:played
31,hyp:tok:sandals,pre:tok:company,hyp:tok:soup,hyp:tok:staircase
32,pre:tok:arm,hyp:tok:activity,hyp:tok:staircase,pre:tok:than
33,hyp:tok:sweater,hyp:tok:instrument,pre:tok:photographed,pre:tok:jumped
34,hyp:tok:crib,pre:tok:protecting,hyp:tok:beard,hyp:tok:ladies
35,pre:tok:bus,hyp:tok:bath,pre:tok:cleaning,pre:tok:front
36,hyp:tok:trick,pre:tok:relax,pre:tok:performer,hyp:tok:kid
37,pre:tok:cook,pre:tok:church,pre:tok:trunks,pre:tok:tips
38,pre:tok:numbered,pre:tok:below,pre:tok:off,hyp:tok:without
39,pre:tok:images,hyp:tok:tea,pre:tok:set,hyp:tok:vacation
40,pre:tok:looking,hyp:tok:rink,hyp:tok:cows,hyp:tok:suspended
41,hyp:tok:bridal,pre:tok:go,hyp:tok:clothes,pre:tok:mall
42,pre:tok:hammer,hyp:tok:theater,pre:tok:holding,pre:tok:as
43,pre:tok:turns,pre:tok:shoulders,hyp:tok:pulled,hyp:tok:orchestra
