,Concepts common to all clusters
0,(NOT hyp:tok:is)
1,(NOT pre:tok:in)
2,(NOT pre:tok:with)
3,(NOT oth:overlap:overlap50)
4,(NOT hyp:tok:on)
5,(NOT pre:tok:and)
6,(NOT hyp:tok:to)
7,(NOT hyp:tok:woman)
8,(NOT pre:tok:man)
9,(hyp:tok:for OR hyp:tok:to)
10,(NOT pre:tok:dog)
11,(NOT pre:tok:to)
12,(NOT hyp:tok:outside)
13,(NOT pre:tok:sitting)
14,(NOT oth:overlap:overlap25)
15,(NOT oth:overlap:overlap75)
16,(NOT hyp:tok:in)
17,(NOT hyp:tok:are)
18,(NOT pre:tok:on)
19,(NOT pre:tok:his)
20,(NOT hyp:tok:his)
21,(NOT pre:tok:woman)
22,(NOT hyp:tok:for)
23,(NOT hyp:tok:people)
24,(NOT pre:tok:people)
25,(NOT pre:tok:are)
26,(NOT pre:tok:is)
27,(NOT pre:tok:two)
28,(NOT pre:tok:walking)
