,Concepts common to all clusters
0,(NOT hyp:tok:water)
1,(NOT pre:tok:her)
2,(NOT hyp:tok:her)
3,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:on))
4,(NOT pre:tok:his)
5,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his)
6,(NOT hyp:tok:people)
7,(NOT pre:tok:girl)
8,(NOT pre:tok:front)
9,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:after)
10,(NOT pre:tok:man)
11,(NOT pre:tok:standing)
12,(hyp:tok:for OR hyp:tok:her)
13,(hyp:tok:outside OR hyp:tok:people)
14,((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is))
15,(NOT pre:tok:down)
16,(NOT hyp:tok:and)
17,(NOT hyp:tok:on)
18,(hyp:tok:is OR pre:tok:with)
19,(NOT pre:tok:in)
20,(NOT oth:overlap:overlap50)
21,(NOT hyp:tok:to)
22,(NOT hyp:tok:his)
23,(NOT hyp:tok:next)
24,((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:in))
25,(NOT pre:tok:wearing)
26,(NOT pre:tok:people)
27,(NOT pre:tok:on)
28,(NOT pre:tok:are)
29,(NOT hyp:tok:at)
30,(hyp:tok:are OR hyp:tok:is)
31,(((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in)) AND (NOT hyp:tok:outside))
32,(NOT hyp:tok:person)
33,(NOT hyp:tok:there)
34,(NOT pre:tok:young)
35,(hyp:tok:in OR hyp:tok:sleeping)
36,(NOT hyp:tok:two)
37,(NOT hyp:tok:for)
38,(NOT hyp:tok:with)
39,(NOT hyp:tok:are)
40,(NOT pre:tok:red)
41,(NOT pre:tok:dog)
42,(hyp:tok:outside OR oth:overlap:overlap75)
43,(NOT pre:tok:-)
44,((hyp:tok:outdoors OR hyp:tok:outside) OR hyp:tok:there)
45,((NOT oth:overlap:overlap25) AND pre:tok:in)
46,(NOT hyp:tok:group)
47,(NOT hyp:tok:sitting)
48,(NOT pre:tok:sitting)
49,(NOT pre:tok:men)
50,(hyp:tok:outside OR oth:overlap:overlap50)
51,(NOT hyp:tok:man)
52,(NOT hyp:tok:outside)
53,((hyp:tok:outside OR oth:overlap:overlap75) OR hyp:tok:outdoors)
54,(NOT pre:tok:woman)
55,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:they)
56,(NOT pre:tok:boy)
57,((NOT oth:overlap:overlap25) AND hyp:tok:is)
58,(hyp:tok:people OR oth:overlap:overlap50)
59,((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to))
60,(NOT pre:tok:white)
61,(NOT oth:overlap:overlap75)
62,(NOT pre:tok:street)
63,(hyp:tok:there OR oth:overlap:overlap50)
64,(NOT oth:overlap:overlap25)
65,(hyp:tok:at OR hyp:tok:in)
66,(NOT hyp:tok:in)
67,((hyp:tok:outside OR oth:overlap:overlap50) OR hyp:tok:outdoors)
68,(NOT pre:tok:and)
69,(NOT pre:tok:water)
70,(hyp:tok:outdoors OR hyp:tok:outside)
71,(NOT hyp:tok:down)
72,(hyp:tok:his OR hyp:tok:in)
73,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their)
74,(hyp:tok:outdoors OR oth:overlap:overlap50)
75,((NOT oth:overlap:overlap50) AND hyp:tok:is)
76,(NOT pre:tok:while)
77,(hyp:tok:people OR oth:overlap:overlap25)
78,(NOT hyp:tok:playing)
79,(NOT pre:tok:to)
80,(NOT pre:tok:is)
81,(hyp:tok:people OR oth:overlap:overlap75)
82,(NOT hyp:tok:men)
83,(NOT pre:tok:as)
84,(hyp:tok:nobody OR hyp:tok:sleeping)
85,(hyp:tok:in OR hyp:tok:nobody)
86,(NOT pre:tok:two)
87,(NOT pre:tok:blue)
88,(hyp:tok:is OR pre:tok:in)
89,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:with))
90,(hyp:tok:people OR hyp:tok:there)
91,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in))
92,(hyp:tok:in OR hyp:tok:on)
93,(hyp:tok:for OR hyp:tok:to)
94,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall)
95,(NOT pre:tok:with)
96,(NOT hyp:tok:is)
97,(NOT pre:tok:at)
98,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:after)
