,Concepts common to all clusters
0,(NOT pre:tok:in)
1,(NOT pre:tok:dog)
2,(NOT oth:overlap:overlap50)
3,(NOT pre:tok:while)
4,(NOT pre:tok:for)
5,(NOT hyp:tok:to)
6,(NOT hyp:tok:his)
7,(NOT pre:tok:sitting)
8,(NOT pre:tok:to)
9,(NOT pre:tok:wearing)
10,(NOT hyp:tok:man)
11,(NOT pre:tok:is)
12,(NOT hyp:tok:outside)
13,(NOT pre:tok:woman)
14,(NOT hyp:tok:people)
15,(NOT pre:tok:people)
16,(NOT pre:tok:two)
17,(NOT pre:tok:on)
18,(NOT pre:tok:are)
19,(NOT pre:tok:shirt)
20,(NOT pre:tok:man)
21,(NOT oth:overlap:overlap75)
22,(NOT oth:overlap:overlap25)
23,(hyp:tok:asleep OR hyp:tok:sleeping)
24,(NOT hyp:tok:for)
25,(NOT hyp:tok:are)
26,(hyp:tok:for OR hyp:tok:to)
27,(NOT hyp:tok:in)
28,(NOT pre:tok:and)
29,(NOT pre:tok:with)
30,(NOT hyp:tok:is)
31,(NOT pre:tok:at)
