,Concepts common to all clusters
0,(NOT oth:overlap:overlap25)
1,(NOT pre:tok:walking)
2,(NOT pre:tok:is)
3,(NOT pre:tok:with)
4,(NOT pre:tok:on)
5,(NOT pre:tok:to)
6,(NOT pre:tok:in)
7,(NOT pre:tok:man)
8,(NOT hyp:tok:is)
9,(NOT pre:tok:woman)
10,(NOT pre:tok:and)
11,(NOT hyp:tok:woman)
12,(hyp:tok:for OR hyp:tok:to)
13,(NOT oth:overlap:overlap75)
14,(NOT hyp:tok:outside)
15,(NOT hyp:tok:in)
16,(NOT hyp:tok:people)
17,(NOT pre:tok:dog)
18,(NOT pre:tok:are)
19,(NOT hyp:tok:to)
20,(NOT pre:tok:people)
21,(NOT oth:overlap:overlap50)
22,(NOT hyp:tok:his)
23,(NOT hyp:tok:are)
24,(NOT pre:tok:two)
25,(NOT hyp:tok:on)
26,(NOT pre:tok:his)
27,(NOT hyp:tok:for)
28,(NOT pre:tok:sitting)
