,Concepts common to all clusters
0,(NOT hyp:tok:in)
1,(NOT pre:tok:his)
2,(NOT oth:overlap:overlap25)
3,(hyp:tok:outdoors OR oth:overlap:overlap50)
4,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their)
5,(NOT pre:tok:blue)
6,(NOT pre:tok:while)
7,(hyp:tok:for OR hyp:tok:to)
8,(hyp:tok:in OR hyp:tok:on)
9,(NOT pre:tok:boy)
10,(NOT pre:tok:woman)
11,((NOT oth:overlap:overlap25) AND pre:tok:in)
12,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:after)
13,(NOT hyp:tok:on)
14,(hyp:tok:nobody OR hyp:tok:sleeping)
15,((NOT oth:overlap:overlap50) AND hyp:tok:is)
16,(NOT hyp:tok:down)
17,(hyp:tok:outside OR oth:overlap:overlap75)
18,(NOT pre:tok:people)
19,((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:in))
20,(NOT pre:tok:in)
21,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:after)
22,(NOT hyp:tok:to)
23,(NOT pre:tok:and)
24,(NOT pre:tok:sitting)
25,(NOT hyp:tok:with)
26,((hyp:tok:outdoors OR hyp:tok:outside) OR hyp:tok:there)
27,(NOT pre:tok:wearing)
28,(((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in)) AND (NOT hyp:tok:outside))
29,(NOT hyp:tok:sitting)
30,(NOT hyp:tok:is)
31,(hyp:tok:outside OR hyp:tok:people)
32,(NOT pre:tok:men)
33,(hyp:tok:for OR hyp:tok:her)
34,(NOT pre:tok:at)
35,(hyp:tok:outside OR oth:overlap:overlap50)
36,((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to))
37,(NOT hyp:tok:are)
38,(hyp:tok:there OR oth:overlap:overlap50)
39,(NOT pre:tok:on)
40,((NOT oth:overlap:overlap25) AND hyp:tok:is)
41,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his)
42,(NOT hyp:tok:people)
43,(hyp:tok:people OR hyp:tok:there)
44,(hyp:tok:in OR hyp:tok:sleeping)
45,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:with))
46,(hyp:tok:are OR hyp:tok:is)
47,(hyp:tok:at OR hyp:tok:in)
48,(NOT hyp:tok:there)
49,(NOT oth:overlap:overlap75)
50,(NOT hyp:tok:person)
51,(NOT pre:tok:girl)
52,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall)
53,(hyp:tok:in OR hyp:tok:nobody)
54,(hyp:tok:people OR oth:overlap:overlap25)
55,(NOT hyp:tok:next)
56,(NOT hyp:tok:men)
57,(NOT pre:tok:standing)
58,(NOT hyp:tok:and)
59,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:on))
60,(NOT hyp:tok:for)
61,(NOT pre:tok:street)
62,(NOT hyp:tok:his)
63,(NOT pre:tok:her)
64,(NOT hyp:tok:outside)
65,(NOT pre:tok:is)
66,(hyp:tok:is OR pre:tok:with)
67,(NOT hyp:tok:playing)
68,(NOT pre:tok:dog)
69,((hyp:tok:outside OR oth:overlap:overlap50) OR hyp:tok:outdoors)
70,(NOT hyp:tok:group)
71,(NOT pre:tok:man)
72,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in))
73,(NOT hyp:tok:two)
74,((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is))
75,(NOT pre:tok:are)
76,((hyp:tok:outside OR oth:overlap:overlap75) OR hyp:tok:outdoors)
77,(NOT pre:tok:two)
78,(NOT oth:overlap:overlap50)
79,(NOT hyp:tok:man)
80,(NOT pre:tok:water)
81,(NOT hyp:tok:at)
82,(NOT pre:tok:white)
83,(hyp:tok:people OR oth:overlap:overlap50)
84,(NOT pre:tok:red)
85,(NOT pre:tok:to)
86,(hyp:tok:is OR pre:tok:in)
87,(NOT hyp:tok:her)
88,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:they)
89,(hyp:tok:outdoors OR hyp:tok:outside)
90,(NOT pre:tok:with)
91,(NOT pre:tok:-)
92,(NOT hyp:tok:water)
93,(hyp:tok:people OR oth:overlap:overlap75)
94,(NOT pre:tok:down)
95,(NOT pre:tok:front)
96,(NOT pre:tok:as)
97,(NOT pre:tok:young)
98,(hyp:tok:his OR hyp:tok:in)
