unit,best_name,best_iou
1,pre:tok:in,0.0
2,pre:tok:in,0.0
3,pre:tok:in,0.0
4,pre:tok:in,0.0
5,pre:tok:in,0.0
6,((((hyp:tok:tall OR hyp:tok:very) OR hyp:tok:blonde) OR pre:tok:few) OR pre:tok:washes),0.116751269035533
7,pre:tok:in,0.0
8,((((hyp:tok:competition AND pre:tok:over) OR hyp:tok:cheek) OR hyp:tok:harness) AND (NOT hyp:tok:is)),0.1724137931034483
9,pre:tok:in,0.0
10,pre:tok:in,0.0
11,pre:tok:in,0.0
12,pre:tok:in,0.0
13,pre:tok:in,0.0
14,pre:tok:in,0.0
15,(((((NOT oth:overlap:overlap25) AND hyp:tok:sitting) AND (NOT pre:tok:on)) OR hyp:tok:swimsuit) AND (NOT pre:tok:at)),0.19387755102040816
16,((((hyp:tok:outside OR pre:tok:dog) OR hyp:tok:something) OR hyp:tok:olympics) OR hyp:tok:walks),0.09227129337539432
17,pre:tok:in,0.0
18,pre:tok:in,0.0
19,((((hyp:tok:pictured OR pre:tok:paddles) OR hyp:tok:12) OR hyp:tok:wheeler) AND (NOT pre:tok:man)),0.16129032258064516
20,pre:tok:in,0.0
21,pre:tok:in,0.0
22,((((NOT oth:overlap:overlap25) AND (hyp:tok:name OR hyp:tok:sweeping)) OR hyp:tok:sunlight) AND (NOT pre:tok:man)),0.2727272727272727
23,pre:tok:in,0.0
24,pre:tok:in,0.0
25,pre:tok:in,0.0
26,pre:tok:in,0.0
27,pre:tok:in,0.0
28,(pre:tok:are AND pre:tok:bare),0.3333333333333333
29,pre:tok:in,0.0
30,pre:tok:in,0.0
31,pre:tok:in,0.0
32,pre:tok:in,0.0
33,pre:tok:in,0.0
34,pre:tok:in,0.0
35,pre:tok:in,0.0
36,pre:tok:in,0.0
37,pre:tok:in,0.0
38,pre:tok:in,0.0
39,(hyp:tok:has AND pre:tok:wrench),1.0
40,pre:tok:in,0.0
41,pre:tok:in,0.0
42,pre:tok:in,0.0
43,pre:tok:in,0.0
44,pre:tok:in,0.0
45,(hyp:tok:sitting AND pre:tok:son),1.0
46,pre:tok:in,0.0
47,pre:tok:in,0.0
48,pre:tok:in,0.0
49,pre:tok:in,0.0
50,pre:tok:in,0.0
51,pre:tok:in,0.0
52,pre:tok:in,0.0
53,pre:tok:in,0.0
54,pre:tok:in,0.0
55,pre:tok:in,0.0
56,pre:tok:in,0.0
57,pre:tok:in,0.0
58,pre:tok:in,0.0
59,pre:tok:in,0.0
60,pre:tok:in,0.0
61,pre:tok:in,0.0
62,pre:tok:in,0.0
63,pre:tok:in,0.0
64,pre:tok:in,0.0
65,((((NOT pre:tok:bicycle) AND (hyp:tok:bicycle AND hyp:tok:riding)) OR hyp:tok:sleeved) AND (NOT pre:tok:one)),0.38095238095238093
66,pre:tok:in,0.0
67,pre:tok:in,0.0
68,pre:tok:in,0.0
69,pre:tok:in,0.0
70,((((hyp:tok:cafe OR hyp:tok:swimming) OR hyp:tok:summer) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:-)),0.2122905027932961
