unit,best_name,best_iou
6,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home) OR hyp:tok:they) OR pre:tok:waiting),0.08771929824561403
8,((((hyp:tok:about OR hyp:tok:for) OR hyp:tok:son) OR hyp:tok:sad) OR hyp:tok:festival),0.11422172452407615
12,(hyp:tok:tourists AND pre:tok:and),0.25
15,((((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep) OR hyp:tok:laying) OR hyp:tok:bedroom),0.09195402298850575
16,((((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person) OR pre:tok:play) AND (NOT hyp:tok:group)),0.11448048895157499
17,((((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry) AND (NOT hyp:tok:on)) OR hyp:tok:sandwiches),0.11688311688311688
19,((((pre:tok:are AND pre:tok:this) OR pre:tok:chinese) OR hyp:tok:filled) OR pre:tok:jean),0.09803921568627451
21,(hyp:tok:watching AND pre:tok:chases),0.5
22,((((hyp:tok:maintenance OR hyp:tok:tan) OR hyp:tok:boards) OR hyp:tok:lead) OR hyp:tok:spinning),0.16129032258064516
28,((((NOT hyp:tok:is) AND (hyp:tok:outside OR pre:tok:photographer)) OR pre:tok:upset) OR hyp:tok:human),0.07552083333333333
31,(hyp:tok:sing AND pre:tok:wearing),0.5
35,(hyp:tok:couch AND pre:tok:little),1.0
37,((((hyp:tok:human OR pre:tok:surfing) OR pre:tok:chopping) OR hyp:tok:helmet) OR pre:tok:ready),0.07177033492822966
38,(hyp:tok:people AND pre:tok:european),0.5
39,(((((NOT pre:tok:with) AND hyp:tok:nobody) AND (NOT pre:tok:woman)) AND (NOT pre:tok:boy)) AND (NOT pre:tok:wearing)),0.37037037037037035
40,((((NOT pre:tok:in) AND hyp:tok:bass) OR pre:tok:skydiving) AND pre:tok:with),0.25
41,((((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves) OR hyp:tok:tiles),0.16666666666666666
45,((((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy) OR hyp:tok:roller) OR hyp:tok:crime),0.0797872340425532
50,(hyp:tok:and AND pre:tok:hairnet),0.3333333333333333
52,((((pre:tok:design OR pre:tok:placing) OR pre:tok:folding) OR pre:tok:telling) AND (NOT hyp:tok:man)),0.08139534883720931
59,((((hyp:tok:men AND pre:tok:smile) OR hyp:tok:steering) OR hyp:tok:onlookers) AND (NOT pre:tok:group)),0.2857142857142857
61,((((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded) OR hyp:tok:rowboat) OR hyp:tok:roller),0.19230769230769232
63,(((hyp:tok:for AND hyp:tok:walmart) OR pre:tok:passed) AND (NOT pre:tok:two)),0.25
65,((((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread) OR pre:tok:steel) OR hyp:tok:upright),0.08088235294117647
67,(hyp:tok:tired AND pre:tok:white),0.5
70,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:alone) AND (NOT pre:tok:sitting)) OR pre:tok:match),0.07511045655375552
71,((((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman) AND (NOT pre:tok:street)) AND (NOT hyp:tok:girl)),0.08718626155878467
72,(hyp:tok:lying AND pre:tok:black),1.0
76,(((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in) AND (NOT pre:tok:is)),0.2413793103448276
77,((((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:chat) OR hyp:tok:buildings) OR pre:tok:owner),0.10869565217391304
83,((((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers) OR hyp:tok:science) OR hyp:tok:produce),0.10909090909090909
84,((hyp:tok:older AND pre:tok:holding) AND hyp:tok:her),1.0
85,(hyp:tok:at AND pre:tok:hammer),0.3333333333333333
87,((((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild) OR hyp:tok:desks),0.14705882352941177
89,(((((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for) OR pre:tok:sitting) AND (NOT hyp:tok:sitting)),0.09630606860158311
91,(hyp:tok:sunny AND pre:tok:her),0.5
92,((hyp:tok:soccer AND pre:tok:yellow) AND hyp:tok:playing),0.3333333333333333
98,((((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids) OR hyp:tok:chess) OR pre:tok:daughter),0.06724511930585683
99,((((NOT pre:tok:are) AND (oth:overlap:overlap75 OR pre:tok:items)) AND (NOT hyp:tok:in)) OR pre:tok:works),0.05511111111111111
106,((((hyp:tok:nobody OR hyp:tok:not) OR hyp:tok:eats) OR hyp:tok:n't) OR hyp:tok:fish),0.1044776119402985
109,(hyp:tok:religious AND hyp:tok:to),0.5
113,((((pre:tok:painted AND pre:tok:to) OR hyp:tok:speed) OR hyp:tok:bin) AND oth:overlap:overlap25),0.10416666666666667
128,((((pre:tok:blue OR pre:tok:up) OR pre:tok:their) OR hyp:tok:his) AND (NOT oth:overlap:overlap75)),0.06420626895854398
129,((((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair) AND (NOT pre:tok:sitting)) AND (NOT pre:tok:sits)),0.1043956043956044
132,((((hyp:tok:horses AND hyp:tok:riding) OR hyp:tok:magazine) AND (NOT pre:tok:on)) AND (NOT pre:tok:with)),0.25
133,((((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee) OR hyp:tok:television) OR pre:tok:kayak),0.08064516129032258
134,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:wearing)) OR hyp:tok:eating) AND (NOT hyp:tok:people)),0.08120649651972157
136,(hyp:tok:small AND pre:tok:swimming),0.5
137,((((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe) OR hyp:tok:championship) OR hyp:tok:golden),0.12698412698412698
139,((((hyp:tok:dock OR hyp:tok:swimming) AND hyp:tok:people) OR hyp:tok:though) OR hyp:tok:among),0.14
140,((((hyp:tok:swimming AND pre:tok:two) OR hyp:tok:maintenance) OR pre:tok:unicycle) OR hyp:tok:paddle),0.1509433962264151
150,(hyp:tok:cafeteria AND pre:tok:behind),0.3333333333333333
151,((((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man) OR hyp:tok:pets),0.13513513513513514
153,((pre:tok:body AND pre:tok:brown) AND hyp:tok:in),1.0
156,((((hyp:tok:women AND pre:tok:mcdonald) OR pre:tok:rainy) AND (NOT pre:tok:some)) AND (NOT oth:overlap:overlap50)),0.2
157,((((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad) OR hyp:tok:family) OR hyp:tok:racing),0.08676789587852494
163,(hyp:tok:well AND pre:tok:shirt),0.3333333333333333
165,(hyp:tok:naked AND pre:tok:wig),0.5
170,(hyp:tok:make AND pre:tok:playing),0.5
171,(((hyp:tok:outside AND pre:tok:golfer) OR pre:tok:turns) AND (NOT hyp:tok:is)),0.4
173,((((hyp:tok:at OR hyp:tok:in) OR hyp:tok:to) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:with)),0.06583072100313479
176,((((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards) OR pre:tok:heading) AND (NOT oth:overlap:overlap50)),0.23529411764705882
179,((((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on) OR pre:tok:sunset) OR hyp:tok:mid),0.175
181,((((hyp:tok:bedroom OR hyp:tok:stuck) OR hyp:tok:clock) AND (NOT pre:tok:in)) OR hyp:tok:pets),0.13333333333333333
183,(hyp:tok:boat AND pre:tok:driving),1.0
185,(((hyp:tok:guitars OR hyp:tok:spinning) OR hyp:tok:bottles) AND pre:tok:on),0.25
191,((((hyp:tok:trunks OR pre:tok:bat) AND pre:tok:to) OR pre:tok:rowing) AND (NOT hyp:tok:are)),0.2
192,(hyp:tok:lead AND pre:tok:and),0.3333333333333333
197,((((NOT pre:tok:man) AND (hyp:tok:nobody OR hyp:tok:nothing)) OR pre:tok:everywhere) AND (NOT pre:tok:woman)),0.1511627906976744
198,(((((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man) OR hyp:tok:pocket) AND (NOT pre:tok:into)),0.36363636363636365
203,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) AND (NOT hyp:tok:people)) AND (NOT pre:tok:his)),0.0645879732739421
204,((((hyp:tok:sandals OR pre:tok:apartment) OR pre:tok:pet) OR pre:tok:straight) OR pre:tok:clear),0.10714285714285714
209,((((pre:tok:living OR pre:tok:shaving) OR pre:tok:bearded) OR hyp:tok:sport) OR hyp:tok:sings),0.09259259259259259
213,((((hyp:tok:bed OR hyp:tok:ocean) OR hyp:tok:bedroom) OR hyp:tok:tv) OR hyp:tok:plane),0.09897610921501707
214,(hyp:tok:are AND hyp:tok:golden),1.0
215,((hyp:tok:gymnasium OR hyp:tok:hooded) AND pre:tok:is),0.6666666666666666
224,(hyp:tok:human AND pre:tok:toys),0.5
225,(hyp:tok:girl AND pre:tok:ramp),1.0
226,(hyp:tok:sleeping AND pre:tok:hang),1.0
230,(((hyp:tok:last AND pre:tok:two) OR hyp:tok:photographs) AND (NOT pre:tok:man)),0.3333333333333333
231,((((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is) OR hyp:tok:soap) AND (NOT oth:overlap:overlap25)),0.17647058823529413
232,(((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped) AND (NOT pre:tok:his)),0.16176470588235295
234,((((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television) OR hyp:tok:skate),0.1282051282051282
238,((((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner) OR pre:tok:masks) OR hyp:tok:photographers),0.06935123042505593
239,((((NOT pre:tok:wearing) AND (hyp:tok:human OR hyp:tok:wearing)) OR pre:tok:swimming) OR hyp:tok:bowling),0.058823529411764705
241,((((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on)) OR hyp:tok:sandwiches),0.16326530612244897
244,((((hyp:tok:home AND pre:tok:from) AND hyp:tok:is) OR hyp:tok:handing) AND (NOT pre:tok:to)),0.3
245,(hyp:tok:pub AND pre:tok:in),0.5
247,((((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded) OR hyp:tok:wetsuit) OR hyp:tok:steering),0.23809523809523808
248,((((hyp:tok:- AND pre:tok:while) OR hyp:tok:!) OR pre:tok:fast) OR pre:tok:desks),0.11235955056179775
251,((((NOT hyp:tok:her) AND (hyp:tok:smiling AND hyp:tok:woman)) AND pre:tok:woman) AND (NOT pre:tok:old)),0.4
253,((((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter) OR hyp:tok:rack) AND (NOT oth:overlap:overlap50)),0.16666666666666666
254,((((pre:tok:skateboarder OR pre:tok:snowman) OR hyp:tok:face) OR hyp:tok:slam) OR hyp:tok:roller),0.08163265306122448
257,(((((NOT pre:tok:his) AND oth:overlap:overlap75) AND (NOT hyp:tok:are)) OR hyp:tok:girlfriend) AND (NOT pre:tok:boy)),0.06459143968871596
260,(((hyp:tok:blanket AND pre:tok:through) OR pre:tok:jumped) AND hyp:tok:on),0.2727272727272727
261,((((hyp:tok:female OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:ft) OR pre:tok:chat),0.08860759493670886
262,((((hyp:tok:empty OR hyp:tok:ocean) OR hyp:tok:nothing) OR hyp:tok:naked) OR hyp:tok:buys),0.08771929824561403
265,((((oth:overlap:overlap50 OR pre:tok:race) OR pre:tok:game) AND (NOT pre:tok:standing)) OR hyp:tok:nobody),0.08154636061612806
267,(((hyp:tok:project OR hyp:tok:puzzle) AND pre:tok:man) AND (NOT hyp:tok:two)),0.25
270,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT hyp:tok:person)) AND (NOT hyp:tok:his)),0.08514605344934742
275,((((hyp:tok:bent OR hyp:tok:shade) OR hyp:tok:elephant) AND oth:overlap:overlap25) OR hyp:tok:chicken),0.2222222222222222
280,(((((NOT hyp:tok:to) AND oth:overlap:overlap25) OR pre:tok:to) AND (NOT hyp:tok:for)) AND (NOT hyp:tok:while)),0.10196431249062828
283,((((hyp:tok:for OR hyp:tok:their) OR hyp:tok:home) OR hyp:tok:to) AND (NOT pre:tok:shirt)),0.08298999411418481
284,((((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:outdoors) OR hyp:tok:people) AND (NOT pre:tok:wearing)),0.07528011204481792
285,((((NOT pre:tok:and) AND (hyp:tok:pets OR hyp:tok:swimming)) AND (NOT oth:overlap:overlap50)) OR pre:tok:got),0.125
287,((((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on) OR hyp:tok:tables) AND pre:tok:man),0.3333333333333333
288,((((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman) AND (NOT oth:overlap:overlap75)),0.096045197740113
290,((((hyp:tok:concert OR pre:tok:farmer) OR pre:tok:leaf) OR hyp:tok:art) AND (NOT oth:overlap:overlap50)),0.08695652173913043
292,((((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking)) OR pre:tok:talks) OR pre:tok:grocery),0.0641025641025641
293,((((hyp:tok:getting AND pre:tok:gathering) OR pre:tok:swims) AND hyp:tok:water) OR pre:tok:golfer),0.18181818181818182
294,((((hyp:tok:beard OR hyp:tok:robes) OR hyp:tok:bone) OR hyp:tok:cardboard) OR hyp:tok:whose),0.09375
296,(((hyp:tok:sitting AND pre:tok:pots) OR pre:tok:native) AND hyp:tok:man),0.2222222222222222
297,((((hyp:tok:jumping AND pre:tok:into) OR hyp:tok:packages) OR pre:tok:pumpkin) OR hyp:tok:tunnel),0.15151515151515152
298,((((hyp:tok:smiling AND pre:tok:smile) OR pre:tok:lunch) AND (NOT pre:tok:in)) AND (NOT oth:overlap:overlap50)),0.2
302,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog) OR hyp:tok:looks) AND (NOT pre:tok:to)),0.09256004686584651
304,(((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet) OR hyp:tok:sleep),0.07434944237918216
307,((((hyp:tok:tall AND pre:tok:and) OR hyp:tok:river) OR hyp:tok:bamboo) AND (NOT pre:tok:is)),0.1095890410958904
308,((((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos) OR pre:tok:climbs) OR pre:tok:biker),0.07296137339055794
309,((((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught) OR hyp:tok:cow) AND (NOT pre:tok:with)),0.12903225806451613
312,((((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)) AND (NOT pre:tok:with)) OR hyp:tok:carrot),0.17391304347826086
316,((((hyp:tok:and AND hyp:tok:walk) OR pre:tok:karate) OR hyp:tok:low) AND (NOT pre:tok:woman)),0.12244897959183673
320,((((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom) OR hyp:tok:clean),0.096
324,(hyp:tok:spring AND pre:tok:on),0.3333333333333333
326,(hyp:tok:man AND pre:tok:guitars),0.2
328,((((hyp:tok:cafe OR hyp:tok:sleeps) OR hyp:tok:blanket) OR hyp:tok:cats) AND (NOT oth:overlap:overlap50)),0.13836477987421383
332,((((hyp:tok:middle AND hyp:tok:swimming) OR hyp:tok:tables) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:into)),0.5
333,(hyp:tok:wares AND pre:tok:are),1.0
336,((((hyp:tok:friends OR hyp:tok:lunch) OR pre:tok:reads) OR hyp:tok:case) OR hyp:tok:rival),0.08045977011494253
339,(hyp:tok:station AND pre:tok:down),1.0
341,((((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry) OR hyp:tok:bottom) OR hyp:tok:cameras),0.13333333333333333
346,(((((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front)) AND (NOT pre:tok:is)) OR hyp:tok:written),0.3939393939393939
348,((((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf) AND pre:tok:is),0.3
349,(hyp:tok:cats AND hyp:tok:various),0.5
359,((NOT pre:tok:his) AND hyp:tok:popsicle),0.5
362,((((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something) OR hyp:tok:trick) OR hyp:tok:uses),0.07796610169491526
365,(hyp:tok:lime AND hyp:tok:woman),1.0
367,((((hyp:tok:asleep OR hyp:tok:customer) OR pre:tok:similar) AND (NOT oth:overlap:overlap25)) OR hyp:tok:referee),0.09782608695652174
368,((((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)) OR hyp:tok:sleeps) OR hyp:tok:cat),0.09375
369,((((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday) AND (NOT hyp:tok:on)),0.16666666666666666
375,(((((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody) OR pre:tok:glass) OR pre:tok:rest),0.08752025931928688
376,((((pre:tok:curb OR pre:tok:raining) AND hyp:tok:in) OR hyp:tok:hoops) OR pre:tok:birthday),0.15625
377,(((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man)) AND (NOT pre:tok:two)),0.1125
378,((((hyp:tok:pushing OR pre:tok:raises) OR pre:tok:thinking) OR hyp:tok:wild) AND (NOT pre:tok:man)),0.12244897959183673
380,((((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:skateboard) OR pre:tok:skateboarding) AND (NOT pre:tok:while)),0.07327586206896551
382,((((hyp:tok:at OR hyp:tok:in) OR hyp:tok:running) OR pre:tok:bicycle) OR pre:tok:snow),0.08292533659730722
385,((((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal) OR hyp:tok:snowshoes) AND (NOT hyp:tok:to)),0.13513513513513514
386,((((hyp:tok:not OR oth:overlap:overlap75) OR hyp:tok:nobody) AND (NOT pre:tok:walking)) AND (NOT pre:tok:young)),0.06459627329192547
387,(hyp:tok:chewing AND pre:tok:with),0.25
389,(((hyp:tok:robe AND hyp:tok:white) OR hyp:tok:protecting) AND (NOT pre:tok:two)),0.25
390,((((hyp:tok:in OR hyp:tok:on) OR hyp:tok:at) OR pre:tok:holding) AND (NOT pre:tok:looking)),0.07663197729422895
391,((((hyp:tok:for AND hyp:tok:jump) OR hyp:tok:referee) OR pre:tok:unicycle) OR hyp:tok:shoe),0.19230769230769232
392,(((((NOT pre:tok:while) AND hyp:tok:is) OR pre:tok:by) AND (NOT hyp:tok:his)) OR pre:tok:t),0.07174776564051638
395,(((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead) AND (NOT pre:tok:is)),0.25
399,((((hyp:tok:saw OR pre:tok:swimsuit) OR pre:tok:army) AND (NOT pre:tok:is)) OR pre:tok:rescue),0.13157894736842105
400,((((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap) OR pre:tok:surfing) OR pre:tok:low),0.07407407407407407
403,((((pre:tok:movie OR pre:tok:produce) AND hyp:tok:is) OR pre:tok:training) AND (NOT hyp:tok:in)),0.15151515151515152
404,((((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean) OR hyp:tok:goal) AND (NOT oth:overlap:overlap25)),0.0975609756097561
407,(hyp:tok:swimming AND pre:tok:fallen),1.0
410,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:blue)) AND (NOT pre:tok:yellow)) AND (NOT pre:tok:his)),0.06977502445386372
411,((((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight) OR hyp:tok:gather) OR hyp:tok:well),0.16216216216216217
412,((((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset) OR hyp:tok:passed) AND (NOT hyp:tok:in)),0.18181818181818182
413,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:playing)) OR hyp:tok:running) OR hyp:tok:sits),0.06535947712418301
416,((((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying) OR pre:tok:bicycles) OR hyp:tok:television),0.0759493670886076
419,(hyp:tok:human AND pre:tok:toys),0.5
420,((((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football)) OR hyp:tok:protection) OR hyp:tok:tan),0.1509433962264151
423,((((hyp:tok:softball OR pre:tok:upset) AND hyp:tok:man) OR hyp:tok:onlookers) AND pre:tok:in),0.25
424,((((hyp:tok:water AND pre:tok:swimming) OR hyp:tok:happening) OR hyp:tok:furniture) OR pre:tok:wife),0.11538461538461539
427,(hyp:tok:some AND pre:tok:attempting),0.5
429,(hyp:tok:on AND pre:tok:vacation),0.25
431,(hyp:tok:kisses AND pre:tok:two),0.5
434,((NOT pre:tok:in) AND hyp:tok:discussing),0.25
435,((((hyp:tok:in AND hyp:tok:riding) OR pre:tok:boards) AND (NOT pre:tok:and)) OR hyp:tok:stars),0.11428571428571428
436,((((hyp:tok:women AND pre:tok:men) OR hyp:tok:buys) AND (NOT pre:tok:to)) OR hyp:tok:low),0.15625
437,(((hyp:tok:chases AND pre:tok:through) OR pre:tok:studio) AND (NOT hyp:tok:is)),0.2
438,(hyp:tok:with AND pre:tok:couple),1.0
445,(((hyp:tok:groceries AND pre:tok:people) OR pre:tok:army) AND hyp:tok:are),0.2222222222222222
448,(((((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib) AND (NOT pre:tok:girl)) AND (NOT pre:tok:toddler)),0.24242424242424243
450,(hyp:tok:park AND pre:tok:individual),0.2
