unit,best_name,best_iou
3,((((hyp:tok:doctors OR pre:tok:sound) OR pre:tok:tube) OR hyp:tok:blocking) AND (NOT pre:tok:to)),0.125
4,((((hyp:tok:bed OR hyp:tok:figure) AND hyp:tok:in) AND (NOT hyp:tok:sleeping)) OR hyp:tok:wheelchair),0.17391304347826086
5,((((hyp:tok:boy OR pre:tok:background) OR pre:tok:field) AND (NOT oth:overlap:overlap50)) OR hyp:tok:new),0.11190689346463742
6,((((hyp:tok:because OR hyp:tok:river) OR hyp:tok:rival) OR pre:tok:assembled) AND (NOT pre:tok:are)),0.10084033613445378
7,(hyp:tok:downtown AND pre:tok:is),0.3333333333333333
10,((((hyp:tok:bin OR hyp:tok:follows) AND pre:tok:in) OR hyp:tok:hits) AND pre:tok:in),0.2727272727272727
12,(((((NOT oth:overlap:overlap50) AND hyp:tok:is) AND (NOT hyp:tok:his)) AND (NOT hyp:tok:on)) AND (NOT hyp:tok:playing)),0.09607993850883935
13,((((hyp:tok:dry AND pre:tok:water) OR hyp:tok:yarn) OR hyp:tok:neck) AND (NOT hyp:tok:to)),0.3076923076923077
15,((((hyp:tok:playing OR pre:tok:eastern) AND hyp:tok:are) OR pre:tok:sports) AND (NOT hyp:tok:in)),0.07506702412868632
16,((((hyp:tok:side AND pre:tok:looks) OR hyp:tok:wear) OR pre:tok:heads) OR hyp:tok:follows),0.18518518518518517
17,(hyp:tok:as AND hyp:tok:direction),1.0
18,(hyp:tok:big AND hyp:tok:teen),0.3333333333333333
19,((((hyp:tok:plates OR pre:tok:meet) OR pre:tok:vacation) AND (NOT oth:overlap:overlap25)) OR pre:tok:batter),0.12903225806451613
20,(hyp:tok:doctors AND hyp:tok:friends),1.0
21,(hyp:tok:kisses AND pre:tok:are),0.3333333333333333
22,((((hyp:tok:visiting OR pre:tok:modern) AND pre:tok:building) OR hyp:tok:diver) AND (NOT hyp:tok:has)),0.15384615384615385
23,(hyp:tok:dog AND pre:tok:free),0.5
24,((((NOT oth:overlap:overlap50) AND (hyp:tok:old OR hyp:tok:together)) OR hyp:tok:stunt) OR pre:tok:podium),0.07526881720430108
25,((((NOT pre:tok:young) AND (hyp:tok:outside OR pre:tok:background)) OR hyp:tok:yellow) AND (NOT hyp:tok:playing)),0.08571428571428572
26,(((((NOT pre:tok:standing) AND hyp:tok:outside) OR hyp:tok:music) OR hyp:tok:outfits) OR hyp:tok:animals),0.16491754122938532
27,((((NOT pre:tok:street) AND (hyp:tok:bikes OR pre:tok:cheerleaders)) OR hyp:tok:lined) OR hyp:tok:scarves),0.1267605633802817
29,((((hyp:tok:city OR hyp:tok:parade) AND pre:tok:are) OR pre:tok:fan) OR pre:tok:uses),0.10975609756097561
30,(hyp:tok:horse AND pre:tok:stay),1.0
31,(hyp:tok:watching AND pre:tok:sale),1.0
32,((((hyp:tok:harnesses OR hyp:tok:seven) OR hyp:tok:khaki) OR hyp:tok:rocky) OR hyp:tok:dishes),0.13043478260869565
34,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:racing) OR hyp:tok:he),0.1524008350730689
35,((((NOT pre:tok:man) AND (hyp:tok:boy OR hyp:tok:man)) OR pre:tok:that) AND (NOT oth:overlap:overlap50)),0.08497854077253218
36,((((hyp:tok:for OR oth:overlap:overlap50) OR hyp:tok:picture) AND (NOT pre:tok:men)) OR hyp:tok:ball),0.0943758573388203
38,((((hyp:tok:sisters AND pre:tok:photographers) OR hyp:tok:stall) AND pre:tok:in) AND (NOT oth:overlap:overlap50)),0.2
39,hyp:tok:dreadlocks,0.3333333333333333
43,((((hyp:tok:pink AND pre:tok:behind) OR hyp:tok:lined) OR hyp:tok:stream) OR hyp:tok:cheerleading),0.1282051282051282
44,((((NOT oth:overlap:overlap50) AND (hyp:tok:down OR hyp:tok:in)) OR hyp:tok:inside) OR hyp:tok:swimming),0.1178627553693033
45,(hyp:tok:visible AND pre:tok:in),0.5
46,((((hyp:tok:floor AND pre:tok:to) OR pre:tok:win) OR hyp:tok:karate) OR hyp:tok:books),0.19230769230769232
47,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:with)) AND (NOT hyp:tok:in)) AND (NOT pre:tok:camera)),0.1278671236488268
48,((((hyp:tok:bed OR hyp:tok:bench) OR pre:tok:cream) OR pre:tok:strapped) OR pre:tok:bunch),0.08461538461538462
49,((((pre:tok:center OR pre:tok:prepares) OR pre:tok:adults) OR hyp:tok:badminton) OR pre:tok:chopping),0.07425742574257425
50,((((NOT oth:overlap:overlap50) AND (hyp:tok:running OR hyp:tok:sleeping)) AND (NOT pre:tok:with)) OR hyp:tok:sound),0.08695652173913043
52,((((NOT oth:overlap:overlap50) AND (hyp:tok:playing OR pre:tok:-)) OR pre:tok:her) AND (NOT hyp:tok:her)),0.09194029850746269
54,((((hyp:tok:outdoors OR hyp:tok:people) OR hyp:tok:there) AND (NOT hyp:tok:to)) OR hyp:tok:person),0.09605568445475637
55,(((NOT pre:tok:man) AND (hyp:tok:bed AND pre:tok:red)) AND pre:tok:her),0.2
57,(((((NOT pre:tok:while) AND hyp:tok:outside) AND (NOT hyp:tok:in)) AND (NOT pre:tok:outside)) AND (NOT pre:tok:blue)),0.1021671826625387
60,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:his) OR hyp:tok:because),0.22161709258483453
61,((((hyp:tok:great OR pre:tok:shoulders) OR pre:tok:doorway) OR hyp:tok:photographer) OR hyp:tok:than),0.09243697478991597
62,((hyp:tok:sleeping AND pre:tok:catch) AND pre:tok:his),1.0
63,((((pre:tok:cow OR pre:tok:deer) AND hyp:tok:outside) OR hyp:tok:crossing) AND hyp:tok:outside),0.3
64,((((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:friends) AND (NOT hyp:tok:next)),0.1335548172757475
65,((NOT pre:tok:in) AND (hyp:tok:costumed OR pre:tok:humans)),0.2857142857142857
66,((((hyp:tok:book OR hyp:tok:bowls) OR hyp:tok:propeller) AND pre:tok:to) OR hyp:tok:hairnet),0.1
67,((((hyp:tok:back AND pre:tok:german) OR hyp:tok:clear) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:are)),0.2857142857142857
68,(hyp:tok:meal AND pre:tok:gathered),1.0
69,(hyp:tok:is AND hyp:tok:temple),0.5
70,(hyp:tok:crowded AND hyp:tok:patio),1.0
71,((((hyp:tok:his OR hyp:tok:in) OR hyp:tok:eating) OR hyp:tok:down) OR hyp:tok:off),0.15865384615384615
72,((((hyp:tok:suit AND pre:tok:black) OR hyp:tok:shoveling) OR hyp:tok:puzzle) AND (NOT pre:tok:man)),0.17391304347826086
73,(((hyp:tok:by AND hyp:tok:diver) OR hyp:tok:army) AND oth:overlap:overlap50),0.5
