unit,best_name,best_iou
6,((((hyp:tok:gym OR hyp:tok:pig) OR hyp:tok:slope) OR hyp:tok:mural) OR pre:tok:heavy),0.08139534883720931
8,((((hyp:tok:passes OR hyp:tok:so) OR hyp:tok:mid) OR hyp:tok:tattoo) AND hyp:tok:in),0.15151515151515152
15,(((((NOT pre:tok:with) AND hyp:tok:shaved) OR hyp:tok:yoga) AND hyp:tok:is) AND (NOT pre:tok:is)),0.25
16,(((((NOT pre:tok:outside) AND hyp:tok:outside) OR hyp:tok:catching) OR hyp:tok:participating) OR pre:tok:traffic),0.07377049180327869
17,(hyp:tok:check AND pre:tok:are),1.0
19,((((hyp:tok:merchandise OR hyp:tok:tutu) OR pre:tok:numbered) AND hyp:tok:man) OR hyp:tok:upset),0.2
22,(((hyp:tok:man AND pre:tok:numbered) OR pre:tok:jesus) AND hyp:tok:man),0.3333333333333333
31,((hyp:tok:down AND pre:tok:middle) AND pre:tok:man),1.0
37,((((hyp:tok:shoveling OR pre:tok:bank) OR pre:tok:stay) AND hyp:tok:is) OR hyp:tok:shoveling),0.2857142857142857
41,(hyp:tok:on AND pre:tok:touching),1.0
45,(hyp:tok:tied AND pre:tok:is),0.2
61,(hyp:tok:- AND pre:tok:turning),0.5
65,(((((NOT pre:tok:man) AND hyp:tok:basketball) OR hyp:tok:purple) AND (NOT pre:tok:basketball)) AND (NOT pre:tok:are)),0.13513513513513514
67,(hyp:tok:sisters AND pre:tok:photographers),1.0
70,((((hyp:tok:field AND pre:tok:on) OR pre:tok:swings) AND (NOT hyp:tok:on)) AND (NOT pre:tok:are)),0.1276595744680851
71,((((hyp:tok:car OR hyp:tok:eating) OR hyp:tok:field) OR hyp:tok:asleep) OR hyp:tok:dress),0.09122401847575058
77,((((hyp:tok:outside AND hyp:tok:two) OR pre:tok:patio) AND (NOT oth:overlap:overlap25)) AND (NOT pre:tok:are)),0.20512820512820512
83,((((hyp:tok:dirty AND pre:tok:in) OR hyp:tok:hangs) AND pre:tok:in) AND (NOT hyp:tok:on)),0.3333333333333333
86,((NOT pre:tok:in) AND hyp:tok:driveway),0.3333333333333333
89,((((hyp:tok:at AND hyp:tok:home) OR pre:tok:navy) OR hyp:tok:bass) OR hyp:tok:eye),0.08928571428571429
92,(hyp:tok:playground AND pre:tok:falling),1.0
98,((((hyp:tok:bank OR hyp:tok:clock) OR pre:tok:birthday) OR pre:tok:conducting) OR hyp:tok:stool),0.16666666666666666
99,((((hyp:tok:wineglass OR pre:tok:protecting) OR hyp:tok:backpacks) OR hyp:tok:canadian) AND pre:tok:man),0.17857142857142858
113,((((NOT pre:tok:and) AND (hyp:tok:bananas OR hyp:tok:cool)) OR pre:tok:mouths) AND (NOT pre:tok:with)),0.21428571428571427
128,((((NOT oth:overlap:overlap50) AND (hyp:tok:eating OR hyp:tok:to)) OR hyp:tok:chasing) OR hyp:tok:driving),0.12131423757371525
129,(hyp:tok:buggy AND hyp:tok:in),0.16666666666666666
132,((hyp:tok:old AND pre:tok:white) AND pre:tok:sitting),1.0
