unit,best_name,best_iou
6,((((NOT oth:overlap:overlap25) AND (pre:tok:children OR pre:tok:to)) OR hyp:tok:asleep) OR hyp:tok:alone),0.07626392459297343
8,((((hyp:tok:for OR hyp:tok:how) OR hyp:tok:job) AND (NOT pre:tok:for)) OR pre:tok:outfits),0.08016304347826086
12,(hyp:tok:sisters AND hyp:tok:women),0.5
15,((((hyp:tok:eating OR hyp:tok:sleeping) OR pre:tok:bars) OR pre:tok:observes) AND (NOT oth:overlap:overlap50)),0.09523809523809523
16,((((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person) OR hyp:tok:being) AND (NOT pre:tok:-)),0.09582009288682473
17,((((hyp:tok:ladies OR pre:tok:church) OR pre:tok:photographs) AND (NOT pre:tok:with)) OR pre:tok:easter),0.12727272727272726
19,((((hyp:tok:male AND oth:overlap:overlap25) OR pre:tok:produce) OR hyp:tok:displays) OR hyp:tok:maintenance),0.09
21,(hyp:tok:tv AND pre:tok:playing),0.5
22,((((hyp:tok:barely OR hyp:tok:throw) OR hyp:tok:sheep) AND pre:tok:and) OR hyp:tok:softball),0.16666666666666666
28,((((hyp:tok:human OR hyp:tok:water) OR hyp:tok:pool) OR hyp:tok:humans) AND (NOT pre:tok:and)),0.0889487870619946
31,(hyp:tok:sing AND pre:tok:is),0.6666666666666666
35,(hyp:tok:couch AND pre:tok:little),1.0
37,((((hyp:tok:human OR pre:tok:tricks) OR pre:tok:tiles) OR hyp:tok:helmet) OR pre:tok:church),0.09883720930232558
38,(hyp:tok:cigarettes AND pre:tok:on),0.5
39,((((NOT pre:tok:woman) AND (hyp:tok:nobody AND pre:tok:and)) AND (NOT pre:tok:people)) AND (NOT pre:tok:white)),0.42857142857142855
40,(hyp:tok:clock AND pre:tok:man),0.5
41,((((hyp:tok:block OR hyp:tok:sad) OR hyp:tok:books) AND (NOT pre:tok:in)) OR hyp:tok:dingy),0.13333333333333333
45,((((hyp:tok:alone OR hyp:tok:eats) OR hyp:tok:enjoy) OR hyp:tok:throws) OR hyp:tok:steering),0.0861244019138756
50,(hyp:tok:control AND pre:tok:person),0.2
52,((((NOT hyp:tok:is) AND (hyp:tok:cat OR pre:tok:popsicle)) OR hyp:tok:fields) AND (NOT oth:overlap:overlap75)),0.14084507042253522
59,((((hyp:tok:lighting OR hyp:tok:roller) AND hyp:tok:on) OR hyp:tok:throw) AND oth:overlap:overlap25),0.3
61,((((hyp:tok:to AND pre:tok:goods) OR hyp:tok:suburban) OR hyp:tok:rowboat) OR hyp:tok:!),0.19230769230769232
