unit,best_name,best_iou
6,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR hyp:tok:they)) OR hyp:tok:tall) OR pre:tok:where),0.12805208898534998
8,((((hyp:tok:after OR hyp:tok:for) OR hyp:tok:tall) OR hyp:tok:wedding) OR hyp:tok:trip),0.1779835390946502
15,((((NOT pre:tok:sitting) AND (hyp:tok:sitting OR hyp:tok:sleeping)) OR hyp:tok:asleep) OR hyp:tok:cat),0.1392857142857143
16,(((((NOT hyp:tok:sitting) AND oth:overlap:overlap25) OR hyp:tok:to) OR hyp:tok:for) AND (NOT hyp:tok:wearing)),0.19036794999289672
17,((((pre:tok:person AND pre:tok:way) OR hyp:tok:low) OR hyp:tok:hillside) AND (NOT pre:tok:are)),0.14285714285714285
19,(((((NOT pre:tok:men) AND hyp:tok:men) OR hyp:tok:puzzle) AND (NOT pre:tok:man)) AND (NOT pre:tok:while)),0.14285714285714285
22,((((hyp:tok:men AND pre:tok:women) OR hyp:tok:clean) AND (NOT pre:tok:men)) OR pre:tok:yarn),0.1780821917808219
28,((((pre:tok:podium OR pre:tok:upset) OR hyp:tok:crossing) OR hyp:tok:trail) AND (NOT pre:tok:at)),0.09
37,((((hyp:tok:sleeps OR hyp:tok:tools) OR hyp:tok:vehicles) AND (NOT pre:tok:and)) AND (NOT hyp:tok:dog)),0.11363636363636363
39,((((NOT pre:tok:is) AND (hyp:tok:nobody AND pre:tok:man)) OR pre:tok:pick) AND hyp:tok:nobody),0.38461538461538464
40,(hyp:tok:hiding AND pre:tok:wearing),0.5
41,((((NOT pre:tok:in) AND (hyp:tok:championship OR hyp:tok:tips)) OR hyp:tok:blocking) AND (NOT pre:tok:wearing)),0.23529411764705882
45,((((hyp:tok:juggling OR hyp:tok:jumped) OR pre:tok:tire) OR hyp:tok:everywhere) OR hyp:tok:year),0.09375
52,(((((NOT oth:overlap:overlap25) AND hyp:tok:white) AND (NOT pre:tok:two)) OR pre:tok:weather) AND (NOT pre:tok:men)),0.18181818181818182
59,((((hyp:tok:jersey OR hyp:tok:pipes) AND pre:tok:blue) OR hyp:tok:onlookers) AND pre:tok:with),0.3333333333333333
61,((hyp:tok:clock OR hyp:tok:walked) AND pre:tok:are),0.3333333333333333
65,((((hyp:tok:off AND pre:tok:man) OR pre:tok:caught) OR pre:tok:year) OR hyp:tok:waist),0.10869565217391304
67,(hyp:tok:tired AND pre:tok:young),1.0
70,((((hyp:tok:asleep OR hyp:tok:sitting) OR hyp:tok:nobody) AND (NOT pre:tok:sitting)) OR hyp:tok:no),0.11492734478203434
71,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) AND (NOT hyp:tok:to)),0.14552362074661382
76,(hyp:tok:and AND hyp:tok:polo),0.3333333333333333
77,((((NOT hyp:tok:is) AND (hyp:tok:visiting OR pre:tok:caught)) OR pre:tok:washes) AND (NOT pre:tok:him)),0.15789473684210525
83,((((pre:tok:atv OR pre:tok:sofa) OR pre:tok:cigarettes) AND (NOT pre:tok:are)) AND (NOT hyp:tok:their)),0.15
85,(hyp:tok:pet AND pre:tok:and),0.3333333333333333
87,((((hyp:tok:pier OR hyp:tok:scarves) AND pre:tok:and) OR hyp:tok:desks) AND (NOT pre:tok:to)),0.3333333333333333
89,((((hyp:tok:for OR pre:tok:sitting) OR hyp:tok:to) AND (NOT oth:overlap:overlap50)) OR hyp:tok:tall),0.14179474467030243
91,(hyp:tok:model AND pre:tok:near),1.0
92,(hyp:tok:playing AND pre:tok:lime),1.0
98,((((hyp:tok:riding OR hyp:tok:swimming) OR hyp:tok:driving) OR hyp:tok:runs) OR hyp:tok:jumping),0.08513931888544891
99,((((NOT pre:tok:people) AND (oth:overlap:overlap75 AND pre:tok:in)) OR pre:tok:identical) AND (NOT hyp:tok:with)),0.07703081232492998
106,((((NOT pre:tok:is) AND (hyp:tok:eats OR hyp:tok:not)) AND (NOT pre:tok:on)) AND (NOT pre:tok:wearing)),0.11688311688311688
113,((((pre:tok:cars AND pre:tok:man) OR pre:tok:raining) OR hyp:tok:advertising) OR hyp:tok:pulled),0.16129032258064516
128,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:in)) OR hyp:tok:eating) AND (NOT hyp:tok:outside)),0.11250842128901864
129,((((NOT pre:tok:sitting) AND (hyp:tok:sits OR hyp:tok:sitting)) OR hyp:tok:cat) AND (NOT pre:tok:sits)),0.18055555555555555
132,(hyp:tok:slides AND pre:tok:on),0.2
133,((((hyp:tok:inside OR hyp:tok:tv) OR hyp:tok:bed) OR hyp:tok:chair) OR hyp:tok:television),0.10319410319410319
134,((((hyp:tok:in OR hyp:tok:playing) OR hyp:tok:running) OR hyp:tok:couch) AND (NOT pre:tok:black)),0.09525588345162496
137,((((pre:tok:scooter OR pre:tok:television) OR hyp:tok:safety) AND (NOT pre:tok:man)) OR pre:tok:tea),0.14285714285714285
139,((((hyp:tok:swimming AND pre:tok:man) OR hyp:tok:swims) OR hyp:tok:brushes) AND pre:tok:is),0.15384615384615385
140,((((hyp:tok:pool AND hyp:tok:swimming) OR hyp:tok:maintenance) AND pre:tok:in) AND (NOT pre:tok:on)),0.19230769230769232
150,(hyp:tok:dock AND pre:tok:pool),1.0
151,((((hyp:tok:red AND pre:tok:racket) OR hyp:tok:costumed) OR hyp:tok:pets) OR hyp:tok:dish),0.18518518518518517
156,(hyp:tok:on AND pre:tok:railing),0.5
157,((((NOT pre:tok:two) AND (hyp:tok:for OR hyp:tok:to)) AND (NOT pre:tok:at)) AND (NOT pre:tok:standing)),0.10063463281958296
163,(hyp:tok:walking AND pre:tok:computer),1.0
170,(hyp:tok:sport AND pre:tok:with),1.0
171,(hyp:tok:person AND pre:tok:sells),0.25
173,((((pre:tok:sitting OR pre:tok:water) OR hyp:tok:running) AND (NOT oth:overlap:overlap75)) OR hyp:tok:driving),0.091683038637852
176,(hyp:tok:young AND pre:tok:boardwalk),0.3333333333333333
179,((NOT oth:overlap:overlap50) AND (hyp:tok:keyboard OR pre:tok:sandwich)),0.3333333333333333
181,((((hyp:tok:pets OR pre:tok:hang) OR pre:tok:barn) OR hyp:tok:pub) AND pre:tok:in),0.16666666666666666
191,(hyp:tok:football AND pre:tok:league),0.5
192,(hyp:tok:in AND pre:tok:motor),0.2
197,((((hyp:tok:nobody AND hyp:tok:shirt) OR hyp:tok:carrot) OR pre:tok:years) OR pre:tok:thinking),0.15
198,(hyp:tok:pocket AND pre:tok:girl),1.0
203,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:sits) OR hyp:tok:moon) AND (NOT pre:tok:sitting)),0.0946822308690013
204,((((hyp:tok:wearing AND pre:tok:as) OR pre:tok:kissing) AND (NOT pre:tok:black)) OR hyp:tok:raised),0.14893617021276595
209,((((hyp:tok:concert AND pre:tok:man) OR pre:tok:lost) OR hyp:tok:strike) AND (NOT hyp:tok:at)),0.14705882352941177
213,((((hyp:tok:bed OR hyp:tok:swimming) OR hyp:tok:tv) OR pre:tok:bear) AND (NOT oth:overlap:overlap75)),0.13427561837455831
215,(hyp:tok:chasing AND pre:tok:horned),0.2
231,((((hyp:tok:man AND pre:tok:female) OR hyp:tok:compete) OR hyp:tok:tan) OR hyp:tok:pictured),0.10144927536231885
232,(((((NOT oth:overlap:overlap75) AND hyp:tok:swimming) AND hyp:tok:in) AND (NOT pre:tok:-)) AND (NOT hyp:tok:people)),0.23404255319148937
234,((((hyp:tok:playing AND pre:tok:showing) OR hyp:tok:ring) OR hyp:tok:handing) AND (NOT oth:overlap:overlap50)),0.16
238,((((hyp:tok:dinner OR hyp:tok:swimming) OR pre:tok:hall) OR hyp:tok:grassy) OR pre:tok:clap),0.09826589595375723
239,((((hyp:tok:human OR pre:tok:tunnel) OR pre:tok:laundromat) OR pre:tok:tub) OR hyp:tok:makeup),0.06417112299465241
241,((((hyp:tok:clock OR hyp:tok:curly) OR hyp:tok:sandwiches) AND (NOT pre:tok:in)) OR hyp:tok:!),0.4
244,(hyp:tok:fixing AND pre:tok:next),0.5
245,(hyp:tok:pub AND pre:tok:in),1.0
247,((((NOT pre:tok:boy) AND (hyp:tok:hooded OR hyp:tok:swimsuit)) OR pre:tok:races) AND oth:overlap:overlap25),0.375
248,((((hyp:tok:daughter OR hyp:tok:lies) OR hyp:tok:neighborhood) OR pre:tok:sleep) OR hyp:tok:corn),0.088
251,(hyp:tok:kids AND pre:tok:among),0.3333333333333333
253,((((hyp:tok:women AND pre:tok:men) OR hyp:tok:vegetable) AND (NOT pre:tok:in)) AND (NOT pre:tok:to)),0.11666666666666667
254,((((hyp:tok:brown OR hyp:tok:candy) OR pre:tok:sound) OR pre:tok:packages) OR hyp:tok:leg),0.06862745098039216
257,(((((NOT hyp:tok:woman) AND oth:overlap:overlap75) OR hyp:tok:their) AND (NOT pre:tok:shirt)) OR hyp:tok:skateboarder),0.09929906542056074
260,(hyp:tok:in AND pre:tok:shepherd),0.5
261,((((hyp:tok:climbs OR hyp:tok:diaper) OR pre:tok:bird) OR pre:tok:farmer) OR pre:tok:enjoys),0.09900990099009901
262,(((((NOT pre:tok:on) AND pre:tok:standing) OR hyp:tok:bus) AND (NOT pre:tok:with)) OR hyp:tok:alone),0.06607142857142857
265,(((((NOT hyp:tok:in) AND oth:overlap:overlap25) AND (NOT hyp:tok:to)) OR hyp:tok:there) AND (NOT hyp:tok:for)),0.14716618635926992
267,(hyp:tok:activity AND pre:tok:with),0.5
270,((((NOT oth:overlap:overlap50) AND (hyp:tok:are OR pre:tok:in)) OR hyp:tok:man) AND (NOT oth:overlap:overlap50)),0.13962472406181015
275,((((hyp:tok:streets AND hyp:tok:through) OR hyp:tok:gloves) OR hyp:tok:shade) AND pre:tok:in),0.4
280,((((oth:overlap:overlap50 OR pre:tok:and) OR hyp:tok:there) OR hyp:tok:people) AND (NOT hyp:tok:for)),0.20343609505459218
