cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
2,0,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:in)) AND (NOT hyp:tok:outside)) AND (NOT pre:tok:red)),((((NOT oth) AND (hyp OR pre)) AND (NOT hyp)) AND (NOT pre)),((((NOT oth:overlap) AND (hyp:tok OR pre:tok)) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.11217303822937626,8,-0.026803894,-0.017842982,0.02657936
2,1,pre:tok:in,pre,pre:tok,0.0,1,0.0047763498,0.0021374722,0.014035168
2,2,pre:tok:in,pre,pre:tok,0.0,1,-0.028240746,-0.018325444,-0.01801046
2,3,pre:tok:in,pre,pre:tok,0.0,1,0.0005738688,-0.0071000154,0.013591588
2,4,pre:tok:in,pre,pre:tok,0.0,1,-0.03327432,0.009516349,0.005223358
2,5,pre:tok:in,pre,pre:tok,0.0,1,-0.01811511,0.01101393,0.029370204
2,6,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:tall) OR hyp:tok:they) OR pre:tok:take),(((((NOT oth) AND hyp) OR hyp) OR hyp) OR pre),(((((NOT oth:overlap) AND hyp:tok) OR hyp:tok) OR hyp:tok) OR pre:tok),0.112,6,-0.06330322,0.022027269,0.009290368
2,7,pre:tok:in,pre,pre:tok,0.0,1,-0.017232083,-0.0118125025,0.0006597078
2,8,((((hyp:tok:for OR hyp:tok:their) OR hyp:tok:after) OR hyp:tok:he) AND (NOT hyp:tok:people)),((((hyp OR hyp) OR hyp) OR hyp) AND (NOT hyp)),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) AND (NOT hyp:tok)),0.13568773234200743,6,-0.015419302,0.023419263,0.00020886032
2,9,pre:tok:in,pre,pre:tok,0.0,1,-0.015833614,0.0036869862,-0.023049906
2,10,pre:tok:in,pre,pre:tok,0.0,1,0.026105339,0.008309716,-0.005927887
2,11,pre:tok:in,pre,pre:tok,0.0,1,-0.039270308,0.0039053678,-0.08502867
2,12,pre:tok:in,pre,pre:tok,0.0,1,-0.01652821,-0.014502258,-0.03231055
2,13,pre:tok:in,pre,pre:tok,0.0,1,0.00069109304,-0.022033479,-0.039120488
2,14,pre:tok:in,pre,pre:tok,0.0,1,0.015123305,0.0017837533,-0.029876685
2,15,((((NOT pre:tok:sitting) AND (hyp:tok:sitting OR hyp:tok:sleeping)) OR hyp:tok:sleep) AND (NOT pre:tok:sits)),((((NOT pre) AND (hyp OR hyp)) OR hyp) AND (NOT pre)),((((NOT pre:tok) AND (hyp:tok OR hyp:tok)) OR hyp:tok) AND (NOT pre:tok)),0.12284482758620689,7,-0.083393574,-0.05854521,0.086006
2,16,((((oth:overlap:overlap25 OR pre:tok:woman) OR pre:tok:one) AND (NOT hyp:tok:sitting)) AND (NOT hyp:tok:black)),((((oth OR pre) OR pre) AND (NOT hyp)) AND (NOT hyp)),((((oth:overlap OR pre:tok) OR pre:tok) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.16496668026655786,7,0.021715952,0.010245283,-0.042337667
2,17,((((hyp:tok:low OR pre:tok:form) OR pre:tok:photographs) AND (NOT oth:overlap:overlap25)) OR hyp:tok:brushes),((((hyp OR pre) OR pre) AND (NOT oth)) OR hyp),((((hyp:tok OR pre:tok) OR pre:tok) AND (NOT oth:overlap)) OR hyp:tok),0.16666666666666666,6,0.025361765,-0.016476376,0.056964096
2,18,pre:tok:in,pre,pre:tok,0.0,1,-0.019470567,0.000523566,0.009931134
