,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:birthday,hyp:tok:arena,hyp:tok:fingers,hyp:tok:mirror
1,pre:tok:too,hyp:tok:sunlight,hyp:tok:buggy,hyp:tok:mural
2,hyp:tok:newspapers,hyp:tok:wife,hyp:tok:rollerblading,hyp:tok:each
3,hyp:tok:cafeteria,hyp:tok:sing,pre:tok:sandals,hyp:tok:cafeteria
4,hyp:tok:hydrant,hyp:tok:duck,hyp:tok:bare,pre:tok:sandals
5,hyp:tok:caught,pre:tok:else,hyp:tok:finishing,hyp:tok:blue
6,hyp:tok:pants,hyp:tok:camouflage,hyp:tok:nine,hyp:tok:balding
7,hyp:tok:furniture,hyp:tok:coffee,hyp:tok:eats,hyp:tok:desk
8,pre:tok:candy,hyp:tok:this,hyp:tok:coffee,pre:tok:sides
9,hyp:tok:camouflage,hyp:tok:he,hyp:tok:moon,pre:tok:basketball
10,hyp:tok:blue,pre:tok:flowered,hyp:tok:bowling,pre:tok:street
11,hyp:tok:greyhound,hyp:tok:shaped,hyp:tok:couch,hyp:tok:nap
12,hyp:tok:desk,pre:tok:group,hyp:tok:vegetable,hyp:tok:vegetable
13,hyp:tok:wild,pre:tok:closed,hyp:tok:yarn,pre:tok:green
14,hyp:tok:hoops,hyp:tok:turns,hyp:tok:vacation,pre:tok:group
15,pre:tok:her,hyp:tok:river,hyp:tok:exercising,hyp:tok:vacation
16,pre:tok:goat,hyp:tok:diving,hyp:tok:beard,hyp:tok:flies
17,hyp:tok:mid,hyp:tok:talk,hyp:tok:tops,pre:tok:outside
18,hyp:tok:space,hyp:tok:dingy,hyp:tok:chasing,hyp:tok:people
19,pre:tok:studio,pre:tok:lay,pre:tok:hit,hyp:tok:any
20,pre:tok:photographer,hyp:tok:atv,hyp:tok:boy,hyp:tok:tops
21,hyp:tok:motor,pre:tok:conducting,hyp:tok:uses,hyp:tok:kite
22,pre:tok:wife,hyp:tok:stool,pre:tok:races,pre:tok:mcdonald
23,hyp:tok:their,hyp:tok:tutu,pre:tok:happy,pre:tok:yarn
24,hyp:tok:exercising,pre:tok:playing,pre:tok:sandwich,hyp:tok:push
25,hyp:tok:chasing,pre:tok:hug,hyp:tok:car,hyp:tok:indoors
26,hyp:tok:hardware,hyp:tok:image,pre:tok:stream,hyp:tok:backpacks
27,hyp:tok:soap,hyp:tok:groom,hyp:tok:wineglass,hyp:tok:basketball
28,pre:tok:mcdonald,pre:tok:airport,pre:tok:girl,hyp:tok:cuts
29,hyp:tok:herself,hyp:tok:shoveling,hyp:tok:upset,hyp:tok:tutu
30,hyp:tok:uses,pre:tok:numbered,hyp:tok:clock,pre:tok:musicians
31,pre:tok:skateboarding,pre:tok:front,hyp:tok:water,hyp:tok:least
32,hyp:tok:black,hyp:tok:traditional,hyp:tok:present,hyp:tok:cool
33,hyp:tok:carrot,hyp:tok:during,hyp:tok:through,pre:tok:girl
34,hyp:tok:surfing,hyp:tok:rink,pre:tok:numbered,hyp:tok:guitars
35,hyp:tok:tourists,pre:tok:patio,pre:tok:'s,pre:tok:playing
36,hyp:tok:toothbrush,pre:tok:ballet,hyp:tok:tools,hyp:tok:has
37,hyp:tok:'s,hyp:tok:only,pre:tok:naked,pre:tok:yellow
38,hyp:tok:bass,hyp:tok:professional,,hyp:tok:sad
39,hyp:tok:crib,hyp:tok:office,,pre:tok:airport
40,hyp:tok:puzzle,,,hyp:tok:shoveling
41,hyp:tok:wrestlers,,,hyp:tok:chainsaw
42,hyp:tok:machine,,,hyp:tok:swim
43,hyp:tok:sides,,,hyp:tok:grassy
44,pre:tok:control,,,pre:tok:front
45,hyp:tok:seven,,,pre:tok:television
46,pre:tok:yellow,,,hyp:tok:human
47,pre:tok:airport,,,hyp:tok:hugging
48,hyp:tok:image,,,
49,pre:tok:girls,,,
50,pre:tok:walked,,,
51,pre:tok:dogs,,,
52,hyp:tok:snowboarder,,,
53,hyp:tok:drums,,,
54,hyp:tok:her,,,
