cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
2,0,((((NOT oth:overlap:overlap25) AND (pre:tok:and OR pre:tok:woman)) OR hyp:tok:swimming) OR hyp:tok:down),((((NOT oth) AND (pre OR pre)) OR hyp) OR hyp),((((NOT oth:overlap) AND (pre:tok OR pre:tok)) OR hyp:tok) OR hyp:tok),0.11728139245752175,6,-0.07079438,-0.04229847,0.069053166
2,1,pre:tok:in,pre,pre:tok,0.0,1,0.0047763498,0.0021374722,0.014035168
2,2,pre:tok:in,pre,pre:tok,0.0,1,-0.028240746,-0.018325444,-0.01801046
2,3,pre:tok:in,pre,pre:tok,0.0,1,0.0005738688,-0.0071000154,0.013591588
2,4,pre:tok:in,pre,pre:tok,0.0,1,-0.03327432,0.009516349,0.005223358
2,5,pre:tok:in,pre,pre:tok,0.0,1,-0.01811511,0.01101393,0.029370204
2,6,((((pre:tok:lower OR pre:tok:spin) OR hyp:tok:gym) OR pre:tok:riders) OR hyp:tok:bandanna),((((pre OR pre) OR hyp) OR pre) OR hyp),((((pre:tok OR pre:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.0891089108910891,5,-0.12385862,-0.120887406,0.16492778
2,7,pre:tok:in,pre,pre:tok,0.0,1,-0.017232083,-0.0118125025,0.0006597078
2,8,((((hyp:tok:mall OR hyp:tok:shooting) OR hyp:tok:so) OR pre:tok:curb) OR hyp:tok:stream),((((hyp OR hyp) OR hyp) OR pre) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.10112359550561797,5,-0.009168375,-0.12654738,0.13774762
2,9,pre:tok:in,pre,pre:tok,0.0,1,-0.015833614,0.0036869862,-0.023049906
2,10,pre:tok:in,pre,pre:tok,0.0,1,0.026105339,0.008309716,-0.005927887
2,11,pre:tok:in,pre,pre:tok,0.0,1,-0.039270308,0.0039053678,-0.08502867
2,12,(hyp:tok:wearing AND pre:tok:commuter),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.11174204,0.05266773,-0.102027066
2,13,pre:tok:in,pre,pre:tok,0.0,1,0.00069109304,-0.022033479,-0.039120488
2,14,pre:tok:in,pre,pre:tok,0.0,1,0.015123305,0.0017837533,-0.029876685
2,15,((((hyp:tok:buggy OR hyp:tok:shaved) AND hyp:tok:is) OR pre:tok:displaying) AND hyp:tok:is),((((hyp OR hyp) AND hyp) OR pre) AND hyp),((((hyp:tok OR hyp:tok) AND hyp:tok) OR pre:tok) AND hyp:tok),0.2,5,-0.07337173,-0.06702094,0.10653824
2,16,((((hyp:tok:park OR pre:tok:local) OR pre:tok:walkway) OR pre:tok:photographers) OR pre:tok:antique),((((hyp OR pre) OR pre) OR pre) OR pre),((((hyp:tok OR pre:tok) OR pre:tok) OR pre:tok) OR pre:tok),0.08187134502923976,5,-0.0043798145,0.056614786,-0.07393414
2,17,(hyp:tok:chairs AND pre:tok:sitting),(hyp AND pre),(hyp:tok AND pre:tok),0.3333333333333333,2,0.043710735,-0.06855258,0.067592084
2,18,pre:tok:in,pre,pre:tok,0.0,1,-0.019470567,0.000523566,0.009931134
