,Cluster1,Cluster2,Cluster3,Cluster4
0,((hyp:tok:among OR pre:tok:puts) AND pre:tok:at),(pre:tok:puddle OR pre:tok:surfing),(hyp:tok:sitting AND pre:tok:knife),(((hyp:tok:drives AND pre:tok:is) OR pre:tok:wild) OR hyp:tok:deer)
1,(((NOT pre:tok:to) AND (hyp:tok:asleep OR hyp:tok:nobody)) OR pre:tok:gesturing),(hyp:tok:nobody AND pre:tok:two),(((hyp:tok:chases OR pre:tok:traveling) AND pre:tok:in) OR hyp:tok:jerseys),((hyp:tok:mural AND pre:tok:with) OR hyp:tok:butterfly)
2,((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught),(((NOT pre:tok:sitting) AND hyp:tok:sitting) OR hyp:tok:sleeping),((hyp:tok:stroller OR pre:tok:diner) AND hyp:tok:outside),(((hyp:tok:costume AND pre:tok:wizard) OR hyp:tok:year) AND (NOT pre:tok:in))
3,(hyp:tok:swimming AND pre:tok:fallen),((hyp:tok:outdoors OR hyp:tok:outside) OR hyp:tok:near),(hyp:tok:couple AND pre:tok:sunset),(((NOT oth:overlap:overlap25) AND (hyp:tok:wearing OR pre:tok:his)) OR hyp:tok:inside)
4,(oth:overlap:overlap50 OR pre:tok:play),((((hyp:tok:microscope OR pre:tok:flowered) OR hyp:tok:camouflage) OR hyp:tok:tan) AND hyp:tok:man),((((hyp:tok:alone OR hyp:tok:empty) OR hyp:tok:sofa) AND (NOT pre:tok:with)) OR pre:tok:doctors),((hyp:tok:boy AND pre:tok:dress) OR hyp:tok:buddhist)
5,((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks),((((hyp:tok:brown OR hyp:tok:face) AND oth:overlap:overlap75) OR hyp:tok:sad) AND (NOT hyp:tok:at)),((hyp:tok:to AND pre:tok:barn) OR hyp:tok:magazine),((pre:tok:lunch AND pre:tok:man) AND hyp:tok:eating)
6,((((hyp:tok:eating OR hyp:tok:swimming) OR hyp:tok:space) OR hyp:tok:coffee) OR hyp:tok:sister),((hyp:tok:falls OR pre:tok:gentleman) AND hyp:tok:woman),(hyp:tok:sofa AND pre:tok:his),((NOT pre:tok:park) AND (hyp:tok:park AND oth:overlap:overlap50))
7,(hyp:tok:eating OR pre:tok:microphone),((((NOT oth:overlap:overlap75) AND hyp:tok:swimming) AND (NOT hyp:tok:pool)) AND (NOT pre:tok:wearing)),((hyp:tok:chinese OR pre:tok:resting) OR hyp:tok:steering),((((hyp:tok:driving OR hyp:tok:sleeping) OR hyp:tok:moon) OR hyp:tok:nobody) AND (NOT pre:tok:while))
8,(((hyp:tok:jumping OR pre:tok:pet) AND hyp:tok:dog) OR hyp:tok:talks),(((NOT pre:tok:and) AND (hyp:tok:home AND pre:tok:beach)) AND hyp:tok:is),(((hyp:tok:ladies OR hyp:tok:vegetable) OR hyp:tok:international) OR pre:tok:neighborhood),((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:asleep)
9,(hyp:tok:saw OR pre:tok:swimsuit),(((((NOT hyp:tok:are) AND oth:overlap:overlap75) OR hyp:tok:no) OR hyp:tok:only) AND (NOT pre:tok:white)),(hyp:tok:straight AND pre:tok:white),(((NOT oth:overlap:overlap25) AND pre:tok:sitting) AND (NOT pre:tok:man))
10,(((NOT hyp:tok:to) AND oth:overlap:overlap25) OR pre:tok:to),(hyp:tok:party OR hyp:tok:professional),(((NOT pre:tok:men) AND (hyp:tok:humans AND pre:tok:in)) OR pre:tok:turns),(((NOT pre:tok:another) AND (hyp:tok:standing AND pre:tok:sitting)) OR hyp:tok:waist)
11,(((hyp:tok:bowls OR hyp:tok:knitting) AND hyp:tok:woman) OR pre:tok:lemons),(((hyp:tok:microscope OR pre:tok:learning) OR hyp:tok:clean) OR hyp:tok:camouflage),(hyp:tok:women AND pre:tok:man),(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:after) AND (NOT pre:tok:to))
12,(((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is)) OR pre:tok:three),((NOT pre:tok:on) AND (hyp:tok:old AND pre:tok:front)),((hyp:tok:brothers AND pre:tok:trampoline) OR hyp:tok:fetch),(((hyp:tok:blue AND pre:tok:coat) OR hyp:tok:bandanna) OR hyp:tok:uniformed)
