unit,best_name,best_iou
1,((((hyp:tok:alone OR hyp:tok:sleeping) OR hyp:tok:eating) OR hyp:tok:nobody) OR hyp:tok:cafe),0.08784773060029283
2,((((hyp:tok:outdoors OR hyp:tok:with) OR hyp:tok:grass) OR hyp:tok:music) OR hyp:tok:carrying),0.08719135802469136
3,(((((NOT oth:overlap:overlap50) AND pre:tok:and) OR hyp:tok:to) AND (NOT pre:tok:to)) OR hyp:tok:they),0.08748317631224764
4,((((NOT oth:overlap:overlap50) AND (hyp:tok:at OR hyp:tok:on)) OR hyp:tok:inside) OR pre:tok:male),0.06749460043196544
5,((((NOT oth:overlap:overlap50) AND (hyp:tok:her OR pre:tok:and)) OR hyp:tok:his) AND (NOT pre:tok:at)),0.08060861120103593
6,(((((NOT pre:tok:on) AND hyp:tok:is) OR pre:tok:group) AND (NOT hyp:tok:in)) AND (NOT pre:tok:at)),0.061611374407582936
7,(((((NOT oth:overlap:overlap50) AND hyp:tok:is) OR hyp:tok:to) AND (NOT pre:tok:to)) OR hyp:tok:for),0.11010184420589045
8,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:after) OR hyp:tok:they) AND (NOT hyp:tok:next)),0.1202426916712631
9,((((hyp:tok:there OR oth:overlap:overlap50) OR hyp:tok:water) AND (NOT hyp:tok:to)) OR hyp:tok:something),0.11192145862552595
10,((((hyp:tok:for OR hyp:tok:to) OR pre:tok:doing) OR hyp:tok:day) OR hyp:tok:rain),0.0954356846473029
11,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:outdoors)) OR hyp:tok:sleeping) OR hyp:tok:house),0.06782825140012445
12,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:her) OR hyp:tok:has) OR hyp:tok:boy),0.07174887892376682
13,(((((NOT hyp:tok:on) AND hyp:tok:is) OR hyp:tok:in) AND (NOT hyp:tok:to)) AND (NOT pre:tok:while)),0.09870250231696015
14,((((NOT oth:overlap:overlap50) AND (hyp:tok:her OR hyp:tok:in)) OR pre:tok:water) AND (NOT hyp:tok:man)),0.08518086347724621
15,((((hyp:tok:are OR pre:tok:man) OR pre:tok:woman) AND (NOT hyp:tok:for)) AND (NOT hyp:tok:to)),0.0903010033444816
16,((((hyp:tok:for OR hyp:tok:people) OR hyp:tok:outside) OR pre:tok:him) AND (NOT hyp:tok:in)),0.08652946679139382
17,((((NOT oth:overlap:overlap50) AND (hyp:tok:at OR hyp:tok:in)) OR pre:tok:for) OR pre:tok:tree),0.08675213675213675
18,(((((NOT oth:overlap:overlap75) AND oth:overlap:overlap25) AND (NOT pre:tok:with)) OR hyp:tok:to) OR hyp:tok:his),0.07328094302554028
19,((((NOT oth:overlap:overlap25) AND (hyp:tok:are OR pre:tok:with)) OR hyp:tok:his) OR hyp:tok:building),0.07649461567025621
20,((((hyp:tok:at OR hyp:tok:to) OR hyp:tok:woman) AND (NOT oth:overlap:overlap50)) OR hyp:tok:for),0.10479505027068832
21,((((hyp:tok:are OR hyp:tok:to) OR hyp:tok:for) OR pre:tok:standing) OR hyp:tok:home),0.10255187216789888
22,((((hyp:tok:is OR pre:tok:three) OR pre:tok:street) AND (NOT hyp:tok:sitting)) AND (NOT hyp:tok:with)),0.08267195767195767
23,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:park) OR pre:tok:eating) AND (NOT hyp:tok:his)),0.060225846925972396
24,(((((NOT pre:tok:with) AND oth:overlap:overlap25) AND (NOT pre:tok:black)) OR hyp:tok:for) AND (NOT hyp:tok:sitting)),0.0671282939026736
25,((((hyp:tok:for OR hyp:tok:to) OR pre:tok:red) OR hyp:tok:near) OR pre:tok:crowd),0.09551585854903391
26,((((NOT hyp:tok:in) AND (hyp:tok:is OR pre:tok:for)) OR hyp:tok:playing) OR hyp:tok:couple),0.07169900615238997
27,((((NOT hyp:tok:in) AND (oth:overlap:overlap25 OR pre:tok:and)) AND (NOT hyp:tok:woman)) OR pre:tok:there),0.10584123814278582
28,(((((NOT oth:overlap:overlap75) AND hyp:tok:in) OR hyp:tok:eating) OR hyp:tok:nobody) OR hyp:tok:cat),0.08998054474708171
29,((((hyp:tok:to OR pre:tok:is) OR pre:tok:woman) OR hyp:tok:in) AND (NOT oth:overlap:overlap75)),0.09179357021996616
30,((((NOT oth:overlap:overlap75) AND (hyp:tok:in OR pre:tok:is)) OR hyp:tok:crowd) AND (NOT pre:tok:while)),0.07151898734177216
31,((((NOT hyp:tok:in) AND (hyp:tok:outdoors OR hyp:tok:playing)) OR hyp:tok:umbrella) OR hyp:tok:indoors),0.07513227513227513
32,((((hyp:tok:to OR pre:tok:is) OR hyp:tok:with) AND (NOT hyp:tok:there)) AND (NOT pre:tok:brown)),0.09387536774538646
33,((((NOT pre:tok:his) AND (hyp:tok:his OR hyp:tok:old)) OR hyp:tok:stick) OR pre:tok:images),0.0814111261872456
34,((((hyp:tok:girls OR pre:tok:child) OR pre:tok:reads) OR pre:tok:six) OR pre:tok:ballet),0.04781420765027322
35,(((((NOT oth:overlap:overlap25) AND pre:tok:in) AND (NOT hyp:tok:people)) OR hyp:tok:sleeping) AND (NOT pre:tok:girl)),0.06280193236714976
36,(((((NOT hyp:tok:in) AND oth:overlap:overlap25) AND (NOT hyp:tok:her)) OR pre:tok:while) AND (NOT pre:tok:front)),0.07272727272727272
37,(((((NOT oth:overlap:overlap50) AND hyp:tok:in) OR hyp:tok:sleeping) OR hyp:tok:nobody) OR hyp:tok:drinking),0.08022388059701492
38,(((((NOT oth:overlap:overlap75) AND hyp:tok:is) OR hyp:tok:outside) AND (NOT pre:tok:green)) AND (NOT pre:tok:yellow)),0.07028057749931899
39,((((hyp:tok:there OR oth:overlap:overlap50) OR hyp:tok:outside) AND (NOT pre:tok:down)) OR pre:tok:cap),0.09438502673796792
40,((((NOT oth:overlap:overlap25) AND (hyp:tok:are OR hyp:tok:is)) OR hyp:tok:school) AND (NOT pre:tok:black)),0.06666666666666667
41,((((hyp:tok:his OR hyp:tok:tall) OR pre:tok:rock) OR hyp:tok:home) AND (NOT pre:tok:his)),0.0641025641025641
42,((((hyp:tok:for OR hyp:tok:outside) OR hyp:tok:something) OR pre:tok:smiles) OR hyp:tok:family),0.09626436781609195
43,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) OR pre:tok:woman) AND (NOT hyp:tok:her)),0.10768811341330425
44,((((hyp:tok:woman OR pre:tok:people) OR hyp:tok:for) AND (NOT pre:tok:with)) AND (NOT pre:tok:group)),0.05623100303951368
45,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:is)) OR hyp:tok:at) OR hyp:tok:eating),0.0826760946423715
46,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:men)) OR hyp:tok:eating) AND (NOT pre:tok:red)),0.08738712496358869
47,((((hyp:tok:outside OR pre:tok:wearing) OR pre:tok:about) AND (NOT hyp:tok:woman)) OR pre:tok:indian),0.06217912150598973
48,((((NOT oth:overlap:overlap50) AND (pre:tok:and OR pre:tok:man)) OR hyp:tok:to) AND (NOT pre:tok:background)),0.09279552343203544
49,((((hyp:tok:tall OR hyp:tok:to) OR hyp:tok:mother) OR hyp:tok:fishing) OR hyp:tok:birthday),0.07702984038861901
50,((((hyp:tok:in OR hyp:tok:man) OR pre:tok:young) OR pre:tok:brown) AND (NOT hyp:tok:for)),0.0891024241100677
51,((((hyp:tok:in OR hyp:tok:to) OR hyp:tok:eating) AND (NOT oth:overlap:overlap50)) OR hyp:tok:home),0.09149484536082474
52,((((NOT oth:overlap:overlap50) AND (pre:tok:down OR pre:tok:with)) OR pre:tok:for) AND (NOT hyp:tok:people)),0.08743795341733486
53,((((NOT hyp:tok:in) AND (oth:overlap:overlap75 OR pre:tok:him)) OR hyp:tok:out) AND (NOT hyp:tok:woman)),0.06079664570230608
54,((((pre:tok:holding OR pre:tok:sitting) OR pre:tok:event) OR pre:tok:gray) OR hyp:tok:work),0.06033452807646356
55,((((hyp:tok:people OR oth:overlap:overlap75) OR hyp:tok:person) OR pre:tok:food) OR pre:tok:body),0.0843768634466309
56,((((hyp:tok:class OR hyp:tok:watch) OR hyp:tok:construction) OR pre:tok:hiding) OR pre:tok:puzzle),0.07142857142857142
57,((((NOT hyp:tok:in) AND (oth:overlap:overlap50 OR pre:tok:and)) AND (NOT pre:tok:walking)) AND (NOT hyp:tok:his)),0.07904040404040404
58,((((hyp:tok:outside OR pre:tok:and) AND oth:overlap:overlap25) OR hyp:tok:there) OR pre:tok:taking),0.08346213292117466
