unit,best_name,best_iou
6,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR hyp:tok:they)) OR hyp:tok:tall) AND (NOT pre:tok:holding)),0.12605042016806722
8,((((hyp:tok:after OR hyp:tok:for) OR hyp:tok:tall) OR hyp:tok:wedding) AND (NOT pre:tok:for)),0.15763546798029557
12,(hyp:tok:sisters AND pre:tok:leaping),0.5
15,((((NOT pre:tok:sitting) AND (hyp:tok:sits OR hyp:tok:sitting)) AND (NOT pre:tok:sits)) AND (NOT hyp:tok:and)),0.17355371900826447
16,((((NOT hyp:tok:wearing) AND (hyp:tok:to OR oth:overlap:overlap25)) OR hyp:tok:outside) OR hyp:tok:for),0.16771631982475355
17,((((hyp:tok:sing OR pre:tok:form) OR hyp:tok:handing) AND (NOT oth:overlap:overlap25)) AND (NOT hyp:tok:is)),0.13793103448275862
19,(((((NOT pre:tok:man) AND hyp:tok:man) AND (NOT pre:tok:male)) AND (NOT hyp:tok:in)) AND (NOT pre:tok:his)),0.1506276150627615
21,(hyp:tok:watching AND pre:tok:playground),1.0
22,((((hyp:tok:men AND pre:tok:women) OR hyp:tok:produce) AND (NOT pre:tok:men)) OR hyp:tok:camouflage),0.16666666666666666
28,((((pre:tok:upset OR pre:tok:waterfall) OR pre:tok:museum) OR pre:tok:mural) OR hyp:tok:benches),0.09523809523809523
31,(hyp:tok:sing AND pre:tok:wearing),1.0
37,((((hyp:tok:human OR pre:tok:ears) AND pre:tok:man) OR hyp:tok:tattoo) AND (NOT pre:tok:with)),0.12
39,(((NOT pre:tok:to) AND (hyp:tok:nobody AND pre:tok:two)) AND (NOT pre:tok:wearing)),0.375
40,(hyp:tok:man AND pre:tok:skydiving),0.5
41,((((NOT pre:tok:in) AND (hyp:tok:championship OR hyp:tok:follows)) OR hyp:tok:coach) AND (NOT pre:tok:girl)),0.2222222222222222
45,((((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:jumped) OR hyp:tok:juggling) AND (NOT oth:overlap:overlap50)),0.09803921568627451
52,((((hyp:tok:hanging OR pre:tok:weather) OR pre:tok:pet) OR pre:tok:telling) OR pre:tok:profile),0.15217391304347827
59,((((hyp:tok:jersey OR hyp:tok:onlookers) AND pre:tok:with) OR hyp:tok:surfboard) AND pre:tok:with),0.6
61,((NOT hyp:tok:his) AND (hyp:tok:! OR hyp:tok:suburban)),0.4
65,((((hyp:tok:riding AND pre:tok:with) OR hyp:tok:cliff) OR hyp:tok:surfing) AND (NOT pre:tok:men)),0.13043478260869565
67,(hyp:tok:tired AND pre:tok:shirt),0.6666666666666666
70,((((hyp:tok:no OR hyp:tok:nobody) OR hyp:tok:asleep) OR hyp:tok:swimming) OR hyp:tok:cat),0.13841368584758942
71,((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap50)) AND (NOT hyp:tok:to)),0.14581520793457456
76,(hyp:tok:dancers AND hyp:tok:swimming),0.5
77,((hyp:tok:skirt OR pre:tok:goat) AND hyp:tok:outside),0.2
83,((((pre:tok:shelter OR pre:tok:sofa) AND hyp:tok:inside) OR hyp:tok:wrestlers) AND (NOT pre:tok:are)),0.23076923076923078
85,((NOT pre:tok:and) AND (hyp:tok:restaurant AND pre:tok:man)),0.75
86,(hyp:tok:east AND hyp:tok:is),1.0
87,(((hyp:tok:adults AND pre:tok:walking) OR hyp:tok:sweatshirt) AND (NOT oth:overlap:overlap25)),0.4
89,((((pre:tok:blue OR pre:tok:sitting) OR hyp:tok:for) OR hyp:tok:tall) AND (NOT oth:overlap:overlap50)),0.13029315960912052
98,((((NOT pre:tok:riding) AND (hyp:tok:riding OR hyp:tok:swimming)) OR pre:tok:parked) OR hyp:tok:chasing),0.10101010101010101
99,((((NOT pre:tok:people) AND (oth:overlap:overlap75 AND pre:tok:in)) AND (NOT hyp:tok:with)) AND (NOT hyp:tok:and)),0.07556270096463022
106,((((NOT pre:tok:in) AND (hyp:tok:families OR hyp:tok:not)) OR hyp:tok:jersey) AND (NOT pre:tok:with)),0.14035087719298245
113,((((NOT pre:tok:-) AND (hyp:tok:downtown OR pre:tok:curly)) OR hyp:tok:interested) AND pre:tok:with),0.16666666666666666
128,((((NOT oth:overlap:overlap50) AND (pre:tok:in OR pre:tok:on)) OR hyp:tok:eating) AND (NOT hyp:tok:outside)),0.12601384767556875
129,((((NOT pre:tok:sitting) AND (hyp:tok:eating OR hyp:tok:sitting)) AND (NOT pre:tok:while)) AND (NOT oth:overlap:overlap50)),0.16611295681063123
132,(hyp:tok:herself AND pre:tok:children),0.25
133,((((hyp:tok:sleeping OR hyp:tok:tv) OR hyp:tok:cooking) OR hyp:tok:asleep) OR hyp:tok:garage),0.11904761904761904
134,((((hyp:tok:his OR hyp:tok:in) OR hyp:tok:eating) OR hyp:tok:inside) OR hyp:tok:around),0.09034369885433716
136,(hyp:tok:diving AND pre:tok:young),1.0
137,((((hyp:tok:aisle OR hyp:tok:championship) OR hyp:tok:silver) OR hyp:tok:pepper) OR hyp:tok:whose),0.17647058823529413
139,((((hyp:tok:teeth OR pre:tok:rowing) OR hyp:tok:jersey) OR hyp:tok:bottles) AND (NOT oth:overlap:overlap25)),0.17647058823529413
140,((((hyp:tok:swimming AND pre:tok:wall) OR hyp:tok:pedaling) OR pre:tok:unicycle) OR hyp:tok:surfboard),0.1724137931034483
150,((hyp:tok:dance AND pre:tok:floor) AND hyp:tok:are),1.0
151,((((NOT pre:tok:with) AND (hyp:tok:rainy OR hyp:tok:talks)) OR hyp:tok:pets) OR pre:tok:television),0.17857142857142858
156,(hyp:tok:shelter AND pre:tok:are),0.5
157,((((hyp:tok:to AND oth:overlap:overlap25) OR hyp:tok:for) AND (NOT pre:tok:two)) AND (NOT pre:tok:at)),0.08814270724029381
163,(hyp:tok:walking AND pre:tok:computer),1.0
170,(hyp:tok:game AND pre:tok:after),1.0
171,(hyp:tok:human AND pre:tok:'s),0.4
173,((((hyp:tok:running OR pre:tok:girl) OR hyp:tok:playing) OR pre:tok:side) OR pre:tok:bench),0.09081885856079404
176,(hyp:tok:fishing AND pre:tok:at),1.0
179,(hyp:tok:for AND pre:tok:bottles),0.25
181,((((hyp:tok:pub OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:chain) AND (NOT pre:tok:with)),0.25
185,(hyp:tok:singing AND pre:tok:shaving),1.0
191,hyp:tok:snowman,0.3333333333333333
192,(((hyp:tok:competition AND hyp:tok:surfing) OR pre:tok:pet) AND hyp:tok:in),0.42857142857142855
197,((((hyp:tok:years OR pre:tok:upright) OR hyp:tok:elder) AND pre:tok:in) AND (NOT pre:tok:on)),0.16666666666666666
198,(hyp:tok:drive AND pre:tok:at),1.0
203,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:sits) OR hyp:tok:asleep) AND (NOT pre:tok:sitting)),0.11246943765281174
204,((((hyp:tok:wearing AND pre:tok:two) OR hyp:tok:crowded) AND (NOT oth:overlap:overlap25)) AND (NOT pre:tok:with)),0.16666666666666666
209,((((hyp:tok:strike OR pre:tok:shaving) OR hyp:tok:wheeler) AND pre:tok:man) OR pre:tok:lost),0.13513513513513514
213,((((NOT hyp:tok:with) AND (hyp:tok:swimming OR pre:tok:passed)) OR pre:tok:jumped) OR pre:tok:bread),0.14622641509433962
215,(hyp:tok:chasing AND pre:tok:horned),0.3333333333333333
230,(hyp:tok:they AND pre:tok:japanese),1.0
