unit,best_name,best_iou
6,((((hyp:tok:tall OR pre:tok:rests) OR pre:tok:dancer) OR pre:tok:cherry) OR pre:tok:possibly),0.08550185873605948
8,(((((NOT pre:tok:for) AND hyp:tok:for) OR hyp:tok:tall) OR hyp:tok:brother) AND (NOT pre:tok:at)),0.10763209393346379
15,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND (NOT pre:tok:is)) AND (NOT pre:tok:with)) OR pre:tok:steel),0.12935323383084577
16,((((hyp:tok:for OR hyp:tok:outside) OR hyp:tok:to) OR hyp:tok:outdoors) OR hyp:tok:race),0.11310828583954406
17,(((hyp:tok:girl AND hyp:tok:hillside) OR hyp:tok:brushes) AND pre:tok:on),0.5
19,((((hyp:tok:him AND pre:tok:behind) OR hyp:tok:repairing) OR hyp:tok:rug) OR hyp:tok:year),0.2222222222222222
22,((((hyp:tok:hoops OR pre:tok:yarn) OR pre:tok:pumpkin) OR hyp:tok:push) OR hyp:tok:name),0.15
28,((((hyp:tok:blows OR hyp:tok:watched) OR hyp:tok:passing) AND (NOT pre:tok:on)) OR hyp:tok:crossing),0.17391304347826086
37,(hyp:tok:washes AND pre:tok:down),0.5
39,(hyp:tok:has AND pre:tok:splashes),1.0
45,((hyp:tok:football AND hyp:tok:man) AND hyp:tok:playing),0.3333333333333333
52,(hyp:tok:gun AND pre:tok:hospital),0.3333333333333333
59,(hyp:tok:tennis AND pre:tok:tray),0.5
61,(hyp:tok:hate AND pre:tok:woman),1.0
65,((((hyp:tok:has AND pre:tok:multiple) OR pre:tok:observe) AND (NOT pre:tok:men)) AND (NOT hyp:tok:is)),0.21428571428571427
70,((((hyp:tok:alone OR hyp:tok:swimming) OR hyp:tok:asleep) OR hyp:tok:cats) OR hyp:tok:nobody),0.11650485436893204
71,((((NOT oth:overlap:overlap75) AND (hyp:tok:in OR pre:tok:at)) OR hyp:tok:nobody) OR hyp:tok:inside),0.10354609929078014
87,(hyp:tok:sitting AND pre:tok:seat),0.3333333333333333
89,((((NOT hyp:tok:sitting) AND (pre:tok:piece OR pre:tok:sitting)) OR pre:tok:resting) AND (NOT hyp:tok:on)),0.08031088082901554
98,((((hyp:tok:swim OR hyp:tok:swimming) OR hyp:tok:woods) AND (NOT oth:overlap:overlap75)) OR pre:tok:written),0.10697674418604651
99,((((hyp:tok:riding AND pre:tok:blue) OR hyp:tok:popsicle) AND (NOT pre:tok:shirt)) OR hyp:tok:pointed),0.09523809523809523
106,(hyp:tok:not AND hyp:tok:stadium),0.25
113,(hyp:tok:taking AND pre:tok:cement),1.0
128,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:sitting)) OR hyp:tok:eating) OR hyp:tok:swimming),0.08506113769271664
129,((((hyp:tok:people AND hyp:tok:sitting) OR pre:tok:boardwalk) AND (NOT oth:overlap:overlap50)) AND hyp:tok:sitting),0.16923076923076924
133,((((hyp:tok:couch OR hyp:tok:outer) OR hyp:tok:stuck) OR hyp:tok:living) OR hyp:tok:museum),0.11538461538461539
134,((((hyp:tok:black OR hyp:tok:blue) OR hyp:tok:naked) OR pre:tok:work) OR hyp:tok:couch),0.07852564102564102
137,((NOT pre:tok:in) AND hyp:tok:science),0.3333333333333333
139,(hyp:tok:to AND pre:tok:vehicles),0.2
140,((hyp:tok:apron OR hyp:tok:wheeler) AND pre:tok:shirt),0.25
157,((((hyp:tok:owner OR pre:tok:sleeps) OR hyp:tok:carving) OR pre:tok:teaching) OR pre:tok:warm),0.08641975308641975
