unit,best_name,best_iou
6,(((((NOT oth:overlap:overlap25) AND pre:tok:man) AND pre:tok:is) OR pre:tok:baby) OR pre:tok:performer),0.07603305785123966
8,((((hyp:tok:for OR hyp:tok:tall) OR hyp:tok:parade) AND (NOT pre:tok:at)) OR hyp:tok:championship),0.1044776119402985
15,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND (NOT pre:tok:in)) AND (NOT pre:tok:is)) AND (NOT pre:tok:with)),0.14388489208633093
16,((((hyp:tok:outside OR hyp:tok:to) OR hyp:tok:outdoors) OR hyp:tok:for) OR hyp:tok:tall),0.11971830985915492
17,(hyp:tok:in AND pre:tok:stool),0.3333333333333333
19,((((hyp:tok:dish OR pre:tok:pumpkin) OR hyp:tok:yarn) OR hyp:tok:12) OR hyp:tok:bottles),0.17857142857142858
22,((((hyp:tok:buddhist OR pre:tok:yarn) OR hyp:tok:stay) OR hyp:tok:hoops) OR hyp:tok:elder),0.15789473684210525
28,((((hyp:tok:blows OR hyp:tok:crossing) OR hyp:tok:jerseys) AND (NOT hyp:tok:are)) AND (NOT pre:tok:on)),0.23076923076923078
37,(hyp:tok:standing AND pre:tok:mirror),0.2
39,(hyp:tok:is AND pre:tok:students),0.5
41,(hyp:tok:his AND pre:tok:eight),1.0
45,((((hyp:tok:straight AND pre:tok:white) OR hyp:tok:feeding) AND (NOT oth:overlap:overlap25)) AND (NOT pre:tok:for)),0.25
52,(hyp:tok:brunette AND pre:tok:profile),0.3333333333333333
61,(hyp:tok:hate AND pre:tok:woman),1.0
65,(((((NOT oth:overlap:overlap25) AND hyp:tok:bikes) OR hyp:tok:pedaling) OR hyp:tok:convertible) AND (NOT pre:tok:by)),0.22727272727272727
67,(hyp:tok:tired AND pre:tok:pipe),1.0
70,((((hyp:tok:no OR hyp:tok:swimming) OR hyp:tok:cats) OR hyp:tok:nap) OR hyp:tok:nobody),0.1075
71,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:sitting)) OR hyp:tok:sleeping) OR hyp:tok:hair),0.1024487756121939
77,(hyp:tok:outdoors AND pre:tok:arrive),0.5
83,(hyp:tok:bikers AND hyp:tok:their),1.0
85,(hyp:tok:pet AND pre:tok:and),1.0
87,(hyp:tok:adults AND pre:tok:walking),0.2
89,((((NOT oth:overlap:overlap50) AND (pre:tok:sitting OR pre:tok:yellow)) OR pre:tok:bench) AND (NOT hyp:tok:on)),0.0777422790202343
98,((((hyp:tok:swimming OR hyp:tok:woods) OR hyp:tok:runs) AND (NOT pre:tok:in)) OR pre:tok:relax),0.12280701754385964
99,((((hyp:tok:pitcher OR pre:tok:cup) OR hyp:tok:wineglass) OR hyp:tok:mural) OR pre:tok:wash),0.07692307692307693
106,((NOT pre:tok:playing) AND (hyp:tok:jersey OR pre:tok:races)),0.3333333333333333
128,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:sitting)) OR hyp:tok:swimming) OR hyp:tok:no),0.09331860850358918
129,((((NOT pre:tok:in) AND (hyp:tok:down AND hyp:tok:sitting)) OR hyp:tok:seated) OR hyp:tok:bank),0.12987012987012986
133,((((hyp:tok:at AND hyp:tok:home) OR hyp:tok:bed) OR hyp:tok:dishes) AND (NOT oth:overlap:overlap50)),0.12030075187969924
134,((((hyp:tok:black OR hyp:tok:moon) OR hyp:tok:baseball) OR hyp:tok:only) OR hyp:tok:cars),0.07809523809523809
137,(hyp:tok:tools AND pre:tok:and),0.3333333333333333
139,(hyp:tok:pulled AND pre:tok:wearing),0.3333333333333333
140,(hyp:tok:edge AND pre:tok:girl),0.2
151,(hyp:tok:red AND pre:tok:hit),0.25
157,((((pre:tok:seems OR pre:tok:skiing) OR hyp:tok:cigarette) OR hyp:tok:carving) OR hyp:tok:gloves),0.10810810810810811
170,(hyp:tok:men AND hyp:tok:sport),0.6666666666666666
173,((((hyp:tok:car OR hyp:tok:running) OR hyp:tok:painting) AND (NOT pre:tok:running)) AND (NOT pre:tok:car)),0.06950672645739911
181,(((hyp:tok:to AND pre:tok:barn) OR hyp:tok:magazine) AND pre:tok:beach),0.5
197,(hyp:tok:elderly AND pre:tok:kiss),0.3333333333333333
203,((((NOT pre:tok:car) AND (hyp:tok:car OR hyp:tok:sleeping)) OR hyp:tok:tv) OR hyp:tok:sleep),0.1
204,((((pre:tok:groom OR pre:tok:meet) AND hyp:tok:black) OR hyp:tok:addressing) AND (NOT pre:tok:is)),0.3
213,((((hyp:tok:swimming AND pre:tok:holding) OR hyp:tok:outer) OR pre:tok:fly) OR pre:tok:clock),0.14583333333333334
231,((((hyp:tok:buddhist OR hyp:tok:elder) OR hyp:tok:name) OR hyp:tok:tube) AND (NOT pre:tok:man)),0.14285714285714285
232,((hyp:tok:her AND hyp:tok:swimming) AND pre:tok:is),0.2857142857142857
234,(hyp:tok:stroll AND pre:tok:while),0.25
238,((((NOT oth:overlap:overlap50) AND (hyp:tok:fishing OR pre:tok:decorative)) OR hyp:tok:draped) OR hyp:tok:convertible),0.10144927536231885
239,((((hyp:tok:denim OR hyp:tok:hug) AND pre:tok:woman) OR hyp:tok:pipes) AND (NOT hyp:tok:are)),0.14285714285714285
248,((((hyp:tok:ladies OR hyp:tok:vegetable) OR hyp:tok:international) OR pre:tok:neighborhood) OR hyp:tok:surf),0.1111111111111111
253,((((NOT pre:tok:in) AND (hyp:tok:falls OR hyp:tok:ladies)) OR hyp:tok:acoustic) OR pre:tok:injured),0.15555555555555556
254,((((hyp:tok:whilst OR pre:tok:pumpkin) OR hyp:tok:merchandise) OR hyp:tok:bare) OR hyp:tok:nine),0.15
257,((((hyp:tok:his AND oth:overlap:overlap75) OR hyp:tok:climbs) OR hyp:tok:students) OR hyp:tok:grassy),0.10465116279069768
261,((((hyp:tok:women AND pre:tok:man) OR hyp:tok:international) OR hyp:tok:obstacle) OR hyp:tok:!),0.12698412698412698
262,((((hyp:tok:video OR pre:tok:chess) OR hyp:tok:fingers) OR hyp:tok:steering) OR pre:tok:chat),0.1076923076923077
265,((((hyp:tok:outside OR oth:overlap:overlap75) OR hyp:tok:there) AND (NOT hyp:tok:in)) OR hyp:tok:outdoors),0.10087517273146016
270,((((NOT hyp:tok:walking) AND (hyp:tok:sitting OR pre:tok:walking)) OR hyp:tok:eating) AND (NOT pre:tok:sitting)),0.08421985815602837
275,(hyp:tok:street AND pre:tok:flowered),0.5
280,(((((NOT hyp:tok:for) AND oth:overlap:overlap50) OR hyp:tok:has) AND (NOT pre:tok:walking)) OR hyp:tok:shirt),0.11055127445168939
283,((((hyp:tok:his OR hyp:tok:their) AND oth:overlap:overlap50) OR hyp:tok:after) OR hyp:tok:first),0.0825515947467167
284,((((NOT pre:tok:people) AND (hyp:tok:human OR hyp:tok:people)) OR pre:tok:practicing) OR hyp:tok:bowling),0.0703125
287,(hyp:tok:grassy AND pre:tok:is),1.0
