,Cluster1,Cluster2,Cluster3,Cluster4
0,(pre:tok:living OR pre:tok:shaving),(((NOT oth:overlap:overlap75) AND hyp:tok:wearing) AND (NOT pre:tok:man)),(((hyp:tok:no OR hyp:tok:swimming) OR hyp:tok:cats) OR hyp:tok:nap),(((hyp:tok:basketball AND pre:tok:line) OR hyp:tok:deer) OR pre:tok:nutcracker)
1,((((hyp:tok:to OR oth:overlap:overlap75) OR hyp:tok:for) OR hyp:tok:her) OR pre:tok:someone),(((((NOT pre:tok:outside) AND hyp:tok:outside) AND (NOT pre:tok:woman)) AND (NOT pre:tok:-)) AND (NOT pre:tok:by)),(((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT hyp:tok:in)),(((oth:overlap:overlap75 AND pre:tok:in) AND pre:tok:and) OR hyp:tok:coat)
2,((((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside)) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:his)),(((NOT pre:tok:at) AND (hyp:tok:for OR hyp:tok:her)) OR hyp:tok:after),(((NOT pre:tok:woman) AND (hyp:tok:drinks OR hyp:tok:nobody)) OR hyp:tok:cows),(NOT pre:tok:walking)
3,(((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on) OR hyp:tok:tables),(((hyp:tok:for OR pre:tok:sitting) OR hyp:tok:tall) OR hyp:tok:running),(((hyp:tok:cats OR hyp:tok:eats) OR hyp:tok:sleep) AND pre:tok:dog),(((hyp:tok:to AND hyp:tok:walking) OR hyp:tok:coach) OR hyp:tok:played)
4,((((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)) OR hyp:tok:sleeps) OR hyp:tok:cat),((pre:tok:lost OR pre:tok:moon) OR hyp:tok:strike),(NOT pre:tok:walking),((hyp:tok:park AND pre:tok:water) AND oth:overlap:overlap25)
5,((((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs) AND pre:tok:in) OR hyp:tok:officers),(hyp:tok:bicycle OR pre:tok:below),(hyp:tok:clean OR hyp:tok:uniformed),((hyp:tok:ladies OR hyp:tok:surfboard) AND oth:overlap:overlap25)
6,(((hyp:tok:throw AND pre:tok:man) OR hyp:tok:desk) AND hyp:tok:at),((((hyp:tok:least AND pre:tok:on) OR hyp:tok:wheeled) OR pre:tok:pick) OR pre:tok:turns),((((hyp:tok:whilst OR pre:tok:pumpkin) OR hyp:tok:merchandise) OR hyp:tok:bare) OR hyp:tok:nine),((hyp:tok:for OR hyp:tok:to) OR pre:tok:playing)
7,((((hyp:tok:outdoors AND pre:tok:in) OR hyp:tok:screaming) AND oth:overlap:overlap25) AND (NOT pre:tok:man)),(((hyp:tok:nobody OR hyp:tok:swimming) OR hyp:tok:asleep) OR hyp:tok:cat),(((hyp:tok:bed OR hyp:tok:inside) OR pre:tok:cooks) AND (NOT hyp:tok:on)),((hyp:tok:backpacks OR pre:tok:birthday) OR hyp:tok:carnival)
8,((((hyp:tok:swimming AND pre:tok:two) OR hyp:tok:maintenance) OR pre:tok:unicycle) OR hyp:tok:paddle),((NOT pre:tok:in) AND hyp:tok:shoot),(((hyp:tok:human AND pre:tok:'s) OR pre:tok:turns) AND hyp:tok:human),(((hyp:tok:marathon AND pre:tok:as) OR pre:tok:;) AND (NOT hyp:tok:on))
9,((((NOT pre:tok:on) AND hyp:tok:on) OR hyp:tok:eating) OR hyp:tok:bus),(((hyp:tok:and AND oth:overlap:overlap75) OR hyp:tok:sad) AND (NOT pre:tok:black)),(hyp:tok:enjoying OR hyp:tok:lab),((pre:tok:buy OR pre:tok:lunch) OR pre:tok:gentlemen)
