cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
4,0,((((hyp:tok:riding OR hyp:tok:sleeping) OR hyp:tok:bathroom) OR hyp:tok:nothing) OR hyp:tok:sleeps),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.08375209380234507,5,-0.054029536,-0.01355105,0.039769653
4,1,pre:tok:in,pre,pre:tok,0.0,1,0.0047763498,0.0021374722,0.014035168
4,2,pre:tok:in,pre,pre:tok,0.0,1,-0.028240746,-0.018325444,-0.01801046
4,3,pre:tok:in,pre,pre:tok,0.0,1,0.0005738688,-0.0071000154,0.013591588
4,4,pre:tok:in,pre,pre:tok,0.0,1,-0.03327432,0.009516349,0.005223358
4,5,pre:tok:in,pre,pre:tok,0.0,1,-0.01811511,0.01101393,0.029370204
4,6,(((((NOT pre:tok:with) AND hyp:tok:tall) OR hyp:tok:blonde) AND (NOT hyp:tok:is)) OR hyp:tok:halloween),(((((NOT pre) AND hyp) OR hyp) AND (NOT hyp)) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND (NOT hyp:tok)) OR hyp:tok),0.1348314606741573,7,-0.0856445,-0.06283834,0.09784269
4,7,pre:tok:in,pre,pre:tok,0.0,1,-0.017232083,-0.0118125025,0.0006597078
4,8,(((((NOT pre:tok:two) AND hyp:tok:for) AND (NOT hyp:tok:waiting)) AND (NOT pre:tok:at)) AND (NOT pre:tok:to)),(((((NOT pre) AND hyp) AND (NOT hyp)) AND (NOT pre)) AND (NOT pre)),(((((NOT pre:tok) AND hyp:tok) AND (NOT hyp:tok)) AND (NOT pre:tok)) AND (NOT pre:tok)),0.09202453987730061,9,-0.03467854,-0.12944588,0.17551087
4,9,pre:tok:in,pre,pre:tok,0.0,1,-0.015833614,0.0036869862,-0.023049906
4,10,pre:tok:in,pre,pre:tok,0.0,1,0.026105339,0.008309716,-0.005927887
4,11,pre:tok:in,pre,pre:tok,0.0,1,-0.039270308,0.0039053678,-0.08502867
4,12,pre:tok:in,pre,pre:tok,0.0,1,-0.038933787,-0.030884713,-0.012436768
