unit,best_name,best_iou
6,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:they) OR hyp:tok:wearing) AND (NOT oth:overlap:overlap50)),0.104997476022211
8,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:giving) AND (NOT oth:overlap:overlap75)) OR hyp:tok:tall),0.12041522491349481
12,(hyp:tok:sisters AND hyp:tok:women),0.5
15,((((NOT pre:tok:sitting) AND (hyp:tok:sitting OR hyp:tok:sleeping)) OR hyp:tok:eating) OR hyp:tok:sleeps),0.11889250814332247
16,((((NOT hyp:tok:sitting) AND (oth:overlap:overlap25 OR pre:tok:wearing)) AND (NOT pre:tok:front)) OR hyp:tok:for),0.15025539160045404
17,((((hyp:tok:ladies OR hyp:tok:professional) OR hyp:tok:sandwiches) OR pre:tok:photographs) AND (NOT pre:tok:and)),0.09836065573770492
19,((((hyp:tok:male OR pre:tok:faces) OR pre:tok:chinese) AND (NOT pre:tok:man)) OR hyp:tok:kisses),0.0979020979020979
21,(hyp:tok:watching AND pre:tok:chases),1.0
22,((((hyp:tok:beside OR pre:tok:learning) OR hyp:tok:microscope) OR hyp:tok:camouflage) OR hyp:tok:maintenance),0.10666666666666667
28,((((hyp:tok:human OR hyp:tok:pool) OR hyp:tok:humans) OR pre:tok:mobile) OR hyp:tok:rollerskating),0.09477124183006536
35,(hyp:tok:couch AND pre:tok:little),1.0
37,((((hyp:tok:human OR pre:tok:ready) OR pre:tok:tiles) OR pre:tok:tricks) OR pre:tok:muddy),0.08490566037735849
39,(((NOT pre:tok:wearing) AND (hyp:tok:nobody AND pre:tok:are)) AND (NOT pre:tok:standing)),0.36363636363636365
40,(((hyp:tok:clock OR pre:tok:skydiving) AND hyp:tok:man) AND (NOT pre:tok:in)),0.3333333333333333
41,((((hyp:tok:bikers OR hyp:tok:crane) OR hyp:tok:scarves) OR hyp:tok:derby) OR hyp:tok:screaming),0.16666666666666666
45,((((hyp:tok:alone OR hyp:tok:ocean) OR hyp:tok:shark) OR hyp:tok:magazine) OR pre:tok:juggling),0.08108108108108109
50,(hyp:tok:control AND pre:tok:person),0.5
52,((((hyp:tok:apron OR hyp:tok:cat) OR pre:tok:reaching) OR hyp:tok:skirts) AND (NOT oth:overlap:overlap50)),0.09734513274336283
59,((((hyp:tok:summer AND pre:tok:group) OR hyp:tok:lighting) AND hyp:tok:on) OR hyp:tok:pipes),0.2857142857142857
61,((((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded) OR hyp:tok:suburban) OR hyp:tok:clock),0.16129032258064516
63,((((hyp:tok:cooking AND pre:tok:colored) OR hyp:tok:walmart) AND (NOT pre:tok:orange)) AND (NOT hyp:tok:in)),0.375
65,((((NOT pre:tok:pool) AND (hyp:tok:bicycle OR hyp:tok:pool)) OR pre:tok:straight) OR pre:tok:starts),0.10215053763440861
67,(hyp:tok:tired AND pre:tok:men),0.5
70,((((hyp:tok:no OR hyp:tok:nobody) OR hyp:tok:swimming) OR hyp:tok:laying) OR hyp:tok:asleep),0.10284810126582279
71,((((oth:overlap:overlap25 OR pre:tok:on) OR pre:tok:in) AND (NOT hyp:tok:to)) AND (NOT oth:overlap:overlap75)),0.12365743357829283
76,((NOT pre:tok:and) AND (hyp:tok:lake AND hyp:tok:people)),0.2222222222222222
77,((((hyp:tok:bike AND pre:tok:skateboard) OR hyp:tok:lamp) OR hyp:tok:toothbrush) OR hyp:tok:racers),0.1388888888888889
83,((((hyp:tok:up AND pre:tok:sitting) OR pre:tok:hug) OR pre:tok:sofa) OR hyp:tok:wrestlers),0.1320754716981132
85,(hyp:tok:at AND pre:tok:hammer),0.5
86,(hyp:tok:is AND pre:tok:professional),0.5
87,((((hyp:tok:scarves OR hyp:tok:sweatshirt) OR hyp:tok:goods) OR hyp:tok:exercise) AND (NOT pre:tok:woman)),0.13793103448275862
89,((((hyp:tok:for OR pre:tok:blue) OR pre:tok:sitting) OR hyp:tok:her) AND (NOT oth:overlap:overlap50)),0.1255585344057194
91,(hyp:tok:sunny AND pre:tok:her),1.0
92,(hyp:tok:playing AND pre:tok:lime),0.3333333333333333
98,((((hyp:tok:running OR hyp:tok:swimming) OR hyp:tok:swim) AND (NOT pre:tok:running)) OR hyp:tok:driving),0.08905380333951762
99,((((hyp:tok:in AND oth:overlap:overlap75) OR hyp:tok:store) AND (NOT pre:tok:people)) OR pre:tok:alone),0.07390648567119155
101,(hyp:tok:two AND pre:tok:station),1.0
106,((((hyp:tok:no OR pre:tok:swimming) OR hyp:tok:not) OR hyp:tok:eats) OR pre:tok:costume),0.08314087759815242
109,(hyp:tok:religious AND hyp:tok:to),1.0
113,((((pre:tok:computer OR pre:tok:juggling) AND pre:tok:sitting) OR pre:tok:raining) OR pre:tok:photographs),0.12
128,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:people)) AND (NOT hyp:tok:outside)) OR pre:tok:small),0.09898218829516539
129,((((NOT pre:tok:sitting) AND (hyp:tok:sits OR hyp:tok:sitting)) OR hyp:tok:eating) AND (NOT pre:tok:while)),0.12557077625570776
132,((((hyp:tok:flight OR hyp:tok:scooters) AND pre:tok:are) OR hyp:tok:slides) AND (NOT oth:overlap:overlap25)),0.25
133,((((hyp:tok:inside OR hyp:tok:sleeping) OR hyp:tok:sleeps) OR hyp:tok:coffee) OR hyp:tok:garage),0.08921161825726141
134,((((hyp:tok:in OR hyp:tok:on) OR hyp:tok:eating) AND (NOT pre:tok:her)) OR hyp:tok:swimming),0.09451307095662166
136,(hyp:tok:small AND pre:tok:'s),1.0
137,((((hyp:tok:electric OR pre:tok:diner) OR hyp:tok:aisle) OR hyp:tok:bathrobe) OR pre:tok:tea),0.12962962962962962
139,((((hyp:tok:pool AND hyp:tok:swimming) OR hyp:tok:tutu) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:two)),0.18181818181818182
140,((((NOT pre:tok:red) AND (hyp:tok:red OR hyp:tok:swimming)) AND pre:tok:in) AND (NOT pre:tok:front)),0.1368421052631579
150,(hyp:tok:creating AND pre:tok:and),0.3333333333333333
151,((((pre:tok:pipe OR pre:tok:pub) OR hyp:tok:living) OR hyp:tok:costumed) OR hyp:tok:pets),0.13333333333333333
153,((hyp:tok:dogs AND pre:tok:swimming) AND hyp:tok:water),0.3333333333333333
156,((((hyp:tok:at AND pre:tok:repair) OR pre:tok:rainy) AND (NOT pre:tok:some)) AND (NOT hyp:tok:their)),0.23076923076923078
157,((((hyp:tok:for OR hyp:tok:sad) OR hyp:tok:after) OR hyp:tok:family) OR hyp:tok:money),0.09869848156182212
170,(hyp:tok:sport AND pre:tok:to),1.0
171,((((NOT pre:tok:man) AND (hyp:tok:human AND pre:tok:holding)) OR pre:tok:turns) AND hyp:tok:human),0.42857142857142855
173,((((hyp:tok:man OR pre:tok:group) OR pre:tok:water) OR hyp:tok:running) AND (NOT pre:tok:his)),0.08055645422193465
176,((((hyp:tok:boards OR pre:tok:upset) OR hyp:tok:2012) AND (NOT hyp:tok:in)) AND (NOT oth:overlap:overlap50)),0.21428571428571427
