,lost_concepts
0,(pre:tok:living OR pre:tok:shaving)
1,((((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside)) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:his))
2,((((hyp:tok:to OR oth:overlap:overlap75) OR hyp:tok:for) OR hyp:tok:her) OR pre:tok:someone)
3,((((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)) OR hyp:tok:sleeps) OR hyp:tok:cat)
4,(((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on) OR hyp:tok:tables)
5,((((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs) AND pre:tok:in) OR hyp:tok:officers)
6,((((hyp:tok:outdoors AND pre:tok:in) OR hyp:tok:screaming) AND oth:overlap:overlap25) AND (NOT pre:tok:man))
7,(((hyp:tok:throw AND pre:tok:man) OR hyp:tok:desk) AND hyp:tok:at)
8,((((hyp:tok:swimming AND pre:tok:two) OR hyp:tok:maintenance) OR pre:tok:unicycle) OR hyp:tok:paddle)
9,((((NOT pre:tok:on) AND hyp:tok:on) OR hyp:tok:eating) OR hyp:tok:bus)
10,((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting))
11,(((hyp:tok:room AND hyp:tok:two) OR hyp:tok:magazine) AND (NOT pre:tok:in))
12,((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park))
13,(((NOT pre:tok:and) AND (pre:tok:with OR pre:tok:working)) OR hyp:tok:no)
14,((hyp:tok:at OR hyp:tok:in) OR hyp:tok:running)
15,(((pre:tok:night AND pre:tok:walking) OR hyp:tok:guitars) OR hyp:tok:lamp)
16,(hyp:tok:protective OR hyp:tok:shoot)
17,((((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying) OR pre:tok:bicycles) OR hyp:tok:television)
18,(hyp:tok:water AND pre:tok:swimming)
19,((((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches) OR hyp:tok:finishing)
20,(hyp:tok:friends OR hyp:tok:shopping)
21,(((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)) OR hyp:tok:green)
22,(((NOT pre:tok:with) AND (hyp:tok:displaying OR pre:tok:army)) AND (NOT pre:tok:one))
23,((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset)
24,((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick))
25,((((NOT hyp:tok:woman) AND (hyp:tok:is OR pre:tok:are)) AND (NOT pre:tok:his)) AND (NOT hyp:tok:for))
26,((((hyp:tok:black AND hyp:tok:in) OR hyp:tok:costumes) OR hyp:tok:colorful) AND (NOT pre:tok:with))
27,(hyp:tok:are AND hyp:tok:down)
28,(((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel) OR hyp:tok:countryside)
29,((((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling) AND hyp:tok:women)
30,(((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight) OR hyp:tok:gather)
31,((((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman) AND (NOT pre:tok:street)) AND (NOT hyp:tok:girl))
32,(((hyp:tok:walking AND oth:overlap:overlap75) OR hyp:tok:look) OR hyp:tok:pick)
33,((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green)
34,((((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps) OR pre:tok:weather) OR hyp:tok:parked)
35,(pre:tok:man OR pre:tok:with)
36,((hyp:tok:and OR pre:tok:man) OR hyp:tok:at)
37,((((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)) AND (NOT pre:tok:with)) OR hyp:tok:carrot)
38,(hyp:tok:tired AND pre:tok:white)
39,(hyp:tok:women AND pre:tok:mcdonald)
40,((((hyp:tok:instruments OR hyp:tok:observe) OR pre:tok:checks) AND (NOT pre:tok:as)) AND (NOT pre:tok:and))
41,((((pre:tok:movie OR pre:tok:produce) AND hyp:tok:is) OR pre:tok:training) AND (NOT hyp:tok:in))
42,(hyp:tok:black AND hyp:tok:in)
43,((hyp:tok:soccer AND pre:tok:yellow) AND hyp:tok:playing)
44,(((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man)
45,((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean)
46,((((hyp:tok:beard OR hyp:tok:robes) OR hyp:tok:bone) OR hyp:tok:cardboard) OR hyp:tok:whose)
47,((NOT pre:tok:in) AND (hyp:tok:and OR hyp:tok:skateboarder))
48,((((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on)) OR hyp:tok:sandwiches)
49,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:dressed))
50,((((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk) OR hyp:tok:within) OR hyp:tok:wrapped)
51,(hyp:tok:chewing AND pre:tok:with)
52,(hyp:tok:bench AND pre:tok:is)
53,(hyp:tok:groom OR hyp:tok:toothbrush)
54,(((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib)
55,(hyp:tok:guitarist OR pre:tok:images)
56,((((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry) AND (NOT hyp:tok:on)) OR hyp:tok:sandwiches)
57,(hyp:tok:cats AND hyp:tok:various)
58,((((hyp:tok:cat OR hyp:tok:sleeping) OR hyp:tok:sleep) OR hyp:tok:empty) OR pre:tok:tools)
59,(((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity) OR hyp:tok:least)
60,(((hyp:tok:home AND pre:tok:from) AND hyp:tok:is) OR hyp:tok:handing)
61,((((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair) AND (NOT pre:tok:sitting)) AND (NOT pre:tok:sits))
62,((((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean) OR hyp:tok:goal) AND (NOT oth:overlap:overlap25))
63,(((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep) OR hyp:tok:laying)
64,(hyp:tok:older AND pre:tok:holding)
65,((((hyp:tok:nobody OR hyp:tok:not) OR hyp:tok:eats) OR hyp:tok:n't) OR hyp:tok:fish)
66,(((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are) AND (NOT oth:overlap:overlap25))
67,((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry)
68,(hyp:tok:least OR pre:tok:put)
69,((((hyp:tok:friends OR hyp:tok:shopping) OR hyp:tok:sister) OR hyp:tok:trip) OR hyp:tok:favorite)
70,(hyp:tok:at AND hyp:tok:coffee)
71,((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids)
72,((((NOT oth:overlap:overlap50) AND (hyp:tok:running OR pre:tok:table)) OR hyp:tok:crying) OR pre:tok:liquid)
73,((hyp:tok:are AND pre:tok:course) AND hyp:tok:in)
74,(((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick)) AND (NOT oth:overlap:overlap25))
75,((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped)
76,((((NOT pre:tok:and) AND (pre:tok:with OR pre:tok:working)) OR hyp:tok:no) OR hyp:tok:eating)
77,((((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread) OR pre:tok:steel) OR hyp:tok:upright)
78,((pre:tok:body AND pre:tok:brown) AND hyp:tok:in)
79,(hyp:tok:looks AND pre:tok:lap)
