,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:sister,hyp:tok:face,hyp:tok:finishing,hyp:tok:nine
1,hyp:tok:spring,hyp:tok:singing,hyp:tok:shirt,hyp:tok:shirt
2,hyp:tok:giant,pre:tok:sister,hyp:tok:from,hyp:tok:boy
3,hyp:tok:wild,hyp:tok:backyard,hyp:tok:landing,pre:tok:cup
4,hyp:tok:fell,pre:tok:shade,hyp:tok:course,hyp:tok:curtain
5,pre:tok:church,hyp:tok:boards,hyp:tok:drives,hyp:tok:dogs
6,pre:tok:airport,pre:tok:poster,pre:tok:groom,pre:tok:moon
7,hyp:tok:staircase,hyp:tok:blonde,pre:tok:hiding,hyp:tok:couple
8,hyp:tok:sings,pre:tok:red,pre:tok:clock,pre:tok:park
9,pre:tok:leaf,hyp:tok:lead,hyp:tok:6,pre:tok:cooks
10,pre:tok:race,pre:tok:vacation,pre:tok:looking,pre:tok:daughters
11,hyp:tok:year,pre:tok:walks,pre:tok:cooks,hyp:tok:laying
12,hyp:tok:hydrant,pre:tok:tire,hyp:tok:hug,hyp:tok:inflatable
13,pre:tok:television,hyp:tok:tag,hyp:tok:chatting,hyp:tok:free
14,pre:tok:placing,hyp:tok:brother,hyp:tok:trunks,pre:tok:while
15,pre:tok:ceremony,hyp:tok:packages,pre:tok:sandwich,pre:tok:boy
16,hyp:tok:tv,hyp:tok:runs,hyp:tok:it,hyp:tok:steps
17,hyp:tok:sister,hyp:tok:instrument,hyp:tok:!,pre:tok:shirt
18,hyp:tok:low,hyp:tok:sandwiches,hyp:tok:mask,pre:tok:front
19,hyp:tok:snowy,hyp:tok:crane,hyp:tok:crossing,pre:tok:poker
20,pre:tok:from,pre:tok:from,pre:tok:vehicles,pre:tok:event
21,pre:tok:as,pre:tok:as,pre:tok:hit,hyp:tok:desk
22,hyp:tok:yellow,hyp:tok:blouse,hyp:tok:brown,hyp:tok:vacation
23,hyp:tok:blouse,hyp:tok:anything,hyp:tok:pipes,pre:tok:wizard
24,pre:tok:four,hyp:tok:chases,pre:tok:platform,hyp:tok:her
25,hyp:tok:rowboat,pre:tok:shadow,hyp:tok:feet,hyp:tok:marathon
26,pre:tok:lemons,pre:tok:holding,hyp:tok:bus,pre:tok:walking
27,pre:tok:railing,pre:tok:blond,hyp:tok:train,hyp:tok:groups
