unit,best_name,best_iou
1,(hyp:tok:concrete AND hyp:tok:person),0.25
2,(hyp:tok:oriental AND hyp:tok:small),0.5
3,(hyp:tok:singer AND hyp:tok:this),0.3333333333333333
4,(hyp:tok:singer AND hyp:tok:this),0.25
5,(hyp:tok:singer AND hyp:tok:this),0.5
6,(((((NOT oth:overlap:overlap25) AND pre:tok:in) AND (NOT pre:tok:young)) OR pre:tok:watching) AND (NOT hyp:tok:men)),0.06866952789699571
7,(hyp:tok:son AND pre:tok:purple),0.3333333333333333
8,((((hyp:tok:for OR hyp:tok:while) OR hyp:tok:day) OR hyp:tok:player) OR hyp:tok:going),0.07119476268412439
9,((NOT pre:tok:in) AND hyp:tok:lemons),0.25
10,(hyp:tok:concrete AND hyp:tok:person),0.5
12,((hyp:tok:sisters AND pre:tok:their) AND pre:tok:two),0.5
13,(hyp:tok:races AND pre:tok:his),0.3333333333333333
14,(hyp:tok:concrete AND hyp:tok:person),0.5
15,((((hyp:tok:alone OR hyp:tok:bench) AND pre:tok:and) OR pre:tok:railing) AND (NOT oth:overlap:overlap50)),0.11627906976744186
16,((((hyp:tok:there OR oth:overlap:overlap50) OR pre:tok:over) OR hyp:tok:child) OR hyp:tok:girls),0.10362197169585033
17,((((hyp:tok:tall OR pre:tok:lifting) OR pre:tok:tents) OR hyp:tok:teen) OR pre:tok:natural),0.06896551724137931
19,((((hyp:tok:2 OR hyp:tok:sweeping) OR pre:tok:antique) OR pre:tok:years) OR pre:tok:pet),0.07692307692307693
20,(hyp:tok:concrete AND pre:tok:by),0.5
21,((((hyp:tok:men AND pre:tok:post) OR hyp:tok:arena) AND oth:overlap:overlap50) OR hyp:tok:displays),0.3076923076923077
22,((((hyp:tok:clothes AND pre:tok:walking) OR pre:tok:tunnel) OR hyp:tok:pedestrians) OR hyp:tok:item),0.13846153846153847
23,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),1.0
24,(hyp:tok:son AND pre:tok:purple),0.5
26,(hyp:tok:vehicles AND pre:tok:racing),0.3333333333333333
27,(hyp:tok:concrete AND hyp:tok:person),0.3333333333333333
28,((((hyp:tok:outside AND oth:overlap:overlap25) OR pre:tok:south) AND (NOT pre:tok:outside)) OR pre:tok:floating),0.08717948717948718
29,(hyp:tok:son AND pre:tok:purple),0.25
31,((((hyp:tok:glasses OR hyp:tok:sweatshirt) AND pre:tok:with) OR hyp:tok:brushes) OR hyp:tok:gymnasium),0.14705882352941177
32,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),1.0
33,(hyp:tok:son AND pre:tok:purple),0.5
34,(hyp:tok:son AND pre:tok:purple),1.0
35,(hyp:tok:vehicles AND pre:tok:racing),0.5
36,(hyp:tok:walking AND pre:tok:schoolgirls),0.2
37,((((hyp:tok:sitting OR pre:tok:man) OR pre:tok:boy) AND (NOT hyp:tok:to)) AND (NOT hyp:tok:playing)),0.10321296559567814
38,((((hyp:tok:against OR hyp:tok:couch) AND pre:tok:on) OR pre:tok:claus) AND (NOT pre:tok:standing)),0.13114754098360656
39,((((NOT pre:tok:in) AND (hyp:tok:at AND hyp:tok:home)) AND (NOT hyp:tok:is)) AND (NOT pre:tok:is)),0.26666666666666666
40,((((hyp:tok:basket OR pre:tok:mini) OR pre:tok:fly) OR pre:tok:upset) OR hyp:tok:vehicles),0.10714285714285714
41,((((hyp:tok:and AND oth:overlap:overlap50) OR pre:tok:dogs) OR hyp:tok:competition) OR pre:tok:land),0.0804953560371517
42,(((NOT oth:overlap:overlap25) AND (hyp:tok:lemons OR hyp:tok:vehicles)) AND (NOT pre:tok:in)),0.4
43,(hyp:tok:swimming AND pre:tok:inflatable),0.5
45,((((hyp:tok:football OR hyp:tok:piano) AND hyp:tok:man) OR hyp:tok:crime) OR hyp:tok:practice),0.10714285714285714
46,(hyp:tok:son AND pre:tok:purple),0.5
47,(hyp:tok:hammer AND pre:tok:and),0.3333333333333333
50,(hyp:tok:son AND pre:tok:purple),0.3333333333333333
51,(hyp:tok:vehicles AND pre:tok:racing),0.25
52,((((pre:tok:bicycle OR pre:tok:dish) OR hyp:tok:pot) OR pre:tok:swings) OR pre:tok:brushing),0.07924528301886792
53,(hyp:tok:sitting AND pre:tok:tunnel),0.6666666666666666
54,(hyp:tok:chases AND pre:tok:through),0.5
55,(hyp:tok:sitting AND pre:tok:tunnel),0.5
56,(hyp:tok:swimming AND pre:tok:inflatable),1.0
57,(hyp:tok:son AND pre:tok:purple),1.0
58,((NOT pre:tok:in) AND hyp:tok:lemons),0.25
59,((((hyp:tok:napping OR hyp:tok:onlookers) AND pre:tok:is) OR hyp:tok:hospital) AND (NOT hyp:tok:is)),0.23076923076923078
60,(hyp:tok:hammer AND pre:tok:and),1.0
61,((((hyp:tok:flag OR pre:tok:enjoy) OR hyp:tok:trail) OR pre:tok:bamboo) AND (NOT pre:tok:with)),0.09558823529411764
62,(hyp:tok:vehicles AND pre:tok:racing),0.5
63,(hyp:tok:shaving AND pre:tok:man),0.2
64,(hyp:tok:concrete AND hyp:tok:person),0.25
65,((((hyp:tok:how OR hyp:tok:sleeping) OR hyp:tok:son) OR pre:tok:coffee) OR pre:tok:level),0.07004830917874397
66,(hyp:tok:son AND pre:tok:purple),1.0
67,((((pre:tok:musicians OR pre:tok:pick) OR hyp:tok:poor) OR hyp:tok:belt) AND (NOT hyp:tok:on)),0.25
68,(hyp:tok:concrete AND hyp:tok:person),0.3333333333333333
69,(hyp:tok:couple AND pre:tok:across),0.5
70,((((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:cat) OR hyp:tok:rider) OR pre:tok:gold),0.0948905109489051
71,((((NOT pre:tok:blue) AND (pre:tok:be OR pre:tok:with)) OR hyp:tok:there) OR pre:tok:graffiti),0.07039835164835165
72,((((hyp:tok:hammer AND pre:tok:and) OR hyp:tok:lying) AND pre:tok:is) AND (NOT pre:tok:his)),0.25
73,((((hyp:tok:golden OR hyp:tok:slam) OR hyp:tok:repairing) OR hyp:tok:discussing) AND oth:overlap:overlap50),0.1724137931034483
74,(hyp:tok:concrete AND hyp:tok:person),1.0
75,(hyp:tok:concrete AND hyp:tok:person),1.0
76,(hyp:tok:outdoors AND pre:tok:jumping),1.0
77,((((hyp:tok:outdoors AND pre:tok:traditional) OR hyp:tok:protection) OR pre:tok:got) OR hyp:tok:move),0.14285714285714285
78,(hyp:tok:outdoors AND pre:tok:jumping),1.0
79,(hyp:tok:concrete AND hyp:tok:person),1.0
81,(hyp:tok:concrete AND hyp:tok:person),0.5
83,((((oth:overlap:overlap75 OR pre:tok:woman) OR pre:tok:men) OR pre:tok:wall) OR hyp:tok:jumping),0.09802412111880934
84,(hyp:tok:sitting AND pre:tok:tunnel),0.5
85,(hyp:tok:at AND pre:tok:hammer),0.14285714285714285
86,((((hyp:tok:competition OR hyp:tok:frisbee) OR hyp:tok:milk) OR pre:tok:cat) AND (NOT pre:tok:with)),0.09090909090909091
87,(((hyp:tok:sisters AND pre:tok:leaping) OR pre:tok:trampoline) AND pre:tok:in),0.25
89,((((NOT oth:overlap:overlap50) AND (pre:tok:and OR pre:tok:white)) OR pre:tok:outdoor) AND (NOT hyp:tok:with)),0.08313376667807047
90,(hyp:tok:sitting AND pre:tok:tunnel),1.0
91,(hyp:tok:son AND pre:tok:purple),1.0
92,(((((NOT pre:tok:with) AND hyp:tok:soccer) OR pre:tok:written) OR pre:tok:kisses) OR hyp:tok:cold),0.10077519379844961
94,(hyp:tok:leaping AND pre:tok:dog),1.0
95,(hyp:tok:outdoors AND pre:tok:jumping),1.0
96,(hyp:tok:falls AND pre:tok:bike),0.3333333333333333
97,(hyp:tok:concrete AND hyp:tok:person),1.0
98,((((hyp:tok:any OR hyp:tok:driving) OR pre:tok:vehicles) OR pre:tok:torch) OR pre:tok:computers),0.07142857142857142
99,((((hyp:tok:near OR oth:overlap:overlap75) OR hyp:tok:holds) OR hyp:tok:flying) OR pre:tok:back),0.08610478359908884
100,(hyp:tok:structure AND pre:tok:some),1.0
101,((((hyp:tok:bed OR hyp:tok:room) OR pre:tok:golfer) OR pre:tok:best) OR pre:tok:cows),0.09053497942386832
102,(hyp:tok:sitting AND pre:tok:tunnel),0.5
103,(hyp:tok:shirt AND pre:tok:tunnel),0.25
104,(hyp:tok:large AND pre:tok:underneath),1.0
105,(hyp:tok:concrete AND hyp:tok:person),0.5
