,Cluster1,Cluster2,Cluster3,Cluster4
0,hyp:tok:waiting,hyp:tok:and,hyp:tok:building,hyp:tok:paddles
1,pre:tok:swimming,hyp:tok:watching,pre:tok:resting,hyp:tok:backpacks
2,pre:tok:him,hyp:tok:no,hyp:tok:activity,hyp:tok:and
3,pre:tok:up,hyp:tok:friends,hyp:tok:has,hyp:tok:diving
4,pre:tok:playing,hyp:tok:vests,pre:tok:heels,hyp:tok:friends
5,hyp:tok:watching,pre:tok:for,hyp:tok:and,hyp:tok:no
6,hyp:tok:friends,hyp:tok:indoors,hyp:tok:hate,hyp:tok:friend
7,hyp:tok:and,pre:tok:group,pre:tok:for,pre:tok:group
8,hyp:tok:no,hyp:tok:!,pre:tok:asian,hyp:tok:addressing
9,hyp:tok:indoors,hyp:tok:for,hyp:tok:gloves,hyp:tok:red
10,pre:tok:group,hyp:tok:this,hyp:tok:clock,hyp:tok:for
11,hyp:tok:for,pre:tok:men,hyp:tok:red,hyp:tok:flies
12,pre:tok:men,pre:tok:duck,hyp:tok:for,pre:tok:men
13,pre:tok:reads,hyp:tok:sits,pre:tok:ceremony,pre:tok:parade
14,pre:tok:three,hyp:tok:running,pre:tok:men,hyp:tok:running
15,pre:tok:pavement,hyp:tok:on,hyp:tok:bottles,hyp:tok:on
16,hyp:tok:running,pre:tok:playground,hyp:tok:running,hyp:tok:walking
17,hyp:tok:on,pre:tok:style,hyp:tok:on,hyp:tok:shirt
18,hyp:tok:walking,hyp:tok:walking,hyp:tok:outer,hyp:tok:into
19,hyp:tok:shirt,pre:tok:hose,hyp:tok:vehicle,pre:tok:yellow
20,hyp:tok:airplane,pre:tok:woman,pre:tok:woman,hyp:tok:vehicle
21,hyp:tok:moon,pre:tok:women,hyp:tok:sleeping,pre:tok:woman
22,pre:tok:four,hyp:tok:sleeping,pre:tok:images,hyp:tok:sleeping
23,pre:tok:yellow,pre:tok:beach,hyp:tok:eats,hyp:tok:eats
24,pre:tok:woman,pre:tok:white,pre:tok:white,pre:tok:white
25,pre:tok:women,pre:tok:blue,pre:tok:blue,pre:tok:blue
26,hyp:tok:dinner,hyp:tok:eating,hyp:tok:eating,hyp:tok:eating
27,hyp:tok:sleeping,pre:tok:with,pre:tok:with,pre:tok:with
28,pre:tok:night,hyp:tok:naked,pre:tok:army,hyp:tok:naked
29,pre:tok:white,pre:tok:young,hyp:tok:stroll,hyp:tok:safety
30,pre:tok:blue,hyp:tok:mother,hyp:tok:is,pre:tok:young
31,hyp:tok:eating,pre:tok:walking,hyp:tok:championship,pre:tok:play
32,pre:tok:with,pre:tok:other,hyp:tok:asleep,hyp:tok:lake
33,hyp:tok:naked,hyp:tok:is,hyp:tok:than,hyp:tok:desert
34,pre:tok:young,hyp:tok:asleep,hyp:tok:sleeps,pre:tok:walking
35,hyp:tok:lake,hyp:tok:shopping,pre:tok:camera,hyp:tok:is
36,pre:tok:walking,pre:tok:dog,pre:tok:dog,hyp:tok:japanese
37,pre:tok:body,hyp:tok:mirror,hyp:tok:wheelchair,hyp:tok:khaki
38,hyp:tok:is,hyp:tok:her,hyp:tok:her,hyp:tok:asleep
39,hyp:tok:championship,hyp:tok:blue,oth:overlap:overlap25,hyp:tok:than
40,hyp:tok:sad,oth:overlap:overlap25,hyp:tok:something,pre:tok:dog
41,hyp:tok:asleep,hyp:tok:summer,oth:overlap:overlap50,hyp:tok:her
42,pre:tok:dog,oth:overlap:overlap50,hyp:tok:outside,pre:tok:knife
43,hyp:tok:her,hyp:tok:tired,hyp:tok:after,hyp:tok:blue
44,hyp:tok:blue,hyp:tok:after,pre:tok:railing,oth:overlap:overlap25
45,hyp:tok:something,hyp:tok:clothed,hyp:tok:down,hyp:tok:something
46,oth:overlap:overlap25,hyp:tok:cooking,pre:tok:while,oth:overlap:overlap50
47,oth:overlap:overlap50,pre:tok:railing,pre:tok:television,hyp:tok:outside
48,hyp:tok:outside,hyp:tok:outside,hyp:tok:nap,hyp:tok:after
49,hyp:tok:tired,pre:tok:while,pre:tok:wearing,hyp:tok:new
50,pre:tok:railing,hyp:tok:nap,hyp:tok:alone,pre:tok:while
