,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:unicycle,pre:tok:structure,pre:tok:yellow,hyp:tok:humans
1,pre:tok:talks,pre:tok:yellow,hyp:tok:humans,hyp:tok:desk
2,pre:tok:forehead,hyp:tok:paved,hyp:tok:surrounded,hyp:tok:neighborhood
3,hyp:tok:snowshoes,hyp:tok:desk,hyp:tok:pet,pre:tok:talking
4,hyp:tok:tunnel,pre:tok:patio,hyp:tok:walked,hyp:tok:push
5,pre:tok:weather,hyp:tok:waitress,pre:tok:sunset,pre:tok:urban
6,hyp:tok:-,hyp:tok:runs,pre:tok:stool,pre:tok:roller
7,pre:tok:clear,hyp:tok:chat,pre:tok:profile,pre:tok:airport
8,pre:tok:climbs,pre:tok:instrument,hyp:tok:tractor,pre:tok:gentlemen
9,hyp:tok:tea,hyp:tok:unicycle,hyp:tok:accordion,hyp:tok:championship
10,hyp:tok:theater,pre:tok:airport,hyp:tok:sport,hyp:tok:come
11,hyp:tok:ladies,hyp:tok:skydiving,hyp:tok:diving,hyp:tok:you
12,hyp:tok:apartment,hyp:tok:complete,hyp:tok:crane,hyp:tok:adults
13,hyp:tok:appears,hyp:tok:artwork,hyp:tok:you,hyp:tok:hot
14,hyp:tok:soap,hyp:tok:crane,pre:tok:funny,hyp:tok:grassy
15,hyp:tok:son,hyp:tok:trail,pre:tok:nose,pre:tok:bucket
16,hyp:tok:wrestlers,pre:tok:mid,hyp:tok:been,pre:tok:dress
17,hyp:tok:bin,pre:tok:competition,pre:tok:cigarettes,hyp:tok:theater
18,pre:tok:photographer,pre:tok:suspenders,hyp:tok:brown,pre:tok:jumped
19,hyp:tok:bread,hyp:tok:inline,pre:tok:rooftop,hyp:tok:ladies
20,pre:tok:flowered,hyp:tok:lamp,pre:tok:parents,hyp:tok:kid
21,hyp:tok:space,pre:tok:company,hyp:tok:painting,hyp:tok:without
22,hyp:tok:airport,hyp:tok:activity,hyp:tok:backpacks,pre:tok:mall
23,hyp:tok:stuck,pre:tok:protecting,hyp:tok:soup,hyp:tok:waterfall
24,pre:tok:passed,pre:tok:church,hyp:tok:staircase,pre:tok:birthday
25,pre:tok:arm,pre:tok:relax,pre:tok:photographed,pre:tok:nutcracker
26,hyp:tok:sandals,pre:tok:go,hyp:tok:beard,pre:tok:glasses
27,hyp:tok:sweater,pre:tok:strike,pre:tok:cleaning,hyp:tok:swing
28,hyp:tok:crib,pre:tok:wheeler,pre:tok:performer,pre:tok:pier
29,pre:tok:cook,pre:tok:below,pre:tok:trunks,hyp:tok:curtain
