,Concepts common to all clusters
0,hyp:tok:football
1,pre:tok:yellow
2,hyp:tok:outside
3,pre:tok:television
4,pre:tok:young
5,hyp:tok:bicycle
6,pre:tok:people
7,pre:tok:on
8,hyp:tok:has
9,pre:tok:walking
10,hyp:tok:for
11,hyp:tok:black
12,hyp:tok:with
13,hyp:tok:outdoors
14,pre:tok:with
15,hyp:tok:dancing
16,pre:tok:white
17,hyp:tok:girl
18,oth:overlap:overlap25
19,hyp:tok:drives
20,hyp:tok:eating
21,pre:tok:shirt
22,hyp:tok:sleeping
23,hyp:tok:human
24,hyp:tok:bottles
25,pre:tok:meet
26,hyp:tok:wearing
27,hyp:tok:woman
28,pre:tok:men
29,hyp:tok:you
30,hyp:tok:people
31,hyp:tok:and
32,hyp:tok:walking
33,oth:overlap:overlap50
34,pre:tok:blue
35,pre:tok:play
36,pre:tok:wearing
37,pre:tok:dog
38,hyp:tok:nobody
39,hyp:tok:in
40,hyp:tok:tv
41,oth:overlap:overlap75
42,hyp:tok:sitting
43,hyp:tok:running
44,pre:tok:two
45,hyp:tok:mirror
46,hyp:tok:sunlight
47,hyp:tok:are
48,hyp:tok:there
49,hyp:tok:is
50,pre:tok:is
51,hyp:tok:inside
52,pre:tok:sitting
53,hyp:tok:asleep
54,hyp:tok:not
55,hyp:tok:shoveling
56,hyp:tok:their
57,pre:tok:woman
58,pre:tok:while
59,hyp:tok:guitars
60,hyp:tok:person
61,hyp:tok:bus
62,hyp:tok:his
63,hyp:tok:rollerblading
64,hyp:tok:her
65,hyp:tok:brushes
66,pre:tok:in
67,hyp:tok:no
68,hyp:tok:humans
69,hyp:tok:women
70,pre:tok:girl
71,hyp:tok:alone
72,hyp:tok:couch
73,pre:tok:are
74,pre:tok:man
75,pre:tok:and
76,hyp:tok:naked
77,hyp:tok:at
78,pre:tok:playing
79,pre:tok:his
80,hyp:tok:swimming
81,hyp:tok:tall
82,hyp:tok:on
83,hyp:tok:cat
84,hyp:tok:surf
85,pre:tok:to
86,pre:tok:skiing
87,hyp:tok:sad
88,hyp:tok:riding
89,pre:tok:running
90,hyp:tok:to
91,hyp:tok:men
92,hyp:tok:friends
93,hyp:tok:outer
