,Concepts common to all clusters
0,hyp:tok:are
1,hyp:tok:watching
2,hyp:tok:large
3,hyp:tok:shirt
4,hyp:tok:having
5,pre:tok:woman
6,hyp:tok:asleep
7,hyp:tok:there
8,pre:tok:behind
9,hyp:tok:for
10,pre:tok:him
11,hyp:tok:dinner
12,pre:tok:young
13,pre:tok:green
14,pre:tok:mouth
15,pre:tok:and
16,hyp:tok:his
17,hyp:tok:picture
18,hyp:tok:near
19,pre:tok:beach
20,hyp:tok:car
21,pre:tok:air
22,oth:overlap:overlap75
23,hyp:tok:swimming
24,pre:tok:two
25,hyp:tok:about
26,hyp:tok:outside
27,hyp:tok:bathroom
28,hyp:tok:this
29,hyp:tok:alone
30,pre:tok:her
31,pre:tok:rock
32,pre:tok:white
33,pre:tok:stuffed
34,hyp:tok:park
35,pre:tok:other
36,hyp:tok:walking
37,hyp:tok:tall
38,hyp:tok:new
39,hyp:tok:funny
40,hyp:tok:smiling
41,pre:tok:background
42,pre:tok:pool
43,hyp:tok:going
44,hyp:tok:front
45,hyp:tok:lady
46,pre:tok:night
47,hyp:tok:black
48,pre:tok:dog
49,pre:tok:standing
50,pre:tok:wearing
51,pre:tok:street
52,hyp:tok:store
53,pre:tok:blue
54,hyp:tok:owner
55,hyp:tok:they
56,hyp:tok:with
57,hyp:tok:cooking
58,pre:tok:some
59,hyp:tok:him
60,hyp:tok:rain
61,pre:tok:public
62,pre:tok:boy
63,hyp:tok:person
64,hyp:tok:race
65,pre:tok:while
66,hyp:tok:to
67,hyp:tok:at
68,pre:tok:images
69,hyp:tok:grass
70,hyp:tok:empty
71,hyp:tok:sitting
72,hyp:tok:ocean
73,hyp:tok:outfits
74,hyp:tok:animal
75,hyp:tok:sidewalk
76,pre:tok:stay
77,hyp:tok:child
78,hyp:tok:driving
79,hyp:tok:moving
80,hyp:tok:vehicle
81,hyp:tok:lunch
82,hyp:tok:next
83,hyp:tok:something
84,hyp:tok:together
85,hyp:tok:her
86,hyp:tok:birthday
87,pre:tok:outside
88,hyp:tok:lake
89,hyp:tok:inside
90,pre:tok:something
91,pre:tok:through
92,hyp:tok:sleeping
93,pre:tok:sitting
94,hyp:tok:nobody
95,pre:tok:down
96,hyp:tok:friends
97,hyp:tok:running
98,hyp:tok:their
99,pre:tok:are
100,pre:tok:his
101,hyp:tok:against
102,hyp:tok:bed
103,pre:tok:fair
104,hyp:tok:music
105,hyp:tok:on
106,pre:tok:with
107,hyp:tok:wet
108,pre:tok:body
109,hyp:tok:tv
110,pre:tok:playground
111,pre:tok:it
112,hyp:tok:people
113,pre:tok:water
114,hyp:tok:by
115,hyp:tok:kitchen
116,hyp:tok:some
117,hyp:tok:bikes
118,hyp:tok:concert
119,pre:tok:out
120,hyp:tok:two
121,hyp:tok:football
122,hyp:tok:field
123,hyp:tok:in
124,pre:tok:racing
125,hyp:tok:bicycle
126,hyp:tok:is
127,pre:tok:little
128,hyp:tok:playing
129,hyp:tok:rock
130,pre:tok:grass
131,hyp:tok:movie
132,pre:tok:is
133,pre:tok:city
134,pre:tok:people
135,pre:tok:man
136,hyp:tok:woman
137,hyp:tok:man
138,hyp:tok:men
139,pre:tok:game
140,oth:overlap:overlap50
141,hyp:tok:after
142,pre:tok:girl
143,hyp:tok:food
144,hyp:tok:not
145,hyp:tok:party
146,pre:tok:at
147,hyp:tok:outdoors
148,hyp:tok:all
149,hyp:tok:asian
150,hyp:tok:other
151,hyp:tok:cake
152,pre:tok:crowd
153,pre:tok:group
154,hyp:tok:wearing
155,hyp:tok:women
156,hyp:tok:eating
157,hyp:tok:from
158,hyp:tok:professional
159,hyp:tok:pool
160,hyp:tok:dog
161,hyp:tok:cat
162,hyp:tok:water
163,pre:tok:front
164,hyp:tok:and
165,hyp:tok:snow
166,hyp:tok:couple
167,hyp:tok:being
168,hyp:tok:bike
169,hyp:tok:standing
170,pre:tok:in
171,pre:tok:running
172,hyp:tok:couch
173,pre:tok:book
174,pre:tok:mountain
175,hyp:tok:has
176,pre:tok:child
177,hyp:tok:he
178,hyp:tok:as
179,hyp:tok:'s
180,pre:tok:to
181,pre:tok:red
182,pre:tok:building
183,oth:overlap:overlap25
184,hyp:tok:crying
185,hyp:tok:present
186,hyp:tok:bench
187,hyp:tok:down
188,pre:tok:black
189,hyp:tok:air
190,hyp:tok:boy
191,pre:tok:on
192,hyp:tok:blue
193,hyp:tok:taking
194,pre:tok:women
195,hyp:tok:home
196,hyp:tok:instrument
197,hyp:tok:building
198,pre:tok:walking
199,hyp:tok:indoors
200,pre:tok:as
201,hyp:tok:game
202,hyp:tok:white
203,pre:tok:men
204,pre:tok:shirt
205,hyp:tok:fire
206,hyp:tok:racing
207,pre:tok:camera
208,hyp:tok:no
209,pre:tok:track
210,hyp:tok:group
211,hyp:tok:girl
212,pre:tok:-
213,hyp:tok:ball
214,hyp:tok:day
