,Concepts common to all clusters
0,hyp:tok:sitting
1,hyp:tok:their
2,hyp:tok:person
3,pre:tok:on
4,hyp:tok:couch
5,pre:tok:wearing
6,hyp:tok:eats
7,hyp:tok:eating
8,hyp:tok:in
9,hyp:tok:girl
10,hyp:tok:clock
11,hyp:tok:tv
12,oth:overlap:overlap25
13,hyp:tok:women
14,pre:tok:while
15,pre:tok:two
16,oth:overlap:overlap75
17,hyp:tok:lake
18,hyp:tok:balance
19,hyp:tok:desks
20,pre:tok:man
21,hyp:tok:outdoors
22,hyp:tok:to
23,hyp:tok:near
24,hyp:tok:woman
25,hyp:tok:at
26,hyp:tok:is
27,hyp:tok:basketball
28,pre:tok:woman
29,pre:tok:for
30,pre:tok:his
31,hyp:tok:there
32,hyp:tok:nap
33,pre:tok:pumpkin
34,hyp:tok:museum
35,hyp:tok:white
36,hyp:tok:roller
37,hyp:tok:human
38,hyp:tok:football
39,hyp:tok:naked
40,pre:tok:street
41,hyp:tok:cat
42,hyp:tok:people
43,pre:tok:blue
44,pre:tok:black
45,pre:tok:sitting
46,hyp:tok:alone
47,pre:tok:boy
48,hyp:tok:man
49,hyp:tok:inside
50,pre:tok:white
51,pre:tok:water
52,hyp:tok:park
53,hyp:tok:on
54,hyp:tok:asleep
55,pre:tok:with
56,pre:tok:dog
57,hyp:tok:wearing
58,hyp:tok:sleeping
59,pre:tok:down
60,hyp:tok:and
61,hyp:tok:finished
62,hyp:tok:after
63,hyp:tok:running
64,pre:tok:people
65,hyp:tok:tall
66,pre:tok:group
67,hyp:tok:dancing
68,pre:tok:to
69,hyp:tok:outer
70,hyp:tok:outside
71,hyp:tok:for
72,hyp:tok:nobody
73,oth:overlap:overlap50
74,pre:tok:are
75,hyp:tok:something
76,pre:tok:and
77,pre:tok:men
78,hyp:tok:rollerblading
79,pre:tok:at
80,hyp:tok:are
81,hyp:tok:her
82,pre:tok:shirt
83,pre:tok:in
84,hyp:tok:swimming
85,hyp:tok:blue
86,hyp:tok:watched
87,pre:tok:is
88,hyp:tok:his
