unit,best_name,best_iou
1,(hyp:tok:lemons AND pre:tok:something),1.0
2,((hyp:tok:cats AND pre:tok:dogs) AND pre:tok:two),1.0
3,(hyp:tok:son AND pre:tok:purple),1.0
4,((NOT pre:tok:in) AND hyp:tok:lemons),0.3333333333333333
6,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:party) AND (NOT pre:tok:background)) OR hyp:tok:he),0.12314458493677845
7,(hyp:tok:structure AND pre:tok:some),0.5
8,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:about) OR hyp:tok:party) OR hyp:tok:family),0.14406332453825857
9,((NOT pre:tok:in) AND hyp:tok:lemons),0.3333333333333333
11,(hyp:tok:son AND pre:tok:purple),0.3333333333333333
12,(((NOT pre:tok:and) AND (hyp:tok:lemons OR pre:tok:tunnel)) AND (NOT pre:tok:red)),0.2
13,(hyp:tok:here AND hyp:tok:image),0.5
14,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),1.0
15,(((((NOT oth:overlap:overlap25) AND hyp:tok:sitting) OR hyp:tok:cat) AND (NOT pre:tok:on)) OR hyp:tok:couch),0.12149532710280374
16,((((oth:overlap:overlap25 OR pre:tok:and) OR hyp:tok:to) OR hyp:tok:outside) OR pre:tok:wearing),0.21254476146471063
17,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR hyp:tok:mother) OR hyp:tok:humans) AND (NOT pre:tok:lady)),0.11374407582938388
18,((NOT pre:tok:in) AND hyp:tok:lemons),0.3333333333333333
19,((((hyp:tok:male OR pre:tok:finished) OR pre:tok:produce) OR hyp:tok:sweater) AND (NOT pre:tok:man)),0.08148148148148149
20,(hyp:tok:structure AND pre:tok:some),1.0
21,((((hyp:tok:tv AND pre:tok:on) OR hyp:tok:rolled) OR hyp:tok:competitors) OR hyp:tok:harnesses),0.1935483870967742
22,((((hyp:tok:roof OR pre:tok:upset) OR hyp:tok:chairs) OR hyp:tok:tan) AND (NOT pre:tok:and)),0.13043478260869565
23,(hyp:tok:structure AND pre:tok:some),0.3333333333333333
