cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,0,(((((NOT oth:overlap:overlap25) AND pre:tok:in) OR hyp:tok:cat) AND (NOT hyp:tok:to)) OR hyp:tok:sleeping),(((((NOT oth) AND pre) OR hyp) AND (NOT hyp)) OR hyp),(((((NOT oth:overlap) AND pre:tok) OR hyp:tok) AND (NOT hyp:tok)) OR hyp:tok),0.09829443447037702,7,-0.013152787,-0.02441809,0.029396057
3,1,pre:tok:in,pre,pre:tok,0.0,1,0.0047763498,0.0021374722,0.014035168
3,2,(hyp:tok:son AND pre:tok:purple),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.028240746,-0.018325444,-0.01801046
3,3,pre:tok:in,pre,pre:tok,0.0,1,0.0005738688,-0.0071000154,0.013591588
3,4,pre:tok:in,pre,pre:tok,0.0,1,-0.03327432,0.009516349,0.005223358
3,5,pre:tok:in,pre,pre:tok,0.0,1,-0.01811511,0.01101393,0.029370204
3,6,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:they) AND (NOT hyp:tok:with)) OR hyp:tok:tall),(((((NOT oth) AND hyp) OR hyp) AND (NOT hyp)) OR hyp),(((((NOT oth:overlap) AND hyp:tok) OR hyp:tok) AND (NOT hyp:tok)) OR hyp:tok),0.12119328775637042,7,-0.12789793,-0.06355428,0.12373636
3,7,pre:tok:in,pre,pre:tok,0.0,1,-0.017232083,-0.0118125025,0.0006597078
3,8,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) AND (NOT hyp:tok:next)) AND (NOT pre:tok:for)),((((hyp OR hyp) OR hyp) AND (NOT hyp)) AND (NOT pre)),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.17210270645385148,7,-0.06336774,-0.09746876,0.15893587
3,9,pre:tok:in,pre,pre:tok,0.0,1,-0.015833614,0.0036869862,-0.023049906
3,10,pre:tok:in,pre,pre:tok,0.0,1,0.026105339,0.008309716,-0.005927887
3,11,pre:tok:in,pre,pre:tok,0.0,1,-0.039270308,0.0039053678,-0.08502867
3,12,(hyp:tok:son AND pre:tok:purple),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.17458904,0.01516899,-0.055562876
3,13,(hyp:tok:lemons AND pre:tok:something),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,0.00069109304,-0.022033479,-0.039120488
3,14,pre:tok:in,pre,pre:tok,0.0,1,0.015123305,0.0017837533,-0.029876685
3,15,(((((NOT pre:tok:sitting) AND hyp:tok:sitting) AND (NOT pre:tok:on)) OR pre:tok:tunnel) AND (NOT pre:tok:and)),(((((NOT pre) AND hyp) AND (NOT pre)) OR pre) AND (NOT pre)),(((((NOT pre:tok) AND hyp:tok) AND (NOT pre:tok)) OR pre:tok) AND (NOT pre:tok)),0.13178294573643412,8,-0.07649261,-0.098805346,0.110435806
3,16,((((hyp:tok:to OR oth:overlap:overlap25) OR pre:tok:wearing) AND (NOT hyp:tok:wearing)) AND (NOT hyp:tok:sitting)),((((hyp OR oth) OR pre) AND (NOT hyp)) AND (NOT hyp)),((((hyp:tok OR oth:overlap) OR pre:tok) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.18742276534395166,7,0.00012446639,0.043634098,-0.066949524
3,17,((((hyp:tok:funny OR pre:tok:repair) OR hyp:tok:sing) AND (NOT oth:overlap:overlap50)) OR hyp:tok:suspended),((((hyp OR pre) OR hyp) AND (NOT oth)) OR hyp),((((hyp:tok OR pre:tok) OR hyp:tok) AND (NOT oth:overlap)) OR hyp:tok),0.12658227848101267,6,0.0092279995,-0.03837438,0.09640581
3,18,pre:tok:in,pre,pre:tok,0.0,1,-0.019470567,0.000523566,0.009931134
