unit,best_name,best_iou
6,((((hyp:tok:tall OR hyp:tok:very) OR hyp:tok:blonde) OR pre:tok:necklace) OR hyp:tok:funny),0.1336206896551724
8,(((((NOT pre:tok:for) AND hyp:tok:for) OR hyp:tok:tall) AND (NOT pre:tok:at)) OR hyp:tok:sister),0.18216318785578747
15,((((NOT hyp:tok:is) AND (hyp:tok:sitting AND pre:tok:walking)) OR hyp:tok:carpet) AND (NOT pre:tok:on)),0.17857142857142858
16,((((hyp:tok:outside OR hyp:tok:to) OR hyp:tok:for) OR hyp:tok:outdoors) OR hyp:tok:something),0.1523980277902286
17,(hyp:tok:low AND pre:tok:is),0.2
19,((((hyp:tok:skateboarder AND pre:tok:photographed) OR hyp:tok:pictured) OR hyp:tok:lemons) OR hyp:tok:barely),0.18518518518518517
22,((((hyp:tok:men AND pre:tok:sandals) OR hyp:tok:camouflage) OR hyp:tok:buddhist) OR pre:tok:skills),0.16129032258064516
31,(hyp:tok:school AND pre:tok:stripe),0.25
37,((((pre:tok:caught OR pre:tok:tour) OR hyp:tok:tools) OR hyp:tok:suv) AND (NOT oth:overlap:overlap50)),0.125
39,(((NOT pre:tok:man) AND (hyp:tok:nobody AND pre:tok:wearing)) AND (NOT pre:tok:front)),0.5
52,((((hyp:tok:lemons OR hyp:tok:wizard) OR pre:tok:pet) AND (NOT oth:overlap:overlap50)) AND (NOT hyp:tok:in)),0.25
61,(((NOT pre:tok:woman) AND hyp:tok:lemons) OR hyp:tok:hate),0.6666666666666666
63,((((hyp:tok:sweater AND hyp:tok:woman) OR hyp:tok:bowls) OR pre:tok:picking) OR pre:tok:tea),0.25
65,((((NOT pre:tok:man) AND (hyp:tok:bicycle AND hyp:tok:riding)) OR hyp:tok:pedaling) AND hyp:tok:is),0.2692307692307692
70,((((hyp:tok:swimming OR pre:tok:mountainous) AND hyp:tok:in) AND (NOT pre:tok:and)) OR hyp:tok:lemons),0.20634920634920634
71,(((((NOT pre:tok:on) AND hyp:tok:on) OR hyp:tok:driving) OR hyp:tok:drives) OR hyp:tok:cat),0.07240704500978473
77,(hyp:tok:outdoors AND pre:tok:third),1.0
