cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
4,0,((((hyp:tok:alone OR hyp:tok:drums) OR pre:tok:leading) OR hyp:tok:sleeps) OR pre:tok:!),((((hyp OR hyp) OR pre) OR hyp) OR pre),((((hyp:tok OR hyp:tok) OR pre:tok) OR hyp:tok) OR pre:tok),0.07258064516129033,5,-0.013152787,-0.02441809,0.029396057
4,1,pre:tok:in,pre,pre:tok,0.0,1,0.0047763498,0.0021374722,0.014035168
4,2,pre:tok:in,pre,pre:tok,0.0,1,-0.028240746,-0.018325444,-0.01801046
4,3,pre:tok:in,pre,pre:tok,0.0,1,0.0005738688,-0.0071000154,0.013591588
4,4,pre:tok:in,pre,pre:tok,0.0,1,-0.03327432,0.009516349,0.005223358
4,5,pre:tok:in,pre,pre:tok,0.0,1,-0.01811511,0.01101393,0.029370204
4,6,((((hyp:tok:tall OR hyp:tok:very) OR hyp:tok:blonde) OR pre:tok:necklace) OR hyp:tok:funny),((((hyp OR hyp) OR hyp) OR pre) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR pre:tok) OR hyp:tok),0.1336206896551724,5,-0.12789793,-0.06355428,0.12373636
4,7,pre:tok:in,pre,pre:tok,0.0,1,-0.017232083,-0.0118125025,0.0006597078
4,8,(((((NOT pre:tok:for) AND hyp:tok:for) OR hyp:tok:tall) AND (NOT pre:tok:at)) OR hyp:tok:sister),(((((NOT pre) AND hyp) OR hyp) AND (NOT pre)) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND (NOT pre:tok)) OR hyp:tok),0.18216318785578747,7,-0.06336774,-0.09746876,0.15893587
4,9,pre:tok:in,pre,pre:tok,0.0,1,-0.015833614,0.0036869862,-0.023049906
4,10,pre:tok:in,pre,pre:tok,0.0,1,0.026105339,0.008309716,-0.005927887
4,11,pre:tok:in,pre,pre:tok,0.0,1,-0.039270308,0.0039053678,-0.08502867
4,12,pre:tok:in,pre,pre:tok,0.0,1,-0.17458904,0.01516899,-0.055562876
4,13,pre:tok:in,pre,pre:tok,0.0,1,0.00069109304,-0.022033479,-0.039120488
4,14,pre:tok:in,pre,pre:tok,0.0,1,0.015123305,0.0017837533,-0.029876685
4,15,((((NOT hyp:tok:is) AND (hyp:tok:sitting AND pre:tok:walking)) OR hyp:tok:carpet) AND (NOT pre:tok:on)),((((NOT hyp) AND (hyp AND pre)) OR hyp) AND (NOT pre)),((((NOT hyp:tok) AND (hyp:tok AND pre:tok)) OR hyp:tok) AND (NOT pre:tok)),0.17857142857142858,7,-0.07649261,-0.098805346,0.110435806
4,16,((((hyp:tok:outside OR hyp:tok:to) OR hyp:tok:for) OR hyp:tok:outdoors) OR hyp:tok:something),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.1523980277902286,5,0.00012446639,0.043634098,-0.066949524
4,17,(hyp:tok:low AND pre:tok:is),(hyp AND pre),(hyp:tok AND pre:tok),0.2,2,0.0092279995,-0.03837438,0.09640581
4,18,pre:tok:in,pre,pre:tok,0.0,1,-0.019470567,0.000523566,0.009931134
4,19,((((hyp:tok:skateboarder AND pre:tok:photographed) OR hyp:tok:pictured) OR hyp:tok:lemons) OR hyp:tok:barely),((((hyp AND pre) OR hyp) OR hyp) OR hyp),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.18518518518518517,5,-0.21973146,0.089913055,0.09436549
4,20,pre:tok:in,pre,pre:tok,0.0,1,-0.047685917,0.014887502,-0.0166224
4,21,pre:tok:in,pre,pre:tok,0.0,1,-0.16433024,0.02296563,-0.083784655
