unit,best_name,best_iou
6,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:to)) OR hyp:tok:eating) OR hyp:tok:alone),0.08277511961722488
8,((((hyp:tok:family OR hyp:tok:for) OR hyp:tok:friends) OR hyp:tok:about) OR pre:tok:cardboard),0.09989484752891693
12,(hyp:tok:uses AND pre:tok:on),0.5
15,((((hyp:tok:eating OR hyp:tok:sleeping) OR hyp:tok:games) AND (NOT pre:tok:while)) OR hyp:tok:chair),0.08465608465608465
16,((((oth:overlap:overlap50 OR pre:tok:girl) OR hyp:tok:there) OR pre:tok:front) AND (NOT pre:tok:black)),0.11080074487895716
17,((((hyp:tok:tv OR pre:tok:males) AND pre:tok:two) OR pre:tok:form) AND (NOT oth:overlap:overlap50)),0.14285714285714285
19,(((((NOT pre:tok:men) AND hyp:tok:men) AND (NOT pre:tok:man)) OR pre:tok:transportation) OR hyp:tok:catches),0.1125
21,(hyp:tok:tv AND pre:tok:young),0.3333333333333333
22,((((hyp:tok:roof OR hyp:tok:stay) OR hyp:tok:barely) AND (NOT pre:tok:man)) OR pre:tok:upset),0.175
28,((((hyp:tok:human OR hyp:tok:humans) OR pre:tok:south) OR pre:tok:help) OR hyp:tok:groups),0.09871244635193133
31,(hyp:tok:gymnasium AND pre:tok:on),0.5
35,(hyp:tok:couch AND pre:tok:little),1.0
37,((((hyp:tok:human OR pre:tok:items) OR hyp:tok:church) OR pre:tok:chopping) OR hyp:tok:stadium),0.09473684210526316
38,(hyp:tok:themselves AND pre:tok:dogs),0.5
39,((((NOT pre:tok:-) AND (hyp:tok:nobody AND pre:tok:on)) AND (NOT pre:tok:front)) AND (NOT oth:overlap:overlap25)),0.375
40,(((hyp:tok:in AND pre:tok:dancer) OR hyp:tok:clock) AND (NOT pre:tok:in)),0.3333333333333333
41,((((hyp:tok:corner OR hyp:tok:race) AND hyp:tok:for) OR hyp:tok:scarves) OR hyp:tok:pots),0.1111111111111111
45,((((hyp:tok:juggling OR hyp:tok:ocean) OR hyp:tok:enjoy) OR hyp:tok:steering) OR hyp:tok:fallen),0.07894736842105263
50,(hyp:tok:control AND pre:tok:person),0.3333333333333333
52,((((hyp:tok:cat OR pre:tok:chewing) OR hyp:tok:apron) OR pre:tok:pauses) OR pre:tok:telling),0.109375
59,((((hyp:tok:lighting OR hyp:tok:speech) AND pre:tok:shirt) OR hyp:tok:napping) AND oth:overlap:overlap25),0.2
61,((((hyp:tok:hooded OR pre:tok:goods) OR hyp:tok:suburban) OR hyp:tok:clock) AND (NOT pre:tok:at)),0.15151515151515152
63,((((hyp:tok:cooking AND pre:tok:kitchen) AND hyp:tok:is) OR hyp:tok:shaving) AND (NOT pre:tok:on)),0.4
65,((((hyp:tok:bike AND hyp:tok:riding) OR pre:tok:checkered) OR hyp:tok:rows) OR pre:tok:sledgehammer),0.09375
67,(hyp:tok:tired AND pre:tok:lamp),1.0
70,((((NOT oth:overlap:overlap25) AND (hyp:tok:and OR hyp:tok:sitting)) OR hyp:tok:laying) OR hyp:tok:day),0.06635802469135803
71,((((pre:tok:man OR pre:tok:shirt) OR hyp:tok:man) AND (NOT hyp:tok:to)) OR pre:tok:something),0.08543117300482057
72,(hyp:tok:lying AND pre:tok:black),1.0
76,((((hyp:tok:swimming AND pre:tok:in) AND pre:tok:man) OR hyp:tok:polo) AND (NOT hyp:tok:at)),0.3333333333333333
77,((((hyp:tok:outdoors AND pre:tok:wall) OR hyp:tok:lamp) OR hyp:tok:rack) OR pre:tok:speech),0.1282051282051282
83,((((pre:tok:can AND pre:tok:holds) OR hyp:tok:fabric) OR pre:tok:sofa) OR hyp:tok:hug),0.11627906976744186
85,(hyp:tok:at AND pre:tok:hammer),0.5
86,((NOT hyp:tok:is) AND hyp:tok:international),0.5
87,((((hyp:tok:sweatshirt OR pre:tok:cook) OR hyp:tok:indoor) AND (NOT oth:overlap:overlap25)) OR hyp:tok:goods),0.12903225806451613
89,(((((NOT oth:overlap:overlap25) AND pre:tok:in) OR hyp:tok:for) OR hyp:tok:eating) OR hyp:tok:he),0.09302325581395349
91,(hyp:tok:home AND pre:tok:singer),0.5
92,(((NOT pre:tok:on) AND (hyp:tok:soccer AND pre:tok:play)) AND (NOT hyp:tok:in)),0.4
98,((((NOT pre:tok:sitting) AND (hyp:tok:driving OR hyp:tok:sitting)) AND (NOT pre:tok:is)) OR hyp:tok:pack),0.06320541760722348
99,((((oth:overlap:overlap75 OR pre:tok:ladder) AND pre:tok:in) AND (NOT hyp:tok:is)) OR pre:tok:painting),0.061514195583596214
101,(hyp:tok:two AND pre:tok:station),1.0
106,((((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:eats) AND (NOT pre:tok:woman)) AND (NOT oth:overlap:overlap50)),0.09803921568627451
109,(hyp:tok:religious AND hyp:tok:to),0.3333333333333333
113,((((hyp:tok:tired OR pre:tok:pipes) AND pre:tok:man) OR pre:tok:raining) OR pre:tok:photographs),0.13333333333333333
128,(((((NOT oth:overlap:overlap50) AND pre:tok:on) OR hyp:tok:shirt) AND (NOT pre:tok:and)) OR pre:tok:three),0.07129714811407543
129,((((hyp:tok:eating OR hyp:tok:sleeping) OR hyp:tok:sleep) AND (NOT pre:tok:woman)) OR hyp:tok:tea),0.10689655172413794
