,unit,sim
0,515,0.0
1,6,0.0
2,524,0.0
3,15,0.0
4,16,0.0
5,527,0.0
6,528,0.0
7,19,0.0
8,533,0.1111111111111111
9,22,0.0
10,537,0.0
11,549,0.0
12,553,0.0
13,45,0.0
14,557,0.0
15,575,0.0
16,65,0.0
17,577,0.0
18,70,0.0
19,71,0.0
20,584,0.0
21,604,0.0
22,606,0.0
23,99,0.0
24,615,0.0
25,618,0.0
26,619,0.0
27,620,0.0
28,623,0.0
29,636,0.0
30,128,0.1111111111111111
31,129,0.0
32,640,0.0
33,133,0.1111111111111111
34,134,0.0
35,137,0.0
36,140,0.0
37,157,0.1111111111111111
38,672,0.0
39,163,0.0
40,676,0.0
41,173,0.0
42,691,0.0
43,699,0.0
44,703,0.0
45,197,0.0
46,204,0.0
47,213,0.0
48,725,0.0
49,729,0.0
50,738,0.0
51,741,0.0
52,742,0.0
53,231,0.0
54,234,0.0
55,238,0.0
56,248,0.0
57,765,0.0
58,253,0.0
59,254,0.0
60,257,0.1111111111111111
61,261,0.0
62,773,0.0
63,775,0.0
64,782,0.1111111111111111
65,793,0.0
66,283,0.0
67,284,0.0
68,796,0.0
69,798,0.0
70,292,0.0
71,294,0.0
72,813,0.0
73,302,0.0
74,821,0.0
75,316,0.0
76,833,0.0
77,328,0.0
78,858,0.0
79,859,0.0
80,864,0.0
81,865,0.0
82,870,0.0
83,362,0.0
84,885,0.0
85,377,0.0
86,380,0.0
87,382,0.0
88,385,0.0
89,386,0.0
90,390,0.0
91,905,0.0
92,908,0.0
93,399,0.0
94,400,0.0
95,410,0.0
96,924,0.0
97,413,0.0
98,416,0.1111111111111111
99,932,0.0
100,939,0.0
101,429,0.0
102,941,0.0
103,436,0.0
104,959,0.0
105,963,0.0
106,454,0.0
107,457,0.0
108,458,0.0
109,970,0.0
110,463,0.0
111,980,0.0
112,982,0.0
113,983,0.0
114,473,0.0
115,990,0.0
116,480,0.0
117,483,0.0
118,487,0.0
119,1000,0.0
120,491,0.0
121,495,0.0
122,1007,0.0
123,497,0.0
124,498,0.0
125,501,0.0
126,502,0.0
127,506,0.0
128,1020,0.0
129,1021,0.0
130,1023,0.0
