unit,best_name,best_iou
1,pre:tok:in,0.0
2,pre:tok:in,0.0
3,pre:tok:in,0.0
4,pre:tok:in,0.0
5,pre:tok:in,0.0
6,(((((NOT oth:overlap:overlap25) AND pre:tok:and) OR pre:tok:young) AND (NOT oth:overlap:overlap50)) OR hyp:tok:car),0.09384042992972302
7,pre:tok:in,0.0
8,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:mother) OR hyp:tok:sad),0.10487353485502776
9,pre:tok:in,0.0
10,pre:tok:in,0.0
11,pre:tok:in,0.0
12,(hyp:tok:sisters AND hyp:tok:women),0.4
13,pre:tok:in,0.0
14,pre:tok:in,0.0
15,((((hyp:tok:eat OR hyp:tok:eating) OR hyp:tok:sleeps) OR hyp:tok:nap) OR hyp:tok:jackets),0.0881542699724518
16,((((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:there) OR hyp:tok:for) OR hyp:tok:person),0.1289134438305709
17,((((hyp:tok:tv OR pre:tok:teen) OR hyp:tok:sandwiches) OR pre:tok:easter) OR hyp:tok:you),0.11594202898550725
18,pre:tok:in,0.0
19,(((((NOT pre:tok:men) AND hyp:tok:men) AND (NOT pre:tok:man)) OR pre:tok:handling) OR pre:tok:chef),0.10112359550561797
20,pre:tok:in,0.0
21,(((hyp:tok:blouse AND pre:tok:with) OR hyp:tok:spring) AND pre:tok:on),0.5
22,((((NOT pre:tok:and) AND (hyp:tok:roof OR pre:tok:brunette)) OR hyp:tok:boards) AND (NOT hyp:tok:on)),0.11363636363636363
23,pre:tok:in,0.0
24,pre:tok:in,0.0
25,pre:tok:in,0.0
26,pre:tok:in,0.0
27,pre:tok:in,0.0
28,((((NOT hyp:tok:is) AND (hyp:tok:humans OR hyp:tok:outside)) OR hyp:tok:human) AND (NOT pre:tok:boy)),0.09319899244332494
29,pre:tok:in,0.0
30,pre:tok:in,0.0
31,(hyp:tok:sing AND pre:tok:wearing),1.0
32,pre:tok:in,0.0
33,pre:tok:in,0.0
34,pre:tok:in,0.0
35,(hyp:tok:couch AND pre:tok:little),1.0
36,pre:tok:in,0.0
37,((((hyp:tok:human OR hyp:tok:humans) OR hyp:tok:helmet) OR pre:tok:string) OR pre:tok:sheer),0.1
38,(hyp:tok:on AND pre:tok:shepherd),1.0
39,((((NOT pre:tok:are) AND (hyp:tok:nobody AND pre:tok:and)) AND (NOT pre:tok:his)) AND (NOT pre:tok:girl)),0.28
40,(((((NOT pre:tok:in) AND hyp:tok:clock) OR hyp:tok:hiding) AND (NOT pre:tok:in)) AND (NOT pre:tok:with)),0.4
41,((((hyp:tok:after OR hyp:tok:lake) AND oth:overlap:overlap75) OR hyp:tok:curly) OR hyp:tok:books),0.14285714285714285
42,pre:tok:in,0.0
43,pre:tok:in,0.0
44,pre:tok:in,0.0
45,((((hyp:tok:eats OR hyp:tok:pig) OR hyp:tok:crime) OR pre:tok:skinned) OR hyp:tok:everyone),0.06936416184971098
46,pre:tok:in,0.0
47,pre:tok:in,0.0
48,pre:tok:in,0.0
49,pre:tok:in,0.0
