unit,best_name,best_iou
1,pre:tok:in,0.0
2,pre:tok:in,0.0
3,pre:tok:in,0.0
4,pre:tok:in,0.0
5,pre:tok:in,0.0
6,((((hyp:tok:are OR pre:tok:him) AND oth:overlap:overlap25) OR pre:tok:row) AND (NOT oth:overlap:overlap50)),0.0545308740978348
7,pre:tok:in,0.0
8,((((oth:overlap:overlap50 AND pre:tok:with) OR pre:tok:take) AND (NOT hyp:tok:with)) OR hyp:tok:clown),0.04923599320882852
9,pre:tok:in,0.0
10,pre:tok:in,0.0
11,pre:tok:in,0.0
12,(hyp:tok:cute AND pre:tok:in),0.3333333333333333
13,pre:tok:in,0.0
14,pre:tok:in,0.0
15,((((NOT oth:overlap:overlap25) AND (hyp:tok:them OR pre:tok:suits)) OR hyp:tok:brushes) OR hyp:tok:barbecue),0.062146892655367235
16,((((NOT pre:tok:is) AND (hyp:tok:is OR hyp:tok:standing)) OR hyp:tok:playing) OR pre:tok:from),0.0719562243502052
17,((((hyp:tok:bird OR hyp:tok:blowing) OR pre:tok:leash) AND (NOT pre:tok:holding)) OR pre:tok:warm),0.1111111111111111
18,pre:tok:in,0.0
19,((((hyp:tok:computer OR hyp:tok:throws) OR hyp:tok:information) OR hyp:tok:cool) OR pre:tok:least),0.08860759493670886
20,pre:tok:in,0.0
21,(hyp:tok:statue AND hyp:tok:two),0.5
22,((((hyp:tok:lined OR hyp:tok:pictured) OR hyp:tok:slacks) OR hyp:tok:turning) AND (NOT pre:tok:white)),0.11428571428571428
23,pre:tok:in,0.0
24,pre:tok:in,0.0
25,pre:tok:in,0.0
26,pre:tok:in,0.0
27,pre:tok:in,0.0
28,((((hyp:tok:walk OR pre:tok:windows) OR hyp:tok:five) OR hyp:tok:sing) OR pre:tok:competitive),0.06493506493506493
29,pre:tok:in,0.0
30,pre:tok:in,0.0
31,(hyp:tok:man AND pre:tok:arcade),0.3333333333333333
32,pre:tok:in,0.0
33,pre:tok:in,0.0
34,pre:tok:in,0.0
35,pre:tok:in,0.0
36,pre:tok:in,0.0
37,((((pre:tok:wooded OR pre:tok:written) OR hyp:tok:poster) OR pre:tok:mask) OR hyp:tok:stairs),0.06962025316455696
38,(hyp:tok:celebrating AND pre:tok:group),0.3333333333333333
39,((((hyp:tok:purchase OR pre:tok:office) AND pre:tok:people) OR pre:tok:puppies) AND (NOT pre:tok:on)),0.23076923076923078
40,((((hyp:tok:groom OR hyp:tok:tiny) AND hyp:tok:her) OR hyp:tok:ritual) AND (NOT pre:tok:one)),0.42857142857142855
41,((((pre:tok:camouflage OR pre:tok:sheep) OR hyp:tok:plates) OR hyp:tok:identical) OR hyp:tok:chicken),0.13636363636363635
42,pre:tok:in,0.0
43,pre:tok:in,0.0
44,pre:tok:in,0.0
45,((((hyp:tok:leash OR pre:tok:snow) OR pre:tok:sunset) AND (NOT hyp:tok:in)) OR hyp:tok:blowing),0.058823529411764705
46,pre:tok:in,0.0
47,pre:tok:in,0.0
48,pre:tok:in,0.0
49,pre:tok:in,0.0
50,(hyp:tok:raising AND pre:tok:young),0.25
51,pre:tok:in,0.0
