unit,best_name,best_iou
6,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR pre:tok:stage) OR pre:tok:trick) OR hyp:tok:home),0.08167770419426049
8,((((NOT oth:overlap:overlap75) AND (hyp:tok:for OR hyp:tok:to)) AND (NOT pre:tok:while)) OR hyp:tok:friends),0.10646687697160884
12,(hyp:tok:tourists AND pre:tok:and),0.5
15,((((hyp:tok:driving OR hyp:tok:sleeping) OR hyp:tok:santa) OR pre:tok:steering) OR hyp:tok:gun),0.09036144578313253
16,((((hyp:tok:person OR oth:overlap:overlap50) OR hyp:tok:to) OR hyp:tok:some) AND (NOT hyp:tok:wearing)),0.10941893158388004
17,((((hyp:tok:young AND pre:tok:older) OR pre:tok:church) OR pre:tok:teen) OR hyp:tok:low),0.13793103448275862
19,((((NOT pre:tok:with) AND (pre:tok:faces OR pre:tok:transportation)) OR pre:tok:no) OR hyp:tok:includes),0.10588235294117647
21,(hyp:tok:watching AND pre:tok:chases),0.5
22,((((hyp:tok:kitchen AND pre:tok:women) OR hyp:tok:tan) OR hyp:tok:kabobs) OR hyp:tok:maintenance),0.125
28,((((hyp:tok:human OR hyp:tok:outside) OR pre:tok:sports) AND (NOT hyp:tok:is)) AND (NOT oth:overlap:overlap75)),0.0868421052631579
31,(hyp:tok:sing AND pre:tok:on),0.5
35,(hyp:tok:couch AND pre:tok:little),1.0
37,((((hyp:tok:human OR hyp:tok:humans) OR pre:tok:soda) OR pre:tok:string) AND (NOT pre:tok:on)),0.09433962264150944
38,(hyp:tok:on AND pre:tok:shepherd),0.5
39,((((NOT pre:tok:with) AND (hyp:tok:nobody AND pre:tok:and)) AND (NOT pre:tok:-)) AND (NOT pre:tok:sitting)),0.42105263157894735
40,(((((NOT pre:tok:in) AND hyp:tok:clock) OR hyp:tok:hiding) AND (NOT pre:tok:in)) AND (NOT pre:tok:on)),0.4
41,((((hyp:tok:curly OR hyp:tok:direction) OR hyp:tok:aisle) OR hyp:tok:block) OR hyp:tok:speed),0.17142857142857143
45,((((hyp:tok:football OR hyp:tok:roller) OR hyp:tok:crime) AND (NOT pre:tok:football)) OR pre:tok:desks),0.07913669064748201
50,(hyp:tok:control AND pre:tok:person),0.3333333333333333
52,((((hyp:tok:piano OR pre:tok:checks) OR pre:tok:crafts) OR pre:tok:placing) OR hyp:tok:cheerleading),0.10714285714285714
59,((((hyp:tok:summer AND pre:tok:group) OR hyp:tok:pipes) AND pre:tok:in) OR hyp:tok:steering),0.36363636363636365
61,((((hyp:tok:middle AND hyp:tok:swimming) OR hyp:tok:hooded) OR hyp:tok:rowboat) OR hyp:tok:tools),0.16666666666666666
63,(hyp:tok:shaving AND pre:tok:man),0.25
65,((((hyp:tok:bicycle OR hyp:tok:step) OR pre:tok:wrestling) OR pre:tok:sledgehammer) OR hyp:tok:nice),0.08843537414965986
67,(hyp:tok:tired AND pre:tok:men),0.5
70,((((hyp:tok:chair OR hyp:tok:sleeping) OR hyp:tok:sleep) OR hyp:tok:laying) OR hyp:tok:naked),0.08366533864541832
71,((((NOT pre:tok:in) AND (oth:overlap:overlap25 OR pre:tok:man)) OR pre:tok:children) OR pre:tok:another),0.08827846508702034
72,(hyp:tok:carrying AND hyp:tok:stick),1.0
76,(((((NOT pre:tok:on) AND hyp:tok:swimming) AND (NOT pre:tok:in)) AND (NOT pre:tok:is)) AND (NOT pre:tok:two)),0.2916666666666667
77,((((hyp:tok:groom OR hyp:tok:toothbrush) OR pre:tok:song) OR pre:tok:caught) AND (NOT hyp:tok:is)),0.13333333333333333
83,((((hyp:tok:hug OR hyp:tok:tan) OR pre:tok:knitting) AND oth:overlap:overlap50) OR pre:tok:owner),0.12903225806451613
