unit,best_name,best_iou
1,((((hyp:tok:sand OR hyp:tok:sleeping) OR hyp:tok:puzzle) AND (NOT hyp:tok:on)) OR hyp:tok:signs),0.08502024291497975
2,((((hyp:tok:smiling OR pre:tok:them) OR pre:tok:stairs) OR pre:tok:stuffed) OR pre:tok:buggy),0.05970149253731343
3,((((hyp:tok:for OR hyp:tok:to) OR pre:tok:pink) OR hyp:tok:out) OR hyp:tok:taking),0.14043783560512185
4,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:in)) OR hyp:tok:sleeping) OR hyp:tok:swimming),0.11301259283177269
5,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in)) OR pre:tok:people) OR hyp:tok:for),0.15119105493437043
6,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:with) OR hyp:tok:couple) OR hyp:tok:from),0.13165680473372782
7,((((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) AND (NOT pre:tok:for)) OR pre:tok:bed),0.11522633744855967
8,((((hyp:tok:for OR hyp:tok:they) OR hyp:tok:shopping) OR hyp:tok:what) OR hyp:tok:winning),0.07407407407407407
9,((((hyp:tok:smiling OR hyp:tok:water) OR hyp:tok:store) OR hyp:tok:instrument) OR pre:tok:metal),0.08121019108280254
10,((((hyp:tok:for OR hyp:tok:to) OR pre:tok:women) OR hyp:tok:friends) OR hyp:tok:he),0.16685584562996594
11,((((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:asleep) OR pre:tok:chairs) OR pre:tok:wizard),0.08525345622119816
12,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:he) OR pre:tok:day),0.13810623556581986
13,(((((NOT hyp:tok:to) AND hyp:tok:is) OR hyp:tok:their) AND (NOT hyp:tok:for)) AND (NOT hyp:tok:on)),0.09905921416712783
14,((((hyp:tok:dinner OR hyp:tok:sleeping) OR pre:tok:pipe) OR pre:tok:chain) OR pre:tok:curb),0.093841642228739
15,((((oth:overlap:overlap25 OR pre:tok:and) OR pre:tok:with) AND (NOT hyp:tok:to)) AND (NOT hyp:tok:her)),0.16798469387755102
16,((((hyp:tok:people OR hyp:tok:to) OR hyp:tok:outside) OR hyp:tok:their) OR hyp:tok:outdoors),0.10027662517289074
17,(((((NOT oth:overlap:overlap50) AND hyp:tok:in) OR hyp:tok:sleeping) OR hyp:tok:sitting) OR hyp:tok:nobody),0.10155077538769385
18,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:from) OR hyp:tok:day),0.20254169976171565
19,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:nobody)) OR hyp:tok:sleeping) OR pre:tok:ground),0.09983633387888707
20,((((hyp:tok:at OR hyp:tok:to) OR hyp:tok:by) AND (NOT oth:overlap:overlap75)) OR hyp:tok:eating),0.08866995073891626
21,((((hyp:tok:at OR pre:tok:playing) OR hyp:tok:her) OR hyp:tok:their) OR pre:tok:gathered),0.11202635914332784
22,((((hyp:tok:are OR hyp:tok:is) OR hyp:tok:to) AND (NOT hyp:tok:sitting)) AND (NOT oth:overlap:overlap75)),0.1107278371852363
23,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:in)) OR hyp:tok:park) AND (NOT hyp:tok:his)),0.07665903890160183
24,((((hyp:tok:to OR oth:overlap:overlap25) OR pre:tok:-) AND (NOT hyp:tok:sitting)) OR hyp:tok:for),0.1354899837574445
25,((((NOT hyp:tok:sitting) AND (oth:overlap:overlap25 OR pre:tok:on)) OR hyp:tok:to) AND (NOT hyp:tok:playing)),0.1553398058252427
26,((((NOT hyp:tok:his) AND (hyp:tok:there OR oth:overlap:overlap50)) OR hyp:tok:another) OR hyp:tok:bike),0.14252153484729835
27,(((((NOT hyp:tok:in) AND oth:overlap:overlap25) OR hyp:tok:are) AND (NOT hyp:tok:at)) AND (NOT pre:tok:white)),0.14422912021951637
28,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:sitting)) OR hyp:tok:sleeping) OR hyp:tok:nobody),0.10354223433242507
29,((((hyp:tok:is OR hyp:tok:to) OR hyp:tok:for) OR pre:tok:to) AND (NOT hyp:tok:outside)),0.15356521739130435
30,((((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:over) OR hyp:tok:cake) OR pre:tok:take),0.08492569002123142
31,((((hyp:tok:nobody OR hyp:tok:playing) OR hyp:tok:indoors) OR hyp:tok:asian) OR hyp:tok:cutting),0.06455266138165346
32,((((hyp:tok:his OR hyp:tok:in) OR hyp:tok:at) OR hyp:tok:from) OR hyp:tok:eating),0.13529563645752646
33,((((hyp:tok:violin OR pre:tok:feet) AND hyp:tok:is) OR hyp:tok:vests) OR hyp:tok:belt),0.11428571428571428
34,((((hyp:tok:at OR hyp:tok:is) OR hyp:tok:for) OR hyp:tok:her) AND (NOT hyp:tok:there)),0.07105891719745223
35,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:and)) OR hyp:tok:pool) AND (NOT hyp:tok:outside)),0.10870027653690705
36,((((oth:overlap:overlap25 OR pre:tok:in) OR pre:tok:around) AND (NOT hyp:tok:sleeping)) AND (NOT hyp:tok:children)),0.15921754593953763
37,((((hyp:tok:sleeping OR hyp:tok:swimming) OR pre:tok:tub) OR pre:tok:traffic) OR pre:tok:starts),0.0903954802259887
38,((((NOT hyp:tok:in) AND (hyp:tok:are OR hyp:tok:is)) AND (NOT hyp:tok:on)) AND (NOT hyp:tok:playing)),0.09328782707622298
39,((((hyp:tok:outside OR oth:overlap:overlap75) OR hyp:tok:there) OR hyp:tok:outdoors) OR hyp:tok:people),0.16940339354132458
40,((((NOT pre:tok:in) AND (pre:tok:teeth OR pre:tok:white)) AND (NOT hyp:tok:man)) OR hyp:tok:professional),0.06573705179282868
