unit,best_name,best_iou
1,pre:tok:in,0.0
2,pre:tok:in,0.0
3,pre:tok:in,0.0
4,pre:tok:in,0.0
5,pre:tok:in,0.0
6,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR hyp:tok:they)) OR hyp:tok:tall) AND (NOT pre:tok:small)),0.12559241706161137
7,pre:tok:in,0.0
8,((((hyp:tok:after OR hyp:tok:for) OR hyp:tok:tall) OR hyp:tok:before) AND (NOT pre:tok:for)),0.15531660692951016
9,pre:tok:in,0.0
10,pre:tok:in,0.0
11,pre:tok:in,0.0
12,pre:tok:in,0.0
13,pre:tok:in,0.0
14,pre:tok:in,0.0
15,((((hyp:tok:cat OR hyp:tok:sitting) OR hyp:tok:sits) AND (NOT pre:tok:sits)) AND (NOT oth:overlap:overlap75)),0.16666666666666666
16,((((NOT hyp:tok:black) AND (oth:overlap:overlap25 OR pre:tok:and)) OR hyp:tok:to) AND (NOT hyp:tok:sitting)),0.18268991282689911
17,((((hyp:tok:low OR pre:tok:form) OR hyp:tok:brushes) AND (NOT oth:overlap:overlap25)) AND (NOT hyp:tok:is)),0.19047619047619047
18,pre:tok:in,0.0
19,((((hyp:tok:male OR pre:tok:arts) AND pre:tok:two) OR hyp:tok:microscope) OR hyp:tok:buddhist),0.09278350515463918
20,pre:tok:in,0.0
21,pre:tok:in,0.0
22,((((pre:tok:learning OR pre:tok:yarn) OR pre:tok:routine) OR hyp:tok:microscope) OR hyp:tok:camouflage),0.10714285714285714
23,pre:tok:in,0.0
24,pre:tok:in,0.0
25,pre:tok:in,0.0
26,pre:tok:in,0.0
27,pre:tok:in,0.0
28,((((hyp:tok:crossing OR hyp:tok:human) OR hyp:tok:this) AND (NOT hyp:tok:is)) OR pre:tok:harness),0.10317460317460317
29,pre:tok:in,0.0
30,pre:tok:in,0.0
31,pre:tok:in,0.0
32,pre:tok:in,0.0
33,pre:tok:in,0.0
34,pre:tok:in,0.0
35,pre:tok:in,0.0
36,pre:tok:in,0.0
37,((((pre:tok:n't OR pre:tok:tricks) OR pre:tok:poker) AND (NOT pre:tok:at)) OR pre:tok:crane),0.10638297872340426
38,((pre:tok:beside AND pre:tok:bicycle) AND hyp:tok:beach),1.0
39,((NOT pre:tok:to) AND (hyp:tok:nobody AND pre:tok:two)),0.5714285714285714
40,(hyp:tok:bathroom AND pre:tok:building),1.0
41,((((NOT pre:tok:in) AND (hyp:tok:championship OR hyp:tok:skate)) OR hyp:tok:aisle) AND (NOT pre:tok:wearing)),0.3076923076923077
42,pre:tok:in,0.0
43,pre:tok:in,0.0
44,pre:tok:in,0.0
45,((((hyp:tok:football OR hyp:tok:ocean) AND pre:tok:and) OR hyp:tok:juggling) OR pre:tok:dancers),0.10256410256410256
46,pre:tok:in,0.0
47,pre:tok:in,0.0
48,pre:tok:in,0.0
49,pre:tok:in,0.0
50,pre:tok:in,0.0
51,pre:tok:in,0.0
52,((((hyp:tok:cat AND hyp:tok:with) OR pre:tok:speed) AND hyp:tok:is) OR pre:tok:television),0.19230769230769232
53,pre:tok:in,0.0
54,pre:tok:in,0.0
