Model,Method,Iteration,Sparsity_%,Total_Baseline,Preserved,Lost,Preserved_%,Lost_%,Same_Neuron_Same_Cluster,Same_Neuron_Diff_Cluster,Diff_Neuron_Same_Cluster,Diff_Neuron_Diff_Cluster
BOWMAN,lottery_ticket,1,25.0,49.0,37.0,12.0,75.51020408163265,24.489795918367346,0.0,0.0,30.0,7.0
BOWMAN,lottery_ticket,2,43.75,49.0,32.0,17.0,65.3061224489796,34.69387755102041,0.0,0.0,22.0,10.0
BOWMAN,lottery_ticket,3,57.812,49.0,40.0,9.0,81.63265306122449,18.367346938775512,0.0,0.0,35.0,5.0
BOWMAN,lottery_ticket,4,68.359,49.0,34.0,15.0,69.38775510204081,30.612244897959183,0.0,0.0,29.0,5.0
BOWMAN,lottery_ticket,5,76.27,49.0,33.0,16.0,67.3469387755102,32.6530612244898,1.0,0.0,26.0,6.0
BOWMAN,wanda,1,25.0,49.0,42.0,7.0,85.71428571428571,14.285714285714285,32.0,4.0,3.0,3.0
BOWMAN,wanda,2,43.75,49.0,40.0,9.0,81.63265306122449,18.367346938775512,33.0,4.0,3.0,0.0
BOWMAN,wanda,3,57.812,49.0,36.0,13.0,73.46938775510205,26.53061224489796,27.0,4.0,4.0,1.0
BOWMAN,wanda,4,68.359,49.0,39.0,10.0,79.59183673469387,20.408163265306122,31.0,3.0,3.0,2.0
BOWMAN,wanda,5,76.27,49.0,37.0,12.0,75.51020408163265,24.489795918367346,26.0,3.0,6.0,2.0
