Cluster,Iteration,Comparison,Total_Concepts_Baseline,Total_Concepts_Current,New_Concepts,Pct_New,Stayed_Same,Pct_Stayed_Same,Moved_to_New,Pct_Moved,Disappeared
Cluster1,1,0→1,133,135,34,25.19%,31,22.96%,70,51.85%,32
Cluster1,2,0→2,133,132,29,21.97%,25,18.94%,78,59.09%,30
Cluster1,3,0→3,133,134,28,20.90%,27,20.15%,79,58.96%,27
Cluster1,4,0→4,133,143,36,25.17%,25,17.48%,82,57.34%,26
Cluster1,5,0→5,133,145,38,26.21%,24,16.55%,83,57.24%,26
Cluster2,1,0→1,196,204,50,24.51%,74,36.27%,80,39.22%,42
Cluster2,2,0→2,196,208,58,27.88%,66,31.73%,84,40.38%,46
Cluster2,3,0→3,196,219,67,30.59%,62,28.31%,90,41.10%,44
Cluster2,4,0→4,196,202,56,27.72%,59,29.21%,87,43.07%,50
Cluster2,5,0→5,196,215,63,29.30%,56,26.05%,96,44.65%,44
Cluster3,1,0→1,469,481,129,26.82%,200,41.58%,152,31.60%,117
Cluster3,2,0→2,469,497,138,27.77%,185,37.22%,174,35.01%,110
Cluster3,3,0→3,469,497,140,28.17%,178,35.81%,179,36.02%,112
Cluster3,4,0→4,469,469,132,28.14%,152,32.41%,185,39.45%,132
Cluster3,5,0→5,469,459,116,25.27%,146,31.81%,197,42.92%,126
