concept,0.0%,25.0%,43.75%,57.812%,68.359%,76.27%
"NOT hyp:tag:,",4,7,4,4,3,6
NOT hyp:tag::,0,0,1,0,0,0
NOT hyp:tag:cc,0,0,1,1,2,1
NOT hyp:tag:cd,0,1,0,0,0,0
NOT hyp:tag:ex,12,17,14,7,23,12
NOT hyp:tag:jj,1,3,0,5,1,0
NOT hyp:tag:jjr,1,0,0,0,0,0
NOT hyp:tag:md,0,0,1,0,0,3
NOT hyp:tag:nnp,13,24,24,20,15,23
NOT hyp:tag:pos,1,0,2,1,0,0
NOT hyp:tag:prp,9,7,11,8,11,8
NOT hyp:tag:prp$,11,13,21,18,19,20
NOT hyp:tag:rb,5,2,0,8,5,3
NOT hyp:tag:rp,1,0,1,2,1,0
NOT hyp:tag:vb,30,26,28,44,36,33
NOT hyp:tag:vbd,5,9,4,4,3,4
NOT hyp:tag:vbn,0,3,1,1,1,2
NOT hyp:tok:'s,2,1,0,0,0,2
NOT hyp:tok:-,1,0,1,0,1,1
NOT hyp:tok:about,1,2,1,3,1,1
NOT hyp:tok:after,1,1,0,0,0,3
NOT hyp:tok:all,1,1,0,0,1,0
NOT hyp:tok:alone,1,1,5,3,2,12
NOT hyp:tok:and,1,0,3,2,2,1
NOT hyp:tok:another,0,1,2,0,1,0
NOT hyp:tok:around,0,0,0,1,0,0
NOT hyp:tok:as,0,0,1,2,4,3
NOT hyp:tok:asian,0,1,0,0,1,0
NOT hyp:tok:asleep,2,2,3,3,0,2
NOT hyp:tok:at,8,9,4,10,6,8
NOT hyp:tok:baby,1,0,0,1,1,2
NOT hyp:tok:ball,5,6,5,4,4,8
NOT hyp:tok:band,1,0,2,0,2,0
NOT hyp:tok:baseball,0,0,2,0,0,2
NOT hyp:tok:basketball,2,2,4,2,3,4
NOT hyp:tok:beach,8,14,15,12,14,10
NOT hyp:tok:because,0,0,0,0,0,1
NOT hyp:tok:bed,1,0,0,0,0,0
NOT hyp:tok:being,0,0,1,1,0,0
NOT hyp:tok:bench,0,3,0,1,0,0
NOT hyp:tok:bike,16,23,11,16,13,10
NOT hyp:tok:bikes,0,0,0,1,0,0
NOT hyp:tok:black,41,39,34,35,27,32
NOT hyp:tok:blue,21,21,19,25,22,16
NOT hyp:tok:boat,2,2,2,2,1,1
