concept,0.0%,25.0%,43.75%,57.812%,68.359%,76.27%
NOT hyp:tag:.,0,1,0,0,0,0
NOT hyp:tag:cc,6,3,0,5,0,3
NOT hyp:tag:cd,2,4,4,5,7,7
NOT hyp:tag:in,40,30,38,43,32,57
NOT hyp:tag:jj,16,23,25,31,36,29
NOT hyp:tag:md,0,0,0,1,0,0
NOT hyp:tag:nn,0,2,1,0,0,0
NOT hyp:tag:nnp,0,0,2,0,0,0
NOT hyp:tag:nns,2,3,1,1,1,2
NOT hyp:tag:prp,0,4,0,0,1,0
NOT hyp:tag:prp$,34,40,31,37,47,39
NOT hyp:tag:rb,19,16,18,23,27,38
NOT hyp:tag:rp,0,0,1,0,0,0
NOT hyp:tag:vb,17,6,8,11,9,10
NOT hyp:tag:vbg,30,13,22,27,21,28
NOT hyp:tag:vbn,0,0,1,0,2,0
NOT hyp:tag:vbp,5,2,2,5,4,2
NOT hyp:tok:and,1,1,0,0,1,1
NOT hyp:tok:are,2,1,1,1,1,1
NOT hyp:tok:at,1,5,6,2,2,1
NOT hyp:tok:beach,0,1,1,1,1,0
NOT hyp:tok:bike,0,1,0,0,0,0
NOT hyp:tok:black,2,0,0,1,0,1
NOT hyp:tok:blue,0,0,0,1,0,0
NOT hyp:tok:boy,1,3,5,4,5,5
NOT hyp:tok:building,0,0,0,0,0,1
NOT hyp:tok:car,1,0,0,0,0,0
NOT hyp:tok:child,0,0,0,0,1,0
NOT hyp:tok:dog,1,0,0,2,1,0
NOT hyp:tok:eating,0,1,0,0,0,0
NOT hyp:tok:for,4,3,0,3,1,6
NOT hyp:tok:girl,3,4,3,3,5,6
NOT hyp:tok:group,0,0,1,0,0,0
NOT hyp:tok:her,4,2,3,0,1,1
NOT hyp:tok:his,0,3,3,6,2,2
NOT hyp:tok:in,4,9,8,8,3,12
NOT hyp:tok:is,0,1,0,0,1,0
NOT hyp:tok:looking,0,0,1,0,0,1
NOT hyp:tok:man,32,31,31,37,45,49
NOT hyp:tok:men,4,4,5,5,3,7
NOT hyp:tok:next,2,2,7,6,2,0
NOT hyp:tok:on,7,4,6,4,8,2
NOT hyp:tok:outside,7,13,5,13,7,13
NOT hyp:tok:people,4,5,6,3,5,9
NOT hyp:tok:person,0,1,2,0,1,1
NOT hyp:tok:playing,9,13,10,10,6,10
NOT hyp:tok:race,0,0,1,0,0,0
NOT hyp:tok:red,1,0,0,0,1,0
NOT hyp:tok:riding,0,0,0,0,0,1
NOT hyp:tok:running,0,0,1,3,4,0
NOT hyp:tok:sitting,9,13,7,14,5,12
NOT hyp:tok:standing,5,0,2,1,3,4
NOT hyp:tok:street,0,3,1,1,0,0
NOT hyp:tok:their,1,2,0,2,1,0
NOT hyp:tok:to,24,19,14,19,16,33
NOT hyp:tok:two,0,0,0,0,0,1
NOT hyp:tok:waiting,2,2,3,3,1,1
NOT hyp:tok:walking,5,7,4,4,0,0
NOT hyp:tok:water,0,2,0,2,1,1
NOT hyp:tok:wearing,2,2,3,1,4,1
NOT hyp:tok:with,0,0,0,1,0,0
NOT hyp:tok:woman,10,12,23,19,12,16
NOT hyp:tok:women,0,2,0,0,1,1
NOT hyp:tok:young,3,1,1,1,1,1
NOT oth:overlap:overlap25,26,41,40,35,24,45
NOT oth:overlap:overlap50,51,52,54,59,51,67
NOT oth:overlap:overlap75,26,21,27,38,31,28
"NOT pre:tag:,",0,1,2,2,3,3
NOT pre:tag::,0,1,0,0,0,0
NOT pre:tag:cc,4,4,2,3,7,3
NOT pre:tag:cd,1,2,2,2,3,1
NOT pre:tag:in,0,0,0,1,0,0
NOT pre:tag:jj,20,15,17,27,20,17
NOT pre:tag:nnp,1,3,3,2,3,3
NOT pre:tag:nns,0,1,0,0,2,0
NOT pre:tag:prp,0,0,1,2,3,0
NOT pre:tag:prp$,12,18,13,15,17,19
NOT pre:tag:rb,1,0,1,3,0,1
NOT pre:tag:to,1,3,0,1,0,0
NOT pre:tag:vb,8,7,9,5,11,6
NOT pre:tag:vbn,0,2,2,3,1,3
NOT pre:tag:vbp,3,0,2,1,2,4
NOT pre:tag:vbz,2,2,1,3,0,1
NOT pre:tok:and,4,2,3,2,5,4
NOT pre:tok:another,0,1,0,0,0,0
NOT pre:tok:are,0,1,0,0,0,0
NOT pre:tok:as,0,0,1,1,0,0
NOT pre:tok:at,7,7,11,11,7,8
NOT pre:tok:ball,0,0,1,0,0,0
