concept,0.0%,25.0%,43.75%,57.812%,68.359%,76.27%
NOT hyp:tag:cc,2,1,2,2,3,3
NOT hyp:tag:cd,3,3,3,1,3,3
NOT hyp:tag:ex,18,10,12,4,12,8
NOT hyp:tag:in,13,21,23,23,15,13
NOT hyp:tag:jj,37,32,28,52,39,35
NOT hyp:tag:nnp,5,9,4,4,4,9
NOT hyp:tag:prp,8,4,3,6,9,10
NOT hyp:tag:prp$,46,71,76,74,88,69
NOT hyp:tag:rb,23,29,20,44,55,40
NOT hyp:tag:vb,70,49,51,57,54,68
NOT hyp:tag:vbd,0,1,1,0,2,1
NOT hyp:tag:vbg,5,6,7,2,10,12
NOT hyp:tag:vbn,10,5,7,6,11,10
NOT hyp:tok:and,1,1,2,1,2,3
NOT hyp:tok:another,0,1,0,0,0,0
NOT hyp:tok:around,0,0,0,0,0,1
NOT hyp:tok:at,13,17,20,17,18,21
NOT hyp:tok:bike,0,0,1,2,1,3
NOT hyp:tok:black,4,6,5,9,5,7
NOT hyp:tok:blue,1,0,0,0,1,1
NOT hyp:tok:boy,22,24,29,29,23,24
NOT hyp:tok:by,0,0,0,1,1,0
NOT hyp:tok:car,0,2,1,1,2,0
NOT hyp:tok:child,0,0,2,2,2,1
NOT hyp:tok:children,0,0,0,1,0,0
NOT hyp:tok:crowd,1,1,0,0,0,0
NOT hyp:tok:dog,11,12,13,14,18,14
NOT hyp:tok:dogs,0,0,1,0,0,0
NOT hyp:tok:doing,1,0,0,0,0,0
NOT hyp:tok:down,0,1,1,1,0,0
NOT hyp:tok:eating,4,3,2,3,0,4
NOT hyp:tok:food,0,0,1,0,0,0
NOT hyp:tok:for,88,79,63,87,81,98
NOT hyp:tok:friends,0,0,0,0,1,0
NOT hyp:tok:game,1,1,0,0,0,0
NOT hyp:tok:girl,15,16,21,18,10,18
NOT hyp:tok:girls,0,0,1,0,1,1
NOT hyp:tok:group,0,1,1,1,4,1
NOT hyp:tok:has,6,3,13,8,9,9
NOT hyp:tok:her,7,4,4,3,3,3
NOT hyp:tok:his,13,8,8,6,6,13
NOT hyp:tok:holding,2,0,2,0,1,0
NOT hyp:tok:in,15,16,16,6,7,11
NOT hyp:tok:inside,1,1,0,2,0,1
NOT hyp:tok:kids,0,0,0,1,0,0
NOT hyp:tok:looking,0,0,0,2,2,1
NOT hyp:tok:man,82,56,65,68,62,73
NOT hyp:tok:men,43,31,47,42,43,52
NOT hyp:tok:near,1,0,4,2,8,4
NOT hyp:tok:next,0,4,0,0,1,2
NOT hyp:tok:not,1,0,0,0,1,1
NOT hyp:tok:old,0,1,0,0,1,0
NOT hyp:tok:on,14,14,8,5,3,10
NOT hyp:tok:other,0,0,0,1,0,0
NOT hyp:tok:outdoors,2,3,3,3,5,1
NOT hyp:tok:outside,128,158,145,142,174,151
NOT hyp:tok:park,3,0,0,1,3,1
NOT hyp:tok:people,49,46,40,35,45,43
NOT hyp:tok:person,23,28,15,29,34,15
NOT hyp:tok:playing,51,50,52,52,48,48
NOT hyp:tok:race,2,0,0,0,1,2
NOT hyp:tok:red,1,0,1,1,1,2
NOT hyp:tok:riding,6,3,1,1,1,2
NOT hyp:tok:running,10,5,9,10,12,6
NOT hyp:tok:shirt,0,1,1,0,0,0
NOT hyp:tok:sits,0,1,0,0,0,0
NOT hyp:tok:sitting,86,87,74,88,77,83
NOT hyp:tok:sleeping,4,10,17,16,8,15
NOT hyp:tok:some,0,1,0,0,2,0
NOT hyp:tok:standing,27,16,18,19,29,18
NOT hyp:tok:street,1,3,3,3,4,0
NOT hyp:tok:swimming,1,0,0,0,1,1
NOT hyp:tok:taking,0,0,0,0,1,0
NOT hyp:tok:tall,0,0,0,0,0,1
NOT hyp:tok:their,2,2,2,1,0,2
NOT hyp:tok:there,22,21,24,16,26,25
NOT hyp:tok:to,107,98,106,128,100,107
NOT hyp:tok:two,1,0,0,1,2,0
NOT hyp:tok:waiting,0,0,0,0,1,0
NOT hyp:tok:walking,35,31,31,25,22,36
NOT hyp:tok:watching,0,0,1,1,0,0
NOT hyp:tok:water,5,6,8,9,3,3
NOT hyp:tok:wearing,44,39,62,59,52,51
NOT hyp:tok:white,0,3,1,0,3,0
NOT hyp:tok:with,3,5,11,9,13,13
NOT hyp:tok:woman,44,46,61,49,58,46
NOT hyp:tok:women,11,22,21,20,21,13
NOT hyp:tok:working,0,0,0,0,0,1
NOT hyp:tok:young,4,2,7,3,2,2
NOT oth:overlap:overlap25,43,55,33,26,35,30
NOT oth:overlap:overlap50,278,273,288,254,263,241
NOT oth:overlap:overlap75,57,72,72,72,62,74
"NOT pre:tag:,",2,4,7,5,1,3
