Model,Method,Iteration,Sparsity_%,Total_Baseline,Preserved,Lost,Preserved_%,Lost_%,Same_Neuron_Same_Cluster,Same_Neuron_Diff_Cluster,Diff_Neuron_Same_Cluster,Diff_Neuron_Diff_Cluster
BOWMAN,lottery_ticket,1,25.0,49,37,12,75.51020408163265,24.489795918367346,0,0,30,7
BOWMAN,lottery_ticket,2,43.75,49,32,17,65.3061224489796,34.69387755102041,0,0,22,10
BOWMAN,lottery_ticket,3,57.812,49,40,9,81.63265306122449,18.367346938775512,0,0,35,5
BOWMAN,lottery_ticket,4,68.359,49,34,15,69.38775510204081,30.612244897959183,0,0,29,5
BOWMAN,lottery_ticket,5,76.27,49,33,16,67.3469387755102,32.6530612244898,1,0,26,6
BOWMAN,wanda,1,25.0,49,42,7,85.71428571428571,14.285714285714285,32,4,3,3
BOWMAN,wanda,2,43.75,49,40,9,81.63265306122449,18.367346938775512,33,4,3,0
BOWMAN,wanda,3,57.812,49,36,13,73.46938775510205,26.53061224489796,27,4,4,1
BOWMAN,wanda,4,68.359,49,39,10,79.59183673469387,20.408163265306122,31,3,3,2
BOWMAN,wanda,5,76.27,49,37,12,75.51020408163265,24.489795918367346,26,3,6,2
