Model,Method,Iteration,Sparsity,Total_Concepts,Same_N_Same_C,Pct_SNSC,Same_N_Diff_C,Pct_SNDC,Diff_N_Same_C,Pct_DNSC,Diff_N_Diff_C,Pct_DNDC,New_Concepts,Pct_New
BERT,lottery_ticket,1,25.00%,521,223,42.80%,3,0.58%,159,30.52%,14,2.69%,122,23.42%
BERT,lottery_ticket,2,43.75%,542,206,38.01%,4,0.74%,183,33.76%,12,2.21%,137,25.28%
BERT,lottery_ticket,3,57.81%,547,199,36.38%,5,0.91%,192,35.10%,14,2.56%,137,25.05%
BERT,lottery_ticket,4,68.36%,517,171,33.08%,8,1.55%,195,37.72%,9,1.74%,134,25.92%
BERT,lottery_ticket,5,76.27%,511,166,32.49%,4,0.78%,208,40.70%,13,2.54%,120,23.48%
BERT,wanda,1,25.00%,538,423,78.62%,0,0.00%,30,5.58%,2,0.37%,83,15.43%
BERT,wanda,2,43.75%,540,386,71.48%,1,0.19%,48,8.89%,6,1.11%,99,18.33%
BERT,wanda,3,57.81%,546,344,63.00%,1,0.18%,78,14.29%,7,1.28%,116,21.25%
BERT,wanda,4,68.36%,540,318,58.89%,2,0.37%,97,17.96%,11,2.04%,112,20.74%
BERT,wanda,5,76.27%,540,280,51.85%,4,0.74%,119,22.04%,10,1.85%,127,23.52%
BOWMAN,lottery_ticket,1,25.00%,56,0,0.00%,0,0.00%,31,55.36%,6,10.71%,19,33.93%
BOWMAN,lottery_ticket,2,43.75%,60,0,0.00%,1,1.67%,27,45.00%,8,13.33%,24,40.00%
BOWMAN,lottery_ticket,3,57.81%,72,0,0.00%,0,0.00%,33,45.83%,7,9.72%,32,44.44%
BOWMAN,lottery_ticket,4,68.36%,69,0,0.00%,0,0.00%,27,39.13%,9,13.04%,33,47.83%
BOWMAN,lottery_ticket,5,76.27%,71,0,0.00%,0,0.00%,33,46.48%,6,8.45%,32,45.07%
BOWMAN,wanda,1,25.00%,64,27,42.19%,2,3.12%,7,10.94%,4,6.25%,24,37.50%
BOWMAN,wanda,2,43.75%,148,24,16.22%,7,4.73%,13,8.78%,3,2.03%,101,68.24%
BOWMAN,wanda,3,57.81%,124,23,18.55%,9,7.26%,9,7.26%,5,4.03%,78,62.90%
BOWMAN,wanda,4,68.36%,191,25,13.09%,2,1.05%,15,7.85%,5,2.62%,144,75.39%
BOWMAN,wanda,5,76.27%,154,25,16.23%,10,6.49%,9,5.84%,2,1.30%,108,70.13%
