Cluster,Iteration,Comparison,Total_Concepts_Baseline,Total_Concepts_Current,New_Concepts,Pct_New,Stayed_Same,Pct_Stayed_Same,Moved_to_New,Pct_Moved,Disappeared
Cluster1,1,0→1,133,137,29,21.17%,82,59.85%,26,18.98%,25
Cluster1,2,0→2,133,150,33,22.00%,70,46.67%,47,31.33%,16
Cluster1,3,0→3,133,143,36,25.17%,54,37.76%,53,37.06%,26
Cluster1,4,0→4,133,137,34,24.82%,48,35.04%,55,40.15%,30
Cluster1,5,0→5,133,149,39,26.17%,45,30.20%,65,43.62%,23
Cluster2,1,0→1,196,201,32,15.92%,152,75.62%,17,8.46%,27
Cluster2,2,0→2,196,181,36,19.89%,124,68.51%,21,11.60%,51
Cluster2,3,0→3,196,191,44,23.04%,110,57.59%,37,19.37%,49
Cluster2,4,0→4,196,196,50,25.51%,101,51.53%,45,22.96%,50
Cluster2,5,0→5,196,195,46,23.59%,101,51.79%,48,24.62%,47
Cluster3,1,0→1,469,498,84,16.87%,391,78.51%,23,4.62%,55
Cluster3,2,0→2,469,487,88,18.07%,357,73.31%,42,8.62%,70
Cluster3,3,0→3,469,495,108,21.82%,319,64.44%,68,13.74%,82
Cluster3,4,0→4,469,498,117,23.49%,293,58.84%,88,17.67%,88
Cluster3,5,0→5,469,494,125,25.30%,256,51.82%,113,22.87%,100
