model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
BERT,CoFi,Cluster1,0.25640983145353075,141.0,151.66666666666666,21.0402,3.7677,59.8109,5.3805,19.1489,2.3163
BERT,CoFi,Cluster1,0.4477908108009072,141.0,151.0,26.4775,3.6776,55.5556,4.3847,17.9669,0.8846
BERT,CoFi,Cluster1,0.5894197598083888,141.0,146.66666666666666,16.7849,2.1923,62.6478,2.7366,20.5674,1.003
BERT,CoFi,Cluster1,0.7003947784700748,141.0,150.0,18.2033,7.1939,60.7565,7.9046,21.0402,0.8846
BERT,CoFi,Cluster1,0.7745408074473034,141.0,146.66666666666666,13.948,0.8846,65.2482,0.0,20.8038,0.8846
BERT,CoFi,Cluster2,0.25640983145353075,207.0,234.33333333333334,30.2738,5.9864,47.8261,7.3899,21.9002,1.6422
BERT,CoFi,Cluster2,0.4477908108009072,207.0,233.66666666666666,42.5121,3.1308,36.715,3.8848,20.7729,0.7889
BERT,CoFi,Cluster2,0.5894197598083888,207.0,227.33333333333334,29.1465,9.2701,48.6312,10.6524,22.2222,1.4222
BERT,CoFi,Cluster2,0.7003947784700748,207.0,222.66666666666666,29.9517,15.7135,47.182,14.2455,22.8663,1.5941
BERT,CoFi,Cluster2,0.7745408074473034,207.0,220.0,16.7472,0.6025,60.8696,1.0436,22.3833,0.6025
BERT,CoFi,Cluster3,0.25640983145353075,440.0,430.0,34.1667,7.8868,44.4697,8.051,21.3636,1.1288
BERT,CoFi,Cluster3,0.4477908108009072,440.0,429.0,48.3333,4.2975,30.3788,5.0661,21.2879,1.1185
BERT,CoFi,Cluster3,0.5894197598083888,440.0,426.6666666666667,27.4242,10.3857,49.9242,10.0778,22.6515,0.3863
BERT,CoFi,Cluster3,0.7003947784700748,440.0,407.3333333333333,27.8788,19.8213,46.9697,20.0484,25.1515,0.5965
BERT,CoFi,Cluster3,0.7745408074473034,440.0,401.6666666666667,13.2576,1.6632,61.6667,0.2835,25.0758,1.8955
