model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
BERT,lottery_ticket,Cluster1,25.0,158.0,155.33333333333334,23.8397,3.9469,53.1646,3.7265,22.9958,0.2984
BERT,lottery_ticket,Cluster1,43.75,158.0,164.0,23.2068,2.3302,56.3291,0.8951,20.4641,2.4422
BERT,lottery_ticket,Cluster1,57.812333333333335,158.0,159.0,20.2532,2.8773,57.173,1.9565,22.5738,1.5788
BERT,lottery_ticket,Cluster1,68.359,158.0,155.66666666666666,18.9873,0.5168,56.7511,1.5788,24.2616,1.4918
BERT,lottery_ticket,Cluster1,76.27,158.0,158.66666666666666,18.3544,2.8773,58.4388,4.4554,23.2068,1.5788
BERT,lottery_ticket,Cluster2,25.0,204.0,207.33333333333334,30.8824,5.2032,42.3203,2.8954,26.7974,2.3108
BERT,lottery_ticket,Cluster2,43.75,204.0,205.33333333333334,28.268,3.6317,44.7712,4.4987,26.9608,1.601
BERT,lottery_ticket,Cluster2,57.812333333333335,204.0,213.66666666666666,28.1046,0.6114,46.2418,0.8332,25.6536,1.0073
BERT,lottery_ticket,Cluster2,68.359,204.0,205.66666666666666,27.1242,0.6114,46.5686,1.2007,26.3072,1.1554
BERT,lottery_ticket,Cluster2,76.27,204.0,212.0,25.4902,1.2007,48.5294,1.0589,25.9804,1.7446
BERT,lottery_ticket,Cluster3,25.0,426.0,419.6666666666667,33.9593,6.0316,38.1064,4.929,27.9343,1.447
BERT,lottery_ticket,Cluster3,43.75,426.0,439.3333333333333,33.0986,4.3157,40.7668,4.7737,26.1346,0.5855
BERT,lottery_ticket,Cluster3,57.812333333333335,426.0,450.3333333333333,31.4554,2.3317,41.3928,2.0494,27.1518,0.399
BERT,lottery_ticket,Cluster3,68.359,426.0,442.3333333333333,27.6995,2.0732,45.9311,0.7256,26.3693,2.5881
BERT,lottery_ticket,Cluster3,76.27,426.0,435.0,25.8216,2.0732,46.8701,2.5451,27.3083,1.7809
