model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
BERT,wanda,Cluster1,25.0,158.0,150.0,53.7975,0.0,22.1519,0.0,24.0506,0.0
BERT,wanda,Cluster1,43.75,158.0,172.0,31.0127,0.0,47.4684,0.0,21.519,0.0
BERT,wanda,Cluster1,57.812,158.0,236.0,18.3544,0.0,60.7595,0.0,20.8861,0.0
BERT,wanda,Cluster1,68.359,158.0,208.0,10.7595,0.0,63.2911,0.0,25.9494,0.0
BERT,wanda,Cluster1,76.27,158.0,165.0,9.4937,0.0,55.0633,0.0,35.443,0.0
BERT,wanda,Cluster2,25.0,204.0,221.0,60.2941,0.0,18.6275,0.0,21.0784,0.0
BERT,wanda,Cluster2,43.75,204.0,229.0,42.1569,0.0,36.2745,0.0,21.5686,0.0
BERT,wanda,Cluster2,57.812,204.0,284.0,31.3725,0.0,43.1373,0.0,25.4902,0.0
BERT,wanda,Cluster2,68.359,204.0,206.0,18.6275,0.0,45.098,0.0,36.2745,0.0
BERT,wanda,Cluster2,76.27,204.0,175.0,13.7255,0.0,46.0784,0.0,40.1961,0.0
BERT,wanda,Cluster3,25.0,426.0,432.0,68.7793,0.0,11.9718,0.0,19.2488,0.0
BERT,wanda,Cluster3,43.75,426.0,399.0,44.8357,0.0,25.5869,0.0,29.5775,0.0
BERT,wanda,Cluster3,57.812,426.0,308.0,21.831,0.0,30.2817,0.0,47.8873,0.0
BERT,wanda,Cluster3,68.359,426.0,230.0,14.7887,0.0,27.9343,0.0,57.277,0.0
BERT,wanda,Cluster3,76.27,426.0,231.0,9.8592,0.0,29.3427,0.0,60.7981,0.0
