model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
BOWMAN,CoFi,Cluster1,0.2499996430697713,44.0,73.33333333333333,0.0,0.0,70.4545,6.4282,29.5455,6.4282
BOWMAN,CoFi,Cluster1,0.4374993753720997,44.0,83.0,0.0,0.0,69.697,2.8346,30.303,2.8346
BOWMAN,CoFi,Cluster1,0.5781241745988461,44.0,76.0,0.7576,1.0714,71.2121,7.0255,28.0303,5.9652
BOWMAN,CoFi,Cluster1,0.6835927740189058,44.0,77.33333333333333,0.0,0.0,65.9091,9.6424,34.0909,9.6424
BOWMAN,CoFi,Cluster1,0.7626942235839507,44.0,84.0,0.7576,1.0714,78.7879,2.8346,20.4545,1.8557
BOWMAN,CoFi,Cluster2,0.2499996430697713,37.0,55.0,0.0,0.0,80.1802,5.0963,19.8198,5.0963
BOWMAN,CoFi,Cluster2,0.4374993753720997,37.0,53.333333333333336,0.0,0.0,75.6757,3.8222,24.3243,3.8222
BOWMAN,CoFi,Cluster2,0.5781241745988461,37.0,52.666666666666664,0.0,0.0,75.6757,2.2067,24.3243,2.2067
BOWMAN,CoFi,Cluster2,0.6835927740189058,37.0,51.0,2.7027,3.8222,70.2703,2.2067,27.027,4.4135
BOWMAN,CoFi,Cluster2,0.7626942235839507,37.0,54.0,0.0,0.0,73.8739,4.5937,26.1261,4.5937
BOWMAN,CoFi,Cluster3,0.2499996430697713,19.0,19.666666666666668,0.0,0.0,42.1053,7.4432,57.8947,7.4432
BOWMAN,CoFi,Cluster3,0.4374993753720997,19.0,22.333333333333332,0.0,0.0,42.1053,12.8921,57.8947,12.8921
BOWMAN,CoFi,Cluster3,0.5781241745988461,19.0,18.333333333333332,0.0,0.0,36.8421,0.0,63.1579,0.0
BOWMAN,CoFi,Cluster3,0.6835927740189058,19.0,18.0,0.0,0.0,38.5965,8.9456,61.4035,8.9456
BOWMAN,CoFi,Cluster3,0.7626942235839507,19.0,18.0,0.0,0.0,35.0877,2.4811,64.9123,2.4811
