model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
BOWMAN,lottery_ticket,Cluster1,25.0,27.0,44.5,0.0,0.0,66.6667,3.7037,33.3333,3.7037
BOWMAN,lottery_ticket,Cluster1,43.75,27.0,46.5,0.0,0.0,66.6667,3.7037,33.3333,3.7037
BOWMAN,lottery_ticket,Cluster1,57.812,27.0,44.5,0.0,0.0,72.2222,1.8519,27.7778,1.8519
BOWMAN,lottery_ticket,Cluster1,68.359,27.0,47.0,1.8519,1.8519,66.6667,7.4074,31.4815,5.5556
BOWMAN,lottery_ticket,Cluster1,76.27,27.0,50.0,0.0,0.0,68.5185,1.8519,31.4815,1.8519
BOWMAN,lottery_ticket,Cluster2,25.0,30.0,34.0,1.6667,1.6667,63.3333,6.6667,35.0,5.0
BOWMAN,lottery_ticket,Cluster2,43.75,30.0,34.0,0.0,0.0,65.0,11.6667,35.0,11.6667
BOWMAN,lottery_ticket,Cluster2,57.812,30.0,41.0,0.0,0.0,66.6667,6.6667,33.3333,6.6667
BOWMAN,lottery_ticket,Cluster2,68.359,30.0,48.5,0.0,0.0,78.3333,5.0,21.6667,5.0
BOWMAN,lottery_ticket,Cluster2,76.27,30.0,46.5,0.0,0.0,71.6667,5.0,28.3333,5.0
BOWMAN,lottery_ticket,Cluster3,25.0,8.0,9.0,0.0,0.0,18.75,18.75,81.25,18.75
BOWMAN,lottery_ticket,Cluster3,43.75,8.0,4.5,0.0,0.0,18.75,18.75,81.25,18.75
BOWMAN,lottery_ticket,Cluster3,57.812,8.0,10.5,0.0,0.0,43.75,6.25,56.25,6.25
BOWMAN,lottery_ticket,Cluster3,68.359,8.0,8.5,0.0,0.0,12.5,12.5,87.5,12.5
BOWMAN,lottery_ticket,Cluster3,76.27,8.0,11.5,0.0,0.0,43.75,18.75,56.25,18.75
