model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
BOWMAN,wanda,Cluster1,25.0,27.0,43.0,51.8519,0.0,14.8148,0.0,33.3333,0.0
BOWMAN,wanda,Cluster1,43.75,27.0,47.0,55.5556,0.0,14.8148,0.0,29.6296,0.0
BOWMAN,wanda,Cluster1,57.812,27.0,35.0,48.1481,0.0,11.1111,0.0,40.7407,0.0
BOWMAN,wanda,Cluster1,68.359,27.0,59.0,44.4444,0.0,22.2222,0.0,33.3333,0.0
BOWMAN,wanda,Cluster1,76.27,27.0,58.0,48.1481,0.0,22.2222,0.0,29.6296,0.0
BOWMAN,wanda,Cluster2,25.0,30.0,34.0,80.0,0.0,0.0,0.0,20.0,0.0
BOWMAN,wanda,Cluster2,43.75,30.0,34.0,70.0,0.0,6.6667,0.0,23.3333,0.0
BOWMAN,wanda,Cluster2,57.812,30.0,31.0,53.3333,0.0,23.3333,0.0,23.3333,0.0
BOWMAN,wanda,Cluster2,68.359,30.0,36.0,73.3333,0.0,0.0,0.0,26.6667,0.0
BOWMAN,wanda,Cluster2,76.27,30.0,43.0,46.6667,0.0,20.0,0.0,33.3333,0.0
BOWMAN,wanda,Cluster3,25.0,8.0,15.0,75.0,0.0,12.5,0.0,12.5,0.0
BOWMAN,wanda,Cluster3,43.75,8.0,18.0,87.5,0.0,12.5,0.0,0.0,0.0
BOWMAN,wanda,Cluster3,57.812,8.0,21.0,75.0,0.0,25.0,0.0,0.0,0.0
BOWMAN,wanda,Cluster3,68.359,8.0,17.0,87.5,0.0,12.5,0.0,0.0,0.0
BOWMAN,wanda,Cluster3,76.27,8.0,18.0,75.0,0.0,25.0,0.0,0.0,0.0
