model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
LLAMA,CoFi,Cluster1,0.26289398618783116,157.0,140.33333333333334,15.9236,4.0618,54.1401,2.3832,29.9363,2.0802
LLAMA,CoFi,Cluster1,0.4539757912284128,157.0,149.66666666666666,14.0127,1.0401,59.0234,2.1652,26.9639,3.0026
LLAMA,CoFi,Cluster1,0.5976929010309361,157.0,158.0,13.3758,0.0,60.5096,2.7023,26.1146,2.7023
LLAMA,CoFi,Cluster1,0.6979590267916257,157.0,164.66666666666666,13.5881,0.7944,59.448,1.0826,26.9639,0.3003
LLAMA,CoFi,Cluster1,0.7810507009706545,157.0,163.66666666666666,13.1635,1.6718,63.2696,1.5013,23.5669,1.376
LLAMA,CoFi,Cluster2,0.26289398618783116,213.0,217.66666666666666,16.1189,7.8778,55.8685,5.2699,28.0125,3.6834
LLAMA,CoFi,Cluster2,0.4539757912284128,213.0,219.66666666666666,15.18,3.2148,55.0861,3.2602,29.734,2.5523
LLAMA,CoFi,Cluster2,0.5976929010309361,213.0,228.66666666666666,13.615,2.6833,57.277,3.1377,29.108,0.664
LLAMA,CoFi,Cluster2,0.6979590267916257,213.0,227.33333333333334,12.5196,1.1711,56.025,4.5733,31.4554,3.4071
LLAMA,CoFi,Cluster2,0.7810507009706545,213.0,243.33333333333334,11.8936,0.8853,60.2504,2.9025,27.856,2.4645
LLAMA,CoFi,Cluster3,0.26289398618783116,471.0,396.0,14.2958,9.4097,47.4168,2.7646,38.2873,6.6563
LLAMA,CoFi,Cluster3,0.4539757912284128,471.0,388.3333333333333,12.8804,6.6563,47.3461,3.4627,39.7735,3.2074
LLAMA,CoFi,Cluster3,0.5976929010309361,471.0,379.6666666666667,10.828,3.321,47.983,1.6537,41.189,2.3451
LLAMA,CoFi,Cluster3,0.6979590267916257,471.0,366.6666666666667,8.351,0.3609,48.5492,0.2002,43.0998,0.5201
LLAMA,CoFi,Cluster3,0.7810507009706545,471.0,393.0,8.2095,0.3609,49.6815,1.0401,42.109,0.8192
