model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
LLAMA,lottery_ticket,Cluster1,25.0,165.0,164.66666666666666,13.9394,2.7552,59.1919,9.2885,26.8687,6.827
LLAMA,lottery_ticket,Cluster1,43.75,165.0,159.33333333333334,13.7374,2.4907,58.5859,7.7666,27.6768,5.3373
LLAMA,lottery_ticket,Cluster1,57.812333333333335,165.0,150.0,11.7172,1.1428,58.7879,7.2895,29.4949,6.2267
LLAMA,lottery_ticket,Cluster1,68.359,165.0,161.33333333333334,13.5354,1.8735,59.3939,3.8649,27.0707,3.4757
LLAMA,lottery_ticket,Cluster1,76.27,165.0,160.33333333333334,12.5253,1.8735,60.6061,5.6204,26.8687,3.7469
LLAMA,lottery_ticket,Cluster2,25.0,183.0,198.66666666666666,18.7614,5.6847,54.827,6.1877,26.4117,1.3631
LLAMA,lottery_ticket,Cluster2,43.75,183.0,198.33333333333334,18.0328,5.4827,54.2805,3.2277,27.6867,2.4573
LLAMA,lottery_ticket,Cluster2,57.812333333333335,183.0,192.33333333333334,16.3934,4.0892,51.7304,5.8231,31.8761,1.8032
LLAMA,lottery_ticket,Cluster2,68.359,183.0,193.0,16.5756,5.8231,51.7304,5.5068,31.694,0.4462
LLAMA,lottery_ticket,Cluster2,76.27,183.0,194.0,15.847,5.8002,53.1876,4.8944,30.9654,1.3631
LLAMA,lottery_ticket,Cluster3,25.0,334.0,409.3333333333333,16.9661,9.1021,58.7824,10.3754,24.2515,1.5267
LLAMA,lottery_ticket,Cluster3,43.75,334.0,434.3333333333333,19.6607,8.5608,56.3872,8.8051,23.9521,1.603
LLAMA,lottery_ticket,Cluster3,57.812333333333335,334.0,432.0,17.9641,7.684,58.2834,5.8992,23.7525,2.1077
LLAMA,lottery_ticket,Cluster3,68.359,334.0,437.0,17.8643,9.1773,57.6846,6.7141,24.4511,2.473
LLAMA,lottery_ticket,Cluster3,76.27,334.0,443.6666666666667,16.6667,7.9189,59.1816,4.8236,24.1517,3.1051
