model,method,cluster,sparsity,total_baseline,total_curr,pct_stayed,std_stayed,pct_moved,std_moved,pct_disappeared,std_disappeared
LLAMA,wanda,Cluster1,25.0,165.0,174.0,39.3939,0.0,38.1818,0.0,22.4242,0.0
LLAMA,wanda,Cluster1,43.75,165.0,217.0,23.6364,0.0,51.5152,0.0,24.8485,0.0
LLAMA,wanda,Cluster1,57.812,165.0,205.0,22.4242,0.0,52.1212,0.0,25.4545,0.0
LLAMA,wanda,Cluster1,68.359,165.0,170.0,15.7576,0.0,47.2727,0.0,36.9697,0.0
LLAMA,wanda,Cluster1,76.27,165.0,179.0,12.1212,0.0,56.9697,0.0,30.9091,0.0
LLAMA,wanda,Cluster2,25.0,183.0,206.0,61.7486,0.0,20.765,0.0,17.4863,0.0
LLAMA,wanda,Cluster2,43.75,183.0,251.0,44.2623,0.0,39.8907,0.0,15.847,0.0
LLAMA,wanda,Cluster2,57.812,183.0,218.0,32.7869,0.0,43.7158,0.0,23.4973,0.0
LLAMA,wanda,Cluster2,68.359,183.0,176.0,24.0437,0.0,44.8087,0.0,31.1475,0.0
LLAMA,wanda,Cluster2,76.27,183.0,152.0,19.1257,0.0,42.0765,0.0,38.7978,0.0
LLAMA,wanda,Cluster3,25.0,334.0,316.0,61.3772,0.0,14.6707,0.0,23.9521,0.0
LLAMA,wanda,Cluster3,43.75,334.0,317.0,46.1078,0.0,27.2455,0.0,26.6467,0.0
LLAMA,wanda,Cluster3,57.812,334.0,273.0,36.5269,0.0,28.7425,0.0,34.7305,0.0
LLAMA,wanda,Cluster3,68.359,334.0,231.0,28.1437,0.0,26.6467,0.0,45.2096,0.0
LLAMA,wanda,Cluster3,76.27,334.0,172.0,21.5569,0.0,21.8563,0.0,56.5868,0.0
