sparsity,cluster,transition,% lost,% relearned,% preserved,% new,% pres: dense&PT,% pres: dense only,% pres: prev_iter only,% new: truly new,% new: dense&prev_c,% new: dense only,% new: prev_c only,% new: seen before,% lost: dense|prev_c,% lost: dense&prev_c,% lost: dense only,% lost: prev_c only,% lost: truly novel,n_prev,n_curr,% pres: dense&prev
25.0,Cluster 1,0.0→25.0,22.8,0.0,77.2,20.3,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,158,154,
25.0,Cluster 2,0.0→25.0,23.5,0.0,76.5,27.9,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,204,213,
25.0,Cluster 3,0.0→25.0,26.3,0.0,73.7,25.4,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,426,422,
25.0,GLOBAL,0.0→25.0,38.1,0.0,73.1,37.7,,0.0,0.0,0.0,,,,60.5,,,,,,491,485,100.0
43.75,Cluster 1,25.0→43.75,20.1,12.3,79.9,33.1,91.1,0.0,8.9,62.7,0.0,37.3,0.0,37.3,100.0,32.3,0.0,67.7,0.0,154,174,
43.75,Cluster 2,25.0→43.75,27.7,8.0,72.3,27.7,83.1,0.0,16.9,71.2,0.0,28.8,0.0,28.8,100.0,47.5,0.0,52.5,0.0,213,213,
43.75,Cluster 3,25.0→43.75,23.2,8.5,76.8,28.9,85.2,0.0,14.8,70.5,0.0,29.5,0.0,29.5,100.0,38.8,0.0,61.2,0.0,422,446,
43.75,GLOBAL,25.0→43.75,36.1,22.3,74.8,44.1,,0.0,10.7,0.0,,,,58.4,,,,,,485,507,89.3
57.812,Cluster 1,43.75→57.812,28.7,5.7,71.3,17.2,92.7,0.0,7.3,56.7,0.0,26.7,0.0,43.3,100.0,32.0,0.0,68.0,0.0,174,154,
57.812,Cluster 2,43.75→57.812,25.4,10.3,74.6,29.1,81.8,0.0,18.2,54.8,0.0,38.7,0.0,45.2,100.0,27.8,0.0,72.2,0.0,213,221,
57.812,Cluster 3,43.75→57.812,24.2,6.7,75.8,27.6,81.1,0.0,18.9,59.3,0.0,30.9,0.0,40.7,100.0,35.2,0.0,64.8,0.0,446,461,
57.812,GLOBAL,43.75→57.812,38.3,18.7,74.4,40.0,,0.0,13.5,0.0,,,,60.6,,,,,,507,521,86.5
68.359,Cluster 1,57.812→68.359,25.3,11.0,74.7,25.3,92.2,0.0,7.8,46.2,0.0,30.8,0.0,53.8,100.0,43.6,0.0,56.4,0.0,154,154,
68.359,Cluster 2,57.812→68.359,27.1,6.8,72.9,22.6,85.1,0.0,14.9,50.0,0.0,30.0,0.0,50.0,100.0,28.3,0.0,71.7,0.0,221,211,
68.359,Cluster 3,57.812→68.359,24.9,6.9,75.1,23.2,82.9,0.0,17.1,43.0,0.0,37.4,0.0,57.0,100.0,21.7,0.0,78.3,0.0,461,453,
68.359,GLOBAL,57.812→68.359,38.8,20.2,73.9,35.5,,0.0,13.2,0.0,,,,57.3,,,,,,521,504,86.8
76.27,Cluster 1,68.359→76.27,23.4,10.4,76.6,27.9,89.8,0.0,10.2,32.6,0.0,27.9,0.0,67.4,100.0,33.3,0.0,66.7,0.0,154,161,
76.27,Cluster 2,68.359→76.27,23.2,11.8,76.8,24.6,86.4,0.0,13.6,28.8,0.0,30.8,0.0,71.2,100.0,24.5,0.0,75.5,0.0,211,214,
76.27,Cluster 3,68.359→76.27,24.7,7.1,75.3,22.3,82.4,0.0,17.6,32.7,0.0,32.7,0.0,67.3,100.0,41.1,0.0,58.9,0.0,453,442,
76.27,GLOBAL,68.359→76.27,37.1,21.4,75.8,36.9,,0.0,12.6,0.0,,,,60.2,,,,,,504,503,87.4
