,Cluster1,Cluster2,Cluster3,Cluster4
0,hyp:tok:booth,pre:tok:clothes,hyp:tok:guitars,hyp:tok:guitars
1,pre:tok:living,pre:tok:numbered,pre:tok:playing,pre:tok:playing
2,pre:tok:numbered,hyp:tok:sleeved,pre:tok:arrive,pre:tok:shark
3,pre:tok:cameras,hyp:tok:talk,pre:tok:fetch,hyp:tok:hugging
4,pre:tok:girls,pre:tok:playground,pre:tok:rowing,pre:tok:bucket
5,hyp:tok:wooden,hyp:tok:touching,pre:tok:numbered,hyp:tok:pots
6,hyp:tok:sandals,hyp:tok:glasses,pre:tok:stream,hyp:tok:without
7,pre:tok:passed,hyp:tok:sad,hyp:tok:acoustic,pre:tok:dark
8,hyp:tok:maroon,pre:tok:hug,hyp:tok:nine,hyp:tok:booth
9,pre:tok:driving,hyp:tok:east,pre:tok:she,hyp:tok:theater
10,pre:tok:clear,hyp:tok:bystanders,pre:tok:husky,hyp:tok:acoustic
11,pre:tok:activity,pre:tok:nutcracker,hyp:tok:bowling,pre:tok:word
12,pre:tok:running,hyp:tok:desk,hyp:tok:championship,hyp:tok:name
13,pre:tok:match,pre:tok:stove,pre:tok:bicyclists,hyp:tok:safety
14,hyp:tok:pocket,hyp:tok:black,hyp:tok:relaxing,hyp:tok:championship
15,pre:tok:nutcracker,hyp:tok:their,pre:tok:like,pre:tok:urban
16,hyp:tok:sport,hyp:tok:lamp,hyp:tok:brunette,hyp:tok:chainsaw
17,pre:tok:laughing,pre:tok:airport,pre:tok:playground,hyp:tok:hoping
18,hyp:tok:preparing,hyp:tok:ears,hyp:tok:activity,hyp:tok:staircase
19,hyp:tok:lamp,hyp:tok:fake,hyp:tok:students,pre:tok:scarves
20,pre:tok:snowman,pre:tok:muddy,hyp:tok:bikers,hyp:tok:maroon
21,pre:tok:form,pre:tok:instrument,pre:tok:watching,hyp:tok:swim
22,pre:tok:scale,hyp:tok:device,hyp:tok:staircase,pre:tok:as
23,pre:tok:picker,pre:tok:pan,pre:tok:females,pre:tok:cool
24,hyp:tok:religious,hyp:tok:chain,hyp:tok:boards,pre:tok:through
25,hyp:tok:tunnel,pre:tok:yelling,pre:tok:pipe,hyp:tok:waist
26,hyp:tok:eats,pre:tok:elephant,hyp:tok:walked,hyp:tok:each
27,pre:tok:folding,hyp:tok:formal,pre:tok:wash,hyp:tok:song
28,hyp:tok:arms,pre:tok:lying,pre:tok:trampoline,hyp:tok:bicycle
29,pre:tok:rink,hyp:tok:direction,hyp:tok:beam,hyp:tok:coat
30,hyp:tok:jump,hyp:tok:up,hyp:tok:unicycle,pre:tok:running
31,hyp:tok:face,hyp:tok:heels,pre:tok:among,pre:tok:preschool
32,pre:tok:gathering,pre:tok:strike,hyp:tok:cows,hyp:tok:other
33,pre:tok:by,hyp:tok:musical,pre:tok:car,pre:tok:kite
34,hyp:tok:science,pre:tok:surf,pre:tok:dirt,pre:tok:shelter
35,hyp:tok:bamboo,pre:tok:artwork,pre:tok:yarn,pre:tok:auditorium
36,hyp:tok:sides,pre:tok:converse,hyp:tok:skateboarding,pre:tok:lunch
37,pre:tok:studio,hyp:tok:silver,pre:tok:making,pre:tok:tables
38,pre:tok:next,hyp:tok:husky,hyp:tok:cigarette,pre:tok:jumped
39,pre:tok:rest,pre:tok:prepare,hyp:tok:clear,pre:tok:runner
40,pre:tok:old,pre:tok:tee,pre:tok:hair,hyp:tok:lake
41,hyp:tok:half,hyp:tok:tools,pre:tok:along,pre:tok:quickly
42,pre:tok:tent,hyp:tok:before,pre:tok:students,hyp:tok:into
43,pre:tok:clown,pre:tok:gives,hyp:tok:catching,pre:tok:digging
44,pre:tok:pavement,pre:tok:shepherd,hyp:tok:full,pre:tok:buy
45,pre:tok:smile,hyp:tok:compete,hyp:tok:run,hyp:tok:bright
46,hyp:tok:goal,pre:tok:lay,hyp:tok:couple,pre:tok:magazine
47,pre:tok:movie,pre:tok:chases,hyp:tok:sit,hyp:tok:their
48,hyp:tok:object,hyp:tok:rollerblading,hyp:tok:tops,pre:tok:pumpkin
49,pre:tok:little,pre:tok:wineglass,hyp:tok:buddhist,hyp:tok:cute
50,pre:tok:prepare,hyp:tok:butterfly,hyp:tok:wading,pre:tok:him
51,pre:tok:straight,hyp:tok:complete,hyp:tok:fetch,hyp:tok:mower
52,pre:tok:musician,pre:tok:patio,pre:tok:motorcycles,pre:tok:jockey
53,hyp:tok:instruments,pre:tok:conducting,hyp:tok:parking,pre:tok:sleeping
54,pre:tok:training,hyp:tok:gun,hyp:tok:black,pre:tok:tea
55,pre:tok:bus,pre:tok:swimming,pre:tok:pumpkin,hyp:tok:cleaning
56,hyp:tok:make,pre:tok:moon,hyp:tok:milk,pre:tok:crossing
57,hyp:tok:compete,pre:tok:hikers,pre:tok:flowered,hyp:tok:past
58,hyp:tok:coffee,hyp:tok:glass,hyp:tok:bride,hyp:tok:crowded
59,pre:tok:mcdonald,hyp:tok:near,pre:tok:suit,hyp:tok:backwards
60,hyp:tok:crib,pre:tok:best,hyp:tok:laboratory,pre:tok:airport
61,hyp:tok:police,hyp:tok:atv,pre:tok:neighborhood,hyp:tok:eats
62,hyp:tok:team,hyp:tok:below,hyp:tok:drinking,pre:tok:gym
63,pre:tok:seat,pre:tok:wild,hyp:tok:jerseys,pre:tok:older
64,hyp:tok:legs,hyp:tok:skydiving,pre:tok:chat,hyp:tok:buildings
65,pre:tok:shoot,hyp:tok:diving,pre:tok:person,hyp:tok:swing
66,hyp:tok:photographers,hyp:tok:instructor,hyp:tok:bar,hyp:tok:skater
67,hyp:tok:bathrobe,hyp:tok:by,pre:tok:act,hyp:tok:bath
68,hyp:tok:duck,hyp:tok:shooting,hyp:tok:statue,hyp:tok:bamboo
69,pre:tok:painted,hyp:tok:car,hyp:tok:dogs,hyp:tok:winning
70,pre:tok:transportation,pre:tok:sunny,hyp:tok:draped,pre:tok:speaks
71,pre:tok:slope,pre:tok:babies,hyp:tok:seated,pre:tok:burning
72,pre:tok:lady,hyp:tok:walks,hyp:tok:powerpoint,hyp:tok:walkway
73,pre:tok:road,hyp:tok:dingy,pre:tok:performer,pre:tok:parade
74,pre:tok:tie,pre:tok:suspenders,hyp:tok:backwards,pre:tok:benches
75,pre:tok:back,pre:tok:working,hyp:tok:rowing,pre:tok:pulled
76,hyp:tok:waters,hyp:tok:bowling,pre:tok:listens,hyp:tok:upright
77,pre:tok:hikers,hyp:tok:activity,pre:tok:girl,hyp:tok:squatting
78,hyp:tok:rival,pre:tok:cement,hyp:tok:shops,hyp:tok:stream
79,hyp:tok:costumes,pre:tok:steel,hyp:tok:ears,pre:tok:sound
80,pre:tok:chopping,pre:tok:shoulders,hyp:tok:parade,hyp:tok:backpacks
81,pre:tok:couple,hyp:tok:inline,hyp:tok:pet,hyp:tok:hot
82,hyp:tok:bread,hyp:tok:poor,hyp:tok:gravel,pre:tok:goggles
83,pre:tok:wild,pre:tok:kite,pre:tok:older,hyp:tok:jumping
84,pre:tok:raises,hyp:tok:hooded,pre:tok:eight,pre:tok:birthday
85,pre:tok:rowboat,pre:tok:cherry,hyp:tok:jogging,hyp:tok:flip
86,hyp:tok:slam,hyp:tok:into,hyp:tok:mountain,pre:tok:talking
87,hyp:tok:ramp,hyp:tok:subway,pre:tok:blanket,pre:tok:glasses
88,hyp:tok:creating,pre:tok:male,hyp:tok:climbing,pre:tok:remote
89,hyp:tok:fire,hyp:tok:bar,hyp:tok:enjoying,hyp:tok:kid
90,hyp:tok:holiday,pre:tok:tea,pre:tok:'s,pre:tok:line
